selector,rate,example_id,sub_question_id,context_len,system_len,doc_len,query_len,selected_tokens,query_system,query_system_last_layer,query_selected_doc,query_selected_doc_last_layer,query_unselected_doc,query_unselected_doc_last_layer,query_query_or_current,query_query_or_current_last_layer,query_doc_total,query_doc_total_last_layer,query_system_first16,query_system_first16_last_layer,query_main_sum,decode_system,decode_system_last_layer,decode_selected_doc,decode_selected_doc_last_layer,decode_unselected_doc,decode_unselected_doc_last_layer,decode_query_or_current,decode_query_or_current_last_layer,decode_doc_total,decode_doc_total_last_layer,decode_system_first16,decode_system_first16_last_layer,decode_main_sum
draft,0.15,0,0,2105,792,1313,22,196,0.4293022797147506,0.08376629321606129,0.17558114493269203,0.15882830186323685,0.10041271257931315,0.12927975592675148,0.2947038673071782,0.6281256737647118,0.2759938567379189,0.2881080577899883,0.2920657044383722,0.046078610729861566,1.000000004533934,0.3535985323239346,0.06749685321535383,0.17104141170881235,0.40501056398664204,0.08244119373587322,0.16797048704964773,0.39291886407501847,0.3595220702035086,0.2534826054256789,0.5729810850960868,0.264917110829443,0.04745196444647653,1.0000000018436386
draft,0.15,1,0,2087,792,1295,20,194,0.4347198316029139,0.127521242414202,0.165875164100102,0.15564795902797154,0.10668528785510942,0.14371299743652344,0.29271971449560047,0.5731178283691406,0.2725604490358003,0.29936095646449495,0.2938956855055021,0.06706649916512626,0.9999999980537257,0.4011650851794651,0.060124261038643975,0.13693337051235902,0.17540621757507324,0.10128143650232531,0.2285473346710205,0.3606201021038756,0.5359221526554653,0.23821481089202723,0.40395355224609375,0.3032272662159664,0.04493651219776699,0.9999999942980251
draft,0.15,2,0,2233,792,1441,16,216,0.4624607940109409,0.16885478155953543,0.1602555930006261,0.13627323082515172,0.09992207617175823,0.1623386996132987,0.27736153636051686,0.5325332709721157,0.2601776694764897,0.2986119474683489,0.30745660272255837,0.11299461126327515,0.9999999995438421,0.3716151714324952,0.16562157017844065,0.14347138742403107,0.3830337865012033,0.08790690003305067,0.15037814208439418,0.39700654696445076,0.3009664671761649,0.23137828798926605,0.5334119115556989,0.28299631967152267,0.11685616629464286,1.0000000058540277
draft,0.15,3,0,1946,792,1154,21,173,0.45841819644553544,0.14585758390880765,0.13193855155892917,0.13420530565741923,0.12212514020031927,0.1908321899621665,0.2875181217582858,0.5291049464219282,0.25406369291774505,0.32503748264442495,0.3039958756145515,0.0733720299337997,1.0000000099630697,0.32855651025869415,0.09902909823826381,0.13897434698075664,0.14209708997181483,0.11902836710214616,0.1815504687173026,0.41344077428992915,0.5773233686174665,0.2580027124103235,0.3236475672040667,0.25000097358371226,0.06729105540684291,0.999999998631526
draft,0.15,3,1,2145,792,1353,22,202,0.43198642084903766,0.13563450899991122,0.17226580852480233,0.1937188111342393,0.11438647990766393,0.1530401304170683,0.2813612948100952,0.517606561834162,0.2866522827926947,0.3467589291659268,0.298461944542148,0.07538768223353795,1.000000004091599,0.3635157437957064,0.2849079540797642,0.16698576540363078,0.17379723276410783,0.08026234007307462,0.13925273077828543,0.38923616007882733,0.4020421164376395,0.2472481061609423,0.3130499635423933,0.2807435652868328,0.2045858587537493,1.0000000093512391
draft,0.15,4,0,1970,792,1178,27,176,0.43369063408376585,0.12380341625718212,0.13012734904761397,0.09333589341905382,0.13504123741807314,0.17590426894092054,0.3011407801713892,0.6069564415664269,0.2651685853844237,0.2692401623599744,0.2970004476725109,0.06623618312613674,1.0000000007208423,0.3313593657649293,0.12205903870718819,0.1482258575911425,0.18374533312661306,0.14409307451272496,0.42881338936941965,0.37632170623662514,0.2653822217668806,0.29231893408055204,0.6125587735857282,0.2543723967154415,0.06142207554408482,1.0000000041054218
draft,0.15,4,1,2867,792,2075,19,311,0.4171262532632665,0.07833200469052881,0.16931255163362788,0.15786343051078625,0.11924069742126955,0.14726323292667703,0.29432050293165435,0.6165413533834586,0.28855324867076443,0.3051266490964961,0.28961402686786963,0.04081360379556068,1.0000000052498184,0.3390028227823881,0.002207680738398007,0.18867792006658046,0.15340966837746756,0.1083523311025026,0.1326542411531721,0.36396692480359766,0.7117283684866769,0.297030254590268,0.28606390953063965,0.265170046270882,0.0018741352749722345,0.9999999987550687
draft,0.15,6,0,2282,792,1490,16,223,0.45389539672403917,0.17267252717699325,0.16392544018370764,0.1394156047276088,0.1106071022852343,0.1391535997390747,0.2715720519119379,0.5487582342965263,0.27453254345728423,0.27856922149658203,0.2989276627420771,0.11196406398500715,0.999999991104919,0.34429274316953146,0.07495978900364467,0.2062253082285122,0.2771234171731131,0.08240950354660045,0.22467398643493652,0.3670724508713703,0.4232428414481027,0.28863480808783554,0.5017973695482526,0.2677144103740551,0.0399786148752485,1.0000000058160143
draft,0.15,7,0,2379,792,1587,22,238,0.42884051246855376,0.09789081672569375,0.15102561882564,0.12021322374220018,0.11288503459300535,0.2254948801808543,0.3072488369879785,0.5564010421951096,0.26391065452448287,0.34570812869381595,0.2827965450198398,0.05293161218816584,1.0000000028751777,0.3339451055745689,0.16077567849840438,0.16553962975740436,0.17800470760890416,0.08265522555733217,0.10574404682431902,0.4178600432921428,0.5554755755833217,0.24819485721539486,0.28374879700796946,0.2500443632277299,0.15123207228524344,1.0000000041814483
draft,0.15,7,1,2258,792,1466,23,219,0.414735158989677,0.12676400131320362,0.14563799496763238,0.10357278622455479,0.12433900469261246,0.15922750153156542,0.3152878479081757,0.6104357227775621,0.2699770000833479,0.26280027590923427,0.2815471890563445,0.08338186607597778,1.0000000065580976,0.3495801866662746,0.07385562998907906,0.18409772551789574,0.29537248611450195,0.10346919792343161,0.27924791404179167,0.3628528775001059,0.35152394430977957,0.28756692579814364,0.5746203831263951,0.2749120659498992,0.0426186876637595,0.9999999876077079
