selector,rate,n,selected_tokens_mean,selected_tokens_median,selected_tokens_p10,selected_tokens_p90,actual_rate_mean,actual_rate_median,actual_rate_p10,actual_rate_p90,selection_time_s_mean,selection_time_s_median,selection_time_s_p10,selection_time_s_p90,selection_score_time_s_mean,selection_score_time_s_median,selection_score_time_s_p10,selection_score_time_s_p90,recompute_time_s_mean,recompute_time_s_median,recompute_time_s_p10,recompute_time_s_p90,query_prefill_time_s_mean,query_prefill_time_s_median,query_prefill_time_s_p10,query_prefill_time_s_p90,decode_first_token_time_s_mean,decode_first_token_time_s_median,decode_first_token_time_s_p10,decode_first_token_time_s_p90,query_mass_all_layer_mean_mean,query_mass_all_layer_mean_median,query_mass_all_layer_mean_p10,query_mass_all_layer_mean_p90,query_mass_last_layer_mean,query_mass_last_layer_median,query_mass_last_layer_p10,query_mass_last_layer_p90,query_mass_first_half_mean_mean,query_mass_first_half_mean_median,query_mass_first_half_mean_p10,query_mass_first_half_mean_p90,query_mass_second_half_mean_mean,query_mass_second_half_mean_median,query_mass_second_half_mean_p10,query_mass_second_half_mean_p90,decode_mass_all_layer_mean_mean,decode_mass_all_layer_mean_median,decode_mass_all_layer_mean_p10,decode_mass_all_layer_mean_p90,decode_mass_last_layer_mean,decode_mass_last_layer_median,decode_mass_last_layer_p10,decode_mass_last_layer_p90,decode_mass_first_half_mean_mean,decode_mass_first_half_mean_median,decode_mass_first_half_mean_p10,decode_mass_first_half_mean_p90,decode_mass_second_half_mean_mean,decode_mass_second_half_mean_median,decode_mass_second_half_mean_p10,decode_mass_second_half_mean_p90
draft,0.05,109,71.97247706422019,71.0,49.0,99.0,0.04961179985349473,0.049592391304347824,0.04932301740812379,0.04996530187369882,0.13976415600883987,0.13241305574774742,0.11668846243992448,0.17101997369900346,0.13910337264965708,0.13172958511859179,0.11618358502164483,0.17023286363109946,0.03618551447662875,0.030723175033926964,0.03026592032983899,0.03195309219881892,0.057607814896031534,0.05698763905093074,0.05529415002092719,0.05978123005479574,0.048398021416345596,0.04806326609104872,0.04760793875902891,0.049008328933268785,0.07775637757339678,0.07597744807274345,0.04875901861181949,0.10993965061343447,0.07131569690625793,0.06548510960170201,0.033922656052777556,0.12417938232421875,0.07425536870324811,0.07117371002630311,0.029730678821096614,0.11729959279549221,0.08125738644354545,0.07654965396116331,0.05723515989220871,0.11395100471066111,0.0781677664424373,0.07839924802205392,0.03621728292533329,0.11445099799608702,0.09910624832657028,0.07579407521656581,0.014820625739438193,0.21755339418138778,0.05459191272461755,0.052237908146819285,0.02617546931213262,0.08515436673650938,0.10174362016025708,0.10391146339932268,0.0347489519995086,0.15970635277276138
draft,0.15,109,216.9724770642202,215.0,148.0,299.0,0.14965234455797322,0.14967860422405876,0.14929785661492978,0.14993481095176012,0.14194900703983843,0.13306373171508312,0.11714323563501239,0.171858053188771,0.14085183714285765,0.13198601081967354,0.11643725400790572,0.17043142300099134,0.05361121504165984,0.04481557896360755,0.04264750191941857,0.06387301394715905,0.06202436429063935,0.060663075651973486,0.05892672808840871,0.06404731795191765,0.05157622155400181,0.05064226686954498,0.050237840972840786,0.052632509265094995,0.14574454454362687,0.14426142003754122,0.12060747930237867,0.17345711753945306,0.13404203969473544,0.13224736622401645,0.09648493358067103,0.18156264168875558,0.150546139996481,0.14923164093034877,0.1181735035513534,0.18215204471228072,0.14094294909077285,0.14017808508901608,0.11616613864898682,0.16793605415188534,0.14731429288632153,0.1482258575911425,0.1105690060221419,0.18409772551789574,0.18060352958904807,0.160919155393328,0.06321515355791364,0.34427874428885324,0.12032956965762873,0.1195498470749174,0.0909857281616756,0.1443365955231141,0.17429901611501414,0.17697837340588474,0.1246887983716264,0.22409143800638162
draft,0.3,109,434.4036697247706,431.0,297.0,599.0,0.2996650963192352,0.2996706915477497,0.29935720844811753,0.2999273783587509,0.14044341161300283,0.13233064021915197,0.11681499518454075,0.17058320716023445,0.13963507798525993,0.13164188293740153,0.1160316918976605,0.16978429211303592,0.07837724687377794,0.07485706312581897,0.060281489975750446,0.08696737885475159,0.05914535209827057,0.056392272002995014,0.054709622636437416,0.061445812694728374,0.04882757652790175,0.04732766514644027,0.04668125370517373,0.0492513757199049,0.19103508842944672,0.19078142186527236,0.1719529234633154,0.21256146111996532,0.18622124419734098,0.18401837348937988,0.1419284570784796,0.23318541996062747,0.2067157840419613,0.2110174584409888,0.17915110981559582,0.23093481615287106,0.17535439281693213,0.1754064382233235,0.1535685378677991,0.19771984402014284,0.19347838979326723,0.19554073287516222,0.1596276957769783,0.22572659260156205,0.24751504570206692,0.23890011651175364,0.11497716392789568,0.3997391292027065,0.17480141053070758,0.17720195651054382,0.1499443175841351,0.19814738935353807,0.21215536905582696,0.21356294380158794,0.16142737196416274,0.25691695480930565
draft,0.5,109,724.4862385321101,719.0,496.0,999.0,0.4997964647528596,0.4997620180866254,0.4995408631772268,0.5,0.14120139297388426,0.13289685687050223,0.1170374802313745,0.1718095443211496,0.14036424451618704,0.13209730992093682,0.11638459796085954,0.1708891410380602,0.10805519560881711,0.1002022041939199,0.07447989610955119,0.13060070807114244,0.05854160483037933,0.05747932568192482,0.055856917053461075,0.06032380508258939,0.04886684080995961,0.048173215705901384,0.04771536309272051,0.049268682952970266,0.22971064066539076,0.22986464986995772,0.21391398444467669,0.24836585363170835,0.23492371817227814,0.2381016124378551,0.18800766808646066,0.28132544623480904,0.25582834112705966,0.2573179260919178,0.23377993317688403,0.27657399653876247,0.20359294020372168,0.20400682858058383,0.17910347471431812,0.2234360435158329,0.2288838726215718,0.22862993089520198,0.19129087973614126,0.2611700299443031,0.2969902431589905,0.28070856843675884,0.15289761338915145,0.44895339012145996,0.22015636621443796,0.22104616736879154,0.19615754363488178,0.244862231064816,0.23761137902870585,0.2375776068288453,0.19160062257124455,0.2816785671273056
draft,0.8,109,1159.211009174312,1151.0,793.0,1598.0,0.7997016057065693,0.7997390737116764,0.7993951612903226,0.8,0.13956876974467428,0.13210739195346832,0.116417340002954,0.17021101247519255,0.13864136425299792,0.1312259053811431,0.115639244671911,0.16912646824494004,0.15424554319966824,0.15141890617087483,0.11354358028620481,0.20756448106840253,0.059003258141082364,0.05800213711336255,0.056184174958616495,0.060780315194278955,0.049674409800508156,0.048673115670681,0.048112683929502964,0.05022425716742873,0.2646772934862718,0.2662723159303471,0.24570867023905932,0.2842288312956901,0.2852188114951037,0.2818089180252179,0.2440869185724869,0.33917342113847493,0.30021351044679423,0.30258409946838316,0.2753005393536304,0.32005730093381485,0.2291410765257493,0.23137370169288587,0.20130916517608016,0.25233865536210265,0.2636460115098369,0.26377508165884994,0.22961751842985348,0.2958569772997682,0.3678870737591702,0.366905893598284,0.2104602030345372,0.5241644723074776,0.2625459877544298,0.2627467513084411,0.2356164601384377,0.2914250833647592,0.26474603526524404,0.267413355866257,0.22147201457802132,0.3080301710537502
fusionrag_qk,0.05,109,71.97247706422019,71.0,49.0,99.0,0.04961179985349473,0.049592391304347824,0.04932301740812379,0.04996530187369882,0.03037990436573094,0.026434558909386396,0.026058018673211336,0.028346821200102568,0.03037990436573094,0.026434558909386396,0.026058018673211336,0.028346821200102568,0.03417370380799568,0.029618210159242153,0.029145027045160532,0.03142494102939963,0.05694957463275812,0.05636068480089307,0.054335158318281174,0.059571397956460714,0.04801358784113182,0.04743478074669838,0.046862291637808084,0.04934204602614045,0.04757922027647386,0.046994697581343094,0.035593384328612934,0.05916489085836012,0.056313613725711684,0.0541647161756243,0.03580401435730949,0.0780008147362949,0.05724669388299077,0.05593886081684023,0.03924625884566353,0.07575960670198713,0.03791174666995694,0.038145097340045335,0.0255350809709794,0.049999873789529956,0.04028600793311328,0.03686354100248035,0.026003639723354833,0.060993622380251786,0.043203070731089026,0.030130077685628618,0.0033216774463653564,0.0953554596219744,0.043925519998467305,0.04510472030663977,0.030916734389504607,0.05691099866312377,0.036646495867759296,0.031464659589893966,0.014124661398937506,0.07263799194170506
fusionrag_qk,0.15,109,216.9724770642202,215.0,148.0,299.0,0.14965234455797322,0.14967860422405876,0.14929785661492978,0.14993481095176012,0.030315517640134338,0.026843430008739233,0.02623118693009019,0.02866737823933363,0.030315517640134338,0.026843430008739233,0.02623118693009019,0.02866737823933363,0.05243065453416437,0.04449662193655968,0.04240648727864027,0.06356914015486836,0.05807075332508448,0.05734894797205925,0.055356784258037806,0.06085784174501896,0.04876233391258695,0.04810331994667649,0.04767495580017567,0.050682885106652975,0.10538624224184377,0.10528372660504048,0.08163158590195417,0.12977033537261337,0.11817308072907261,0.11535422246258958,0.08423586314534906,0.16052457788488367,0.12413549233735138,0.12253417583726207,0.10128705688501147,0.14293568090772782,0.08663699214633601,0.08751579651075225,0.05831533405674892,0.10936383992005548,0.09732631896212703,0.09146076022666327,0.06436447305034618,0.12956510712297598,0.115182233083295,0.10281944274902344,0.02702112283025469,0.23964503833225795,0.10236959922985514,0.10305118165454086,0.07814164566142219,0.12284889391490388,0.09228303869439898,0.08324129088800782,0.039418364513893515,0.14142366878840387
fusionrag_qk,0.3,109,434.4036697247706,431.0,297.0,599.0,0.2996650963192352,0.2996706915477497,0.29935720844811753,0.2999273783587509,0.03135793305369555,0.027996753808110952,0.027278080116957426,0.029996872413903475,0.03135793305369555,0.027996753808110952,0.027278080116957426,0.029996872413903475,0.07702654537343241,0.0744664017111063,0.05982100823894143,0.08674806402996182,0.05971269428712923,0.058874212205410004,0.05709875887259841,0.06208445783704519,0.04969707779893908,0.04921210976317525,0.04874756000936031,0.0509532717987895,0.15412602336079498,0.15813905586780555,0.12591094315266693,0.17839044454146408,0.17149771797615324,0.1654378151407047,0.12474023728143602,0.22962532346210782,0.18182161072014166,0.1825545595130142,0.1520048461533458,0.20430026048657987,0.12643043600144857,0.12756940065018754,0.09076758171695701,0.16161070672833192,0.14547094425259402,0.1469628061262929,0.09911851890917334,0.18981174014660776,0.1705915348050166,0.142336939062391,0.056455761194229126,0.3243043082101004,0.15307684403705896,0.15588647370435754,0.12438046871399396,0.17708704970320874,0.13786504446812906,0.13333898721909038,0.06248461865648931,0.20880825361426997
fusionrag_qk,0.5,109,724.4862385321101,719.0,496.0,999.0,0.4997964647528596,0.4997620180866254,0.4995408631772268,0.5,0.0294697871175381,0.026625015772879124,0.02590995980426669,0.02829886134713888,0.0294697871175381,0.026625015772879124,0.02590995980426669,0.02829886134713888,0.10724311346324895,0.10036434838548303,0.07445798488333821,0.1327857137657702,0.05833544086562384,0.05665448307991028,0.05496048182249069,0.06051110988482833,0.0481491236426278,0.04744496289640665,0.0469176908954978,0.049182136077433825,0.19684275513056562,0.20158596265883671,0.16734824528883663,0.22075216191696198,0.21374022747777735,0.2090064339015795,0.1601320675441197,0.2714836579516418,0.23590906971408712,0.2399042682935415,0.20533545541655177,0.25806561909479947,0.15777644054704423,0.15943484049781137,0.11836683972281699,0.19226845721809233,0.1859556896538115,0.19373120002600616,0.12884294637003724,0.23371287632961663,0.2207935544348483,0.19565112250191824,0.07958470072065081,0.39326551982334684,0.20185317919620788,0.20378605200319874,0.17388523050716942,0.22579479399992491,0.1700582001114149,0.18224141184164555,0.08420923625936313,0.2504192511646115
fusionrag_qk,0.8,109,1159.211009174312,1151.0,793.0,1598.0,0.7997016057065693,0.7997390737116764,0.7993951612903226,0.8,0.03087364208944347,0.02702056709676981,0.026427058037370443,0.02912980131804943,0.03087364208944347,0.02702056709676981,0.026427058037370443,0.02912980131804943,0.1540759966469481,0.15074598789215088,0.11353696184232831,0.20836185291409492,0.06007745505712175,0.0581852369941771,0.05631938483566046,0.06341062625870109,0.050007348380333515,0.04849565401673317,0.04801621101796627,0.05084243603050709,0.23851568059369938,0.24128521802474043,0.20570335698660655,0.2644716782118704,0.25304055593789515,0.25443826402936665,0.19375631675957153,0.3038793594118149,0.2877244768406278,0.29158821235708643,0.2590211161545345,0.3066804504023812,0.18930688434677112,0.1939585143311847,0.1449829034524169,0.22426016299755538,0.22386743374182116,0.22593107241757057,0.15994794317045993,0.2722315885582748,0.2898820056671553,0.3106753485543387,0.12043121031352452,0.43623794828142437,0.2474926992221352,0.24954970576325236,0.21754991764924966,0.2785860409542006,0.20024216826150715,0.20678839452412662,0.09371975185919781,0.27452244259873215
