label,main_correct,main_total,main_acc,sub_correct,sub_total,sub_acc,avg_f1,avg_em,prefill_s,storage_s,selection_s,terminated,finished
rate1_full_attention,105,135,0.7777777777777778,218,248,0.8790322580645161,0.5691769810114732,0.22983870967741934,0.11671351909637451,0.0,0.0,0,1
online_qk_rate015,84,135,0.6222222222222222,187,248,0.7540322580645161,0.48972942891317506,0.21370967741935484,0.23114286382682622,0.024921747168526052,0.10323252451978623,0,1
rate0_no_doc_recompute,75,135,0.5555555555555556,173,248,0.6975806451612904,0.45261988204959563,0.16129032258064516,0.10109068003669382,0.025017696088179945,0.0,0,1
offline_qk_frequency,79,135,0.5851851851851851,179,248,0.7217741935483871,0.4695720630750484,0.1975806451612903,0.13628025516771167,0.02524981480683126,0.0,1,1
offline_draft_frequency,85,135,0.6296296296296297,183,248,0.7379032258064516,0.49091649633809076,0.1935483870967742,0.133833197140287,0.02529941614084093,0.0,2,1
offline_draft_mean,84,135,0.6222222222222222,183,248,0.7379032258064516,0.49158393718809856,0.18951612903225806,0.1351732091952219,0.025431971831372368,0.0,2,1
hybrid_draft70_qk30_score,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
hybrid_draft50_qk50_score,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
hybrid_draft70_then_qk30,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
hybrid_intersection_fill_draft,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
hybrid_qk_draft_rrf,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
