label,rate,main_correct,main_total,main_acc,sub_correct,sub_total,sub_acc,avg_f1,avg_em,n_timing,prompt_eval_mean_s,storage_time_mean_s,selection_time_mean_s,terminated_count,finished_segments
rate1_full_attention,1.0,105,135,0.7777777777777778,218,248,0.8790322580645161,0.5691769810114732,0.22983870967741934,250,0.11671351909637451,0.0,0.0,0,1
online_qk_rate015,0.15,84,135,0.6222222222222222,187,248,0.7540322580645161,0.48972942891317506,0.21370967741935484,250,0.23114286382682622,0.024921747168526052,0.10323252451978623,0,1
online_draft_rate015,0.15,99,135,0.7333333333333333,210,248,0.8467741935483871,0.5347225792349825,0.21774193548387097,250,0.3659470433751703,0.03332931968331104,0.16061811660364037,0,8
rate0_no_doc_recompute,0.0,75,135,0.5555555555555556,173,248,0.6975806451612904,0.45261988204959563,0.16129032258064516,250,0.10109068003669382,0.025017696088179945,0.0,0,1
offline_qk_frequency,0.15,79,135,0.5851851851851851,179,248,0.7217741935483871,0.4695720630750484,0.1975806451612903,251,0.13628025516771167,0.02524981480683126,0.0,1,1
offline_qk_mean,0.15,76,135,0.562962962962963,176,248,0.7096774193548387,0.4766138070873063,0.20161290322580644,251,0.13116114144120736,0.025184265251034902,0.0,1,1
offline_draft_frequency,0.15,85,135,0.6296296296296297,183,248,0.7379032258064516,0.49091649633809076,0.1935483870967742,251,0.133833197140287,0.02529941614084093,0.0,2,1
offline_draft_mean,0.15,84,135,0.6222222222222222,183,248,0.7379032258064516,0.49158393718809856,0.18951612903225806,251,0.1351732091952219,0.025431971831372368,0.0,2,1
offline_fullattn_frequency,0.15,76,135,0.562962962962963,171,248,0.6895161290322581,0.4372554648710759,0.1532258064516129,267,0.1378867718241132,0.026120847110050145,0.0,1,2
offline_fullattn_mean,0.15,77,135,0.5703703703703704,172,248,0.6935483870967742,0.44294027717274065,0.15725806451612903,251,0.13462146736896669,0.02562263111764263,0.0,1,1
