example_id,rate,freq_threshold,token_category,token_count,token_ratio_in_stable,doc_len,stable_count
0,0.15,1.0,latin_word,93,0.7153846153846154,1171,130
0,0.15,1.0,newline_or_space,1,0.007692307692307693,1171,130
0,0.15,1.0,number,5,0.038461538461538464,1171,130
0,0.15,1.0,punct_or_symbol,27,0.2076923076923077,1171,130
0,0.15,1.0,space,4,0.03076923076923077,1171,130
0,0.15,1.0,position_00-10%,1,0.007692307692307693,1171,130
0,0.15,1.0,position_20-30%,1,0.007692307692307693,1171,130
0,0.15,1.0,position_30-40%,2,0.015384615384615385,1171,130
0,0.15,1.0,position_40-50%,1,0.007692307692307693,1171,130
0,0.15,1.0,position_50-60%,7,0.05384615384615385,1171,130
0,0.15,1.0,position_60-70%,4,0.03076923076923077,1171,130
0,0.15,1.0,position_70-80%,3,0.023076923076923078,1171,130
0,0.15,1.0,position_80-90%,12,0.09230769230769231,1171,130
0,0.15,1.0,position_90-100%,99,0.7615384615384615,1171,130
1,0.15,1.0,latin_word,80,0.5755395683453237,1205,139
1,0.15,1.0,number,16,0.11510791366906475,1205,139
1,0.15,1.0,other_text,2,0.014388489208633094,1205,139
1,0.15,1.0,punct_or_symbol,33,0.23741007194244604,1205,139
1,0.15,1.0,space,8,0.05755395683453238,1205,139
1,0.15,1.0,position_10-20%,1,0.007194244604316547,1205,139
1,0.15,1.0,position_20-30%,4,0.02877697841726619,1205,139
1,0.15,1.0,position_30-40%,1,0.007194244604316547,1205,139
1,0.15,1.0,position_40-50%,4,0.02877697841726619,1205,139
1,0.15,1.0,position_50-60%,2,0.014388489208633094,1205,139
1,0.15,1.0,position_60-70%,5,0.03597122302158273,1205,139
1,0.15,1.0,position_70-80%,5,0.03597122302158273,1205,139
1,0.15,1.0,position_80-90%,19,0.1366906474820144,1205,139
1,0.15,1.0,position_90-100%,98,0.7050359712230215,1205,139
2,0.15,1.0,latin_word,68,0.46258503401360546,1377,147
2,0.15,1.0,newline_or_space,1,0.006802721088435374,1377,147
2,0.15,1.0,number,23,0.1564625850340136,1377,147
2,0.15,1.0,other_text,2,0.013605442176870748,1377,147
2,0.15,1.0,punct_or_symbol,46,0.3129251700680272,1377,147
2,0.15,1.0,space,7,0.047619047619047616,1377,147
2,0.15,1.0,position_30-40%,2,0.013605442176870748,1377,147
2,0.15,1.0,position_40-50%,2,0.013605442176870748,1377,147
2,0.15,1.0,position_50-60%,3,0.02040816326530612,1377,147
2,0.15,1.0,position_60-70%,7,0.047619047619047616,1377,147
2,0.15,1.0,position_70-80%,12,0.08163265306122448,1377,147
2,0.15,1.0,position_80-90%,18,0.12244897959183673,1377,147
2,0.15,1.0,position_90-100%,103,0.7006802721088435,1377,147
3,0.15,1.0,latin_word,67,0.5153846153846153,1243,130
3,0.15,1.0,number,18,0.13846153846153847,1243,130
3,0.15,1.0,other_text,2,0.015384615384615385,1243,130
3,0.15,1.0,punct_or_symbol,36,0.27692307692307694,1243,130
3,0.15,1.0,space,7,0.05384615384615385,1243,130
3,0.15,1.0,position_20-30%,1,0.007692307692307693,1243,130
