example_id,doc_len,n_queries,rate,top_count,freq_threshold,stable_count,stable_over_doc_ratio,stable_over_topk_ratio,mean_relative_position,cat_ratio_latin_word,cat_ratio_newline_or_space,cat_ratio_number,cat_ratio_punct_or_symbol,cat_ratio_space,cat_ratio_other_text
0,1171,34,0.15,175,1.0,130,0.11101622544833475,0.7428571428571429,0.8876002629848785,0.7153846153846154,0.007692307692307693,0.038461538461538464,0.2076923076923077,0.03076923076923077,
1,1205,34,0.15,180,1.0,139,0.11535269709543569,0.7722222222222223,0.8757319725614857,0.5755395683453237,,0.11510791366906475,0.23741007194244604,0.05755395683453238,0.014388489208633094
2,1377,34,0.15,206,1.0,147,0.10675381263616558,0.7135922330097088,0.8934998417971839,0.46258503401360546,0.006802721088435374,0.1564625850340136,0.3129251700680272,0.047619047619047616,0.013605442176870748
3,1243,35,0.15,186,1.0,130,0.10458567980691874,0.6989247311827957,0.8761055369751021,0.5153846153846153,,0.13846153846153847,0.27692307692307694,0.05384615384615385,0.015384615384615385
4,2605,35,0.15,390,1.0,267,0.10249520153550863,0.6846153846153846,0.8771595988884862,0.6966292134831461,,0.018726591760299626,0.2696629213483146,0.0149812734082397,
5,2727,35,0.15,409,1.0,309,0.11331133113311331,0.7555012224938875,0.8731346473014268,0.656957928802589,,0.04854368932038835,0.2621359223300971,0.02912621359223301,0.003236245954692557
6,1404,34,0.15,210,1.0,150,0.10683760683760683,0.7142857142857143,0.8759087669280112,0.6933333333333334,,0.02666666666666667,0.24,0.02,0.02
7,2140,35,0.15,321,1.0,227,0.10607476635514018,0.7071651090342679,0.88767240651381,0.6784140969162996,,0.030837004405286344,0.24669603524229075,0.01762114537444934,0.02643171806167401
8,2419,35,0.15,362,1.0,266,0.10996279454319967,0.7348066298342542,0.883343594718807,0.6541353383458647,,0.07142857142857142,0.22180451127819548,0.041353383458646614,0.011278195488721804
9,3107,35,0.15,466,1.0,335,0.10782104924364339,0.7188841201716738,0.8669681214020047,0.6746268656716418,,0.03880597014925373,0.24477611940298508,0.020895522388059702,0.020895522388059702
10,2348,35,0.15,352,1.0,257,0.10945485519591142,0.7301136363636364,0.8835503225410698,0.6381322957198443,0.0038910505836575876,0.054474708171206226,0.25680933852140075,0.038910505836575876,0.007782101167315175
11,2331,35,0.15,349,1.0,250,0.10725010725010725,0.7163323782234957,0.8785424892703864,0.612,,0.036,0.316,0.024,0.012
12,2462,35,0.15,369,1.0,277,0.11251015434606011,0.7506775067750677,0.8969512848083533,0.5379061371841155,,0.11552346570397112,0.2996389891696751,0.036101083032490974,0.010830324909747292
13,2439,35,0.15,365,1.0,264,0.10824108241082411,0.7232876712328767,0.8892379496358168,0.6590909090909091,,0.06060606060606061,0.24242424242424243,0.03787878787878788,
14,2120,35,0.15,318,1.0,219,0.10330188679245284,0.6886792452830188,0.8856917517309147,0.639269406392694,,0.0228310502283105,0.2831050228310502,0.0319634703196347,0.0228310502283105
15,1551,35,0.15,232,1.0,176,0.11347517730496454,0.7586206896551724,0.8942925219941348,0.6079545454545454,,0.07954545454545454,0.26704545454545453,0.03977272727272727,0.005681818181818182
16,2162,35,0.15,324,1.0,229,0.1059204440333025,0.7067901234567902,0.8899506738146863,0.6768558951965066,,0.039301310043668124,0.2663755458515284,0.017467248908296942,
17,2098,35,0.15,314,1.0,224,0.10676835081029552,0.7133757961783439,0.8949647455548744,0.48214285714285715,,0.18303571428571427,0.29910714285714285,0.022321428571428572,0.013392857142857142
18,1546,35,0.15,231,1.0,170,0.10996119016817593,0.7359307359307359,0.8854901960784315,0.5823529411764706,,0.07647058823529412,0.3,0.03529411764705882,0.0058823529411764705
19,2150,35,0.15,322,1.0,219,0.10186046511627907,0.6801242236024845,0.8836200760255912,0.3059360730593607,,0.2328767123287671,0.3424657534246575,0.1187214611872146,
