rate,method,jaccard_mean,jaccard_median,coverage_online_by_offline_mean,coverage_online_by_offline_median,n_pairs
0.05,qk_calib_per_chunk_frequency,0.6641144419260898,0.6585956614931906,0.7963538716415887,0.7941605882913807,220
0.05,random_per_chunk,0.024276733933172537,0.022636484687083888,0.04734001420531713,0.044270833333333336,220
0.1,qk_calib_per_chunk_frequency,0.6742520795763763,0.6595744680851063,0.8039721382511131,0.7948717948717948,220
0.1,random_per_chunk,0.053181836614112916,0.05302046267681839,0.10093618043095667,0.1007016536970454,220
0.15,qk_calib_per_chunk_frequency,0.6889741823938961,0.6847733351780114,0.8145134761431934,0.8128965959136341,220
0.15,random_per_chunk,0.08010459828593154,0.07994640464493077,0.14827230742424688,0.1480562448304384,220
0.3,qk_calib_per_chunk_frequency,0.7495212387297724,0.7484306920523716,0.8558665187619028,0.8561170212765958,220
0.3,random_per_chunk,0.17664396711862884,0.1759432382549503,0.300230541690145,0.29923761118170267,220
0.5,qk_calib_per_chunk_frequency,0.8230365880857058,0.8308695505530744,0.9024567051079523,0.9076228814017846,220
0.5,random_per_chunk,0.33287631109149196,0.3332378086640875,0.49946572510570103,0.4998925193465176,220
