example_id,order_name,order_doc_ids_json,n_control_queries,context_len,system_len
0,original,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",21,7902,792
0,reverse,"[10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",21,7902,792
0,shuffle_a,"[8, 4, 3, 9, 6, 7, 10, 5, 1, 2]",21,7902,792
0,shuffle_b,"[8, 1, 9, 6, 5, 2, 10, 7, 4, 3]",21,7902,792
1,original,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",21,9658,792
1,reverse,"[10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",21,9658,792
1,shuffle_a,"[6, 1, 7, 3, 4, 9, 10, 8, 2, 5]",21,9658,792
1,shuffle_b,"[9, 4, 10, 2, 3, 1, 5, 7, 8, 6]",21,9658,792
2,original,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",21,8770,792
2,reverse,"[10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",21,8770,792
2,shuffle_a,"[7, 6, 5, 2, 10, 3, 8, 9, 4, 1]",21,8770,792
2,shuffle_b,"[8, 7, 1, 5, 3, 4, 9, 10, 6, 2]",21,8770,792
3,original,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",21,7916,792
3,reverse,"[10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",21,7916,792
3,shuffle_a,"[7, 9, 2, 4, 1, 10, 3, 8, 5, 6]",21,7916,792
3,shuffle_b,"[3, 1, 5, 2, 9, 8, 6, 4, 7, 10]",21,7916,792
4,original,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",21,8404,792
4,reverse,"[10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",21,8404,792
4,shuffle_a,"[5, 2, 6, 4, 8, 10, 1, 9, 7, 3]",21,8404,792
4,shuffle_b,"[2, 6, 1, 4, 8, 5, 9, 7, 10, 3]",21,8404,792
