example_id,chunk_id,method,rate,chunk_len,selected_count
0,0,draft_smart_frequency_global,0.15,50,32
0,1,draft_smart_frequency_global,0.15,92,12
0,2,draft_smart_frequency_global,0.15,76,11
0,3,draft_smart_frequency_global,0.15,98,8
0,4,draft_smart_frequency_global,0.15,52,9
0,5,draft_smart_frequency_global,0.15,214,7
0,6,draft_smart_frequency_global,0.15,121,10
0,7,draft_smart_frequency_global,0.15,301,9
0,8,draft_smart_frequency_global,0.15,84,18
0,9,draft_smart_frequency_global,0.15,83,59
0,0,draft_smart_mean_score_global,0.15,50,28
0,1,draft_smart_mean_score_global,0.15,92,12
0,2,draft_smart_mean_score_global,0.15,76,11
0,3,draft_smart_mean_score_global,0.15,98,5
0,4,draft_smart_mean_score_global,0.15,52,8
0,5,draft_smart_mean_score_global,0.15,214,10
0,6,draft_smart_mean_score_global,0.15,121,11
0,7,draft_smart_mean_score_global,0.15,301,17
0,8,draft_smart_mean_score_global,0.15,84,18
0,9,draft_smart_mean_score_global,0.15,83,55
0,0,draft_smart_max_score_global,0.15,50,28
0,1,draft_smart_max_score_global,0.15,92,14
0,2,draft_smart_max_score_global,0.15,76,11
0,3,draft_smart_max_score_global,0.15,98,4
0,4,draft_smart_max_score_global,0.15,52,8
0,5,draft_smart_max_score_global,0.15,214,9
0,6,draft_smart_max_score_global,0.15,121,11
0,7,draft_smart_max_score_global,0.15,301,20
0,8,draft_smart_max_score_global,0.15,84,18
0,9,draft_smart_max_score_global,0.15,83,52
0,0,draft_smart_top2_mean_global,0.15,50,29
0,1,draft_smart_top2_mean_global,0.15,92,13
0,2,draft_smart_top2_mean_global,0.15,76,11
0,3,draft_smart_top2_mean_global,0.15,98,5
0,4,draft_smart_top2_mean_global,0.15,52,7
0,5,draft_smart_top2_mean_global,0.15,214,8
0,6,draft_smart_top2_mean_global,0.15,121,11
0,7,draft_smart_top2_mean_global,0.15,301,20
0,8,draft_smart_top2_mean_global,0.15,84,18
0,9,draft_smart_top2_mean_global,0.15,83,53
1,0,draft_smart_frequency_global,0.15,90,20
1,1,draft_smart_frequency_global,0.15,85,8
1,2,draft_smart_frequency_global,0.15,130,12
1,3,draft_smart_frequency_global,0.15,86,5
1,4,draft_smart_frequency_global,0.15,135,10
1,5,draft_smart_frequency_global,0.15,217,13
1,6,draft_smart_frequency_global,0.15,56,10
1,7,draft_smart_frequency_global,0.15,216,17
1,8,draft_smart_frequency_global,0.15,113,15
1,9,draft_smart_frequency_global,0.15,77,70
1,0,draft_smart_mean_score_global,0.15,90,24
1,1,draft_smart_mean_score_global,0.15,85,9
1,2,draft_smart_mean_score_global,0.15,130,13
1,3,draft_smart_mean_score_global,0.15,86,9
1,4,draft_smart_mean_score_global,0.15,135,9
1,5,draft_smart_mean_score_global,0.15,217,15
1,6,draft_smart_mean_score_global,0.15,56,8
1,7,draft_smart_mean_score_global,0.15,216,18
1,8,draft_smart_mean_score_global,0.15,113,15
1,9,draft_smart_mean_score_global,0.15,77,60
1,0,draft_smart_max_score_global,0.15,90,25
1,1,draft_smart_max_score_global,0.15,85,7
1,2,draft_smart_max_score_global,0.15,130,16
1,3,draft_smart_max_score_global,0.15,86,9
1,4,draft_smart_max_score_global,0.15,135,9
1,5,draft_smart_max_score_global,0.15,217,15
1,6,draft_smart_max_score_global,0.15,56,9
1,7,draft_smart_max_score_global,0.15,216,18
1,8,draft_smart_max_score_global,0.15,113,15
1,9,draft_smart_max_score_global,0.15,77,57
1,0,draft_smart_top2_mean_global,0.15,90,25
1,1,draft_smart_top2_mean_global,0.15,85,8
1,2,draft_smart_top2_mean_global,0.15,130,15
1,3,draft_smart_top2_mean_global,0.15,86,9
1,4,draft_smart_top2_mean_global,0.15,135,9
1,5,draft_smart_top2_mean_global,0.15,217,15
1,6,draft_smart_top2_mean_global,0.15,56,9
1,7,draft_smart_top2_mean_global,0.15,216,18
1,8,draft_smart_top2_mean_global,0.15,113,15
1,9,draft_smart_top2_mean_global,0.15,77,57
2,0,draft_smart_frequency_global,0.15,64,33
2,1,draft_smart_frequency_global,0.15,122,12
2,2,draft_smart_frequency_global,0.15,88,9
2,3,draft_smart_frequency_global,0.15,48,9
2,4,draft_smart_frequency_global,0.15,185,8
2,5,draft_smart_frequency_global,0.15,63,14
2,6,draft_smart_frequency_global,0.15,99,9
2,7,draft_smart_frequency_global,0.15,106,10
2,8,draft_smart_frequency_global,0.15,234,27
2,9,draft_smart_frequency_global,0.15,368,75
2,0,draft_smart_mean_score_global,0.15,64,27
2,1,draft_smart_mean_score_global,0.15,122,11
2,2,draft_smart_mean_score_global,0.15,88,13
2,3,draft_smart_mean_score_global,0.15,48,9
2,4,draft_smart_mean_score_global,0.15,185,15
2,5,draft_smart_mean_score_global,0.15,63,13
2,6,draft_smart_mean_score_global,0.15,99,8
2,7,draft_smart_mean_score_global,0.15,106,8
2,8,draft_smart_mean_score_global,0.15,234,33
2,9,draft_smart_mean_score_global,0.15,368,69
2,0,draft_smart_max_score_global,0.15,64,28
2,1,draft_smart_max_score_global,0.15,122,12
2,2,draft_smart_max_score_global,0.15,88,12
2,3,draft_smart_max_score_global,0.15,48,9
2,4,draft_smart_max_score_global,0.15,185,16
2,5,draft_smart_max_score_global,0.15,63,14
2,6,draft_smart_max_score_global,0.15,99,7
2,7,draft_smart_max_score_global,0.15,106,8
2,8,draft_smart_max_score_global,0.15,234,38
2,9,draft_smart_max_score_global,0.15,368,62
2,0,draft_smart_top2_mean_global,0.15,64,28
2,1,draft_smart_top2_mean_global,0.15,122,12
2,2,draft_smart_top2_mean_global,0.15,88,12
2,3,draft_smart_top2_mean_global,0.15,48,9
2,4,draft_smart_top2_mean_global,0.15,185,15
2,5,draft_smart_top2_mean_global,0.15,63,14
2,6,draft_smart_top2_mean_global,0.15,99,7
2,7,draft_smart_top2_mean_global,0.15,106,8
2,8,draft_smart_top2_mean_global,0.15,234,36
2,9,draft_smart_top2_mean_global,0.15,368,65
3,0,draft_smart_frequency_global,0.15,108,33
3,1,draft_smart_frequency_global,0.15,92,28
3,2,draft_smart_frequency_global,0.15,90,7
3,3,draft_smart_frequency_global,0.15,170,5
3,4,draft_smart_frequency_global,0.15,141,9
3,5,draft_smart_frequency_global,0.15,200,7
3,6,draft_smart_frequency_global,0.15,52,6
3,7,draft_smart_frequency_global,0.15,143,5
3,8,draft_smart_frequency_global,0.15,68,10
3,9,draft_smart_frequency_global,0.15,90,14
3,10,draft_smart_frequency_global,0.15,89,62
3,0,draft_smart_mean_score_global,0.15,108,25
3,1,draft_smart_mean_score_global,0.15,92,20
3,2,draft_smart_mean_score_global,0.15,90,11
3,3,draft_smart_mean_score_global,0.15,170,10
3,4,draft_smart_mean_score_global,0.15,141,14
3,5,draft_smart_mean_score_global,0.15,200,11
3,6,draft_smart_mean_score_global,0.15,52,7
3,7,draft_smart_mean_score_global,0.15,143,7
3,8,draft_smart_mean_score_global,0.15,68,10
3,9,draft_smart_mean_score_global,0.15,90,20
3,10,draft_smart_mean_score_global,0.15,89,51
3,0,draft_smart_max_score_global,0.15,108,27
