example_id,chunk_id,method,rate,chunk_len,selected_count,n_calibration_queries
0,0,full_attention_frequency_per_chunk,0.15,50,7,2
0,0,full_attention_mean_score_per_chunk,0.15,50,7,2
0,1,full_attention_frequency_per_chunk,0.15,92,13,2
0,1,full_attention_mean_score_per_chunk,0.15,92,13,2
0,2,full_attention_frequency_per_chunk,0.15,76,11,2
0,2,full_attention_mean_score_per_chunk,0.15,76,11,2
0,3,full_attention_frequency_per_chunk,0.15,98,14,2
0,3,full_attention_mean_score_per_chunk,0.15,98,14,2
0,4,full_attention_frequency_per_chunk,0.15,52,7,2
0,4,full_attention_mean_score_per_chunk,0.15,52,7,2
0,5,full_attention_frequency_per_chunk,0.15,214,32,2
0,5,full_attention_mean_score_per_chunk,0.15,214,32,2
0,6,full_attention_frequency_per_chunk,0.15,121,18,2
0,6,full_attention_mean_score_per_chunk,0.15,121,18,2
0,7,full_attention_frequency_per_chunk,0.15,301,45,2
0,7,full_attention_mean_score_per_chunk,0.15,301,45,2
0,8,full_attention_frequency_per_chunk,0.15,84,12,2
0,8,full_attention_mean_score_per_chunk,0.15,84,12,2
0,9,full_attention_frequency_per_chunk,0.15,83,12,2
0,9,full_attention_mean_score_per_chunk,0.15,83,12,2
