chunk,method,chunk_len,selected_count,example_id,rate
chunk00,draft_frequency_per_chunk,50,2,0,0.05
chunk00,qk_frequency_per_chunk,50,2,0,0.05
chunk00,hybrid_draft70_qk30_score_per_chunk,50,2,0,0.05
chunk00,hybrid_draft50_qk50_score_per_chunk,50,2,0,0.05
chunk01,draft_frequency_per_chunk,92,4,0,0.05
chunk01,qk_frequency_per_chunk,92,4,0,0.05
chunk01,hybrid_draft70_qk30_score_per_chunk,92,4,0,0.05
chunk01,hybrid_draft50_qk50_score_per_chunk,92,4,0,0.05
chunk02,draft_frequency_per_chunk,76,3,0,0.05
chunk02,qk_frequency_per_chunk,76,3,0,0.05
chunk02,hybrid_draft70_qk30_score_per_chunk,76,3,0,0.05
chunk02,hybrid_draft50_qk50_score_per_chunk,76,3,0,0.05
chunk03,draft_frequency_per_chunk,98,4,0,0.05
chunk03,qk_frequency_per_chunk,98,4,0,0.05
chunk03,hybrid_draft70_qk30_score_per_chunk,98,4,0,0.05
chunk03,hybrid_draft50_qk50_score_per_chunk,98,4,0,0.05
chunk04,draft_frequency_per_chunk,52,2,0,0.05
chunk04,qk_frequency_per_chunk,52,2,0,0.05
chunk04,hybrid_draft70_qk30_score_per_chunk,52,2,0,0.05
chunk04,hybrid_draft50_qk50_score_per_chunk,52,2,0,0.05
chunk05,draft_frequency_per_chunk,214,10,0,0.05
chunk05,qk_frequency_per_chunk,214,10,0,0.05
chunk05,hybrid_draft70_qk30_score_per_chunk,214,10,0,0.05
chunk05,hybrid_draft50_qk50_score_per_chunk,214,10,0,0.05
chunk06,draft_frequency_per_chunk,121,6,0,0.05
chunk06,qk_frequency_per_chunk,121,6,0,0.05
chunk06,hybrid_draft70_qk30_score_per_chunk,121,6,0,0.05
chunk06,hybrid_draft50_qk50_score_per_chunk,121,6,0,0.05
chunk07,draft_frequency_per_chunk,301,15,0,0.05
chunk07,qk_frequency_per_chunk,301,15,0,0.05
chunk07,hybrid_draft70_qk30_score_per_chunk,301,15,0,0.05
chunk07,hybrid_draft50_qk50_score_per_chunk,301,15,0,0.05
chunk08,draft_frequency_per_chunk,84,4,0,0.05
chunk08,qk_frequency_per_chunk,84,4,0,0.05
chunk08,hybrid_draft70_qk30_score_per_chunk,84,4,0,0.05
chunk08,hybrid_draft50_qk50_score_per_chunk,84,4,0,0.05
chunk09,draft_frequency_per_chunk,83,4,0,0.05
chunk09,qk_frequency_per_chunk,83,4,0,0.05
chunk09,hybrid_draft70_qk30_score_per_chunk,83,4,0,0.05
chunk09,hybrid_draft50_qk50_score_per_chunk,83,4,0,0.05
chunk00,draft_frequency_per_chunk,90,4,1,0.05
chunk00,qk_frequency_per_chunk,90,4,1,0.05
chunk00,hybrid_draft70_qk30_score_per_chunk,90,4,1,0.05
chunk00,hybrid_draft50_qk50_score_per_chunk,90,4,1,0.05
chunk01,draft_frequency_per_chunk,85,4,1,0.05
chunk01,qk_frequency_per_chunk,85,4,1,0.05
chunk01,hybrid_draft70_qk30_score_per_chunk,85,4,1,0.05
chunk01,hybrid_draft50_qk50_score_per_chunk,85,4,1,0.05
chunk02,draft_frequency_per_chunk,130,6,1,0.05
chunk02,qk_frequency_per_chunk,130,6,1,0.05
chunk02,hybrid_draft70_qk30_score_per_chunk,130,6,1,0.05
chunk02,hybrid_draft50_qk50_score_per_chunk,130,6,1,0.05
chunk03,draft_frequency_per_chunk,86,4,1,0.05
chunk03,qk_frequency_per_chunk,86,4,1,0.05
chunk03,hybrid_draft70_qk30_score_per_chunk,86,4,1,0.05
chunk03,hybrid_draft50_qk50_score_per_chunk,86,4,1,0.05
chunk04,draft_frequency_per_chunk,135,6,1,0.05
chunk04,qk_frequency_per_chunk,135,6,1,0.05
chunk04,hybrid_draft70_qk30_score_per_chunk,135,6,1,0.05
chunk04,hybrid_draft50_qk50_score_per_chunk,135,6,1,0.05
chunk05,draft_frequency_per_chunk,217,10,1,0.05
chunk05,qk_frequency_per_chunk,217,10,1,0.05
chunk05,hybrid_draft70_qk30_score_per_chunk,217,10,1,0.05
chunk05,hybrid_draft50_qk50_score_per_chunk,217,10,1,0.05
chunk06,draft_frequency_per_chunk,56,2,1,0.05
chunk06,qk_frequency_per_chunk,56,2,1,0.05
chunk06,hybrid_draft70_qk30_score_per_chunk,56,2,1,0.05
chunk06,hybrid_draft50_qk50_score_per_chunk,56,2,1,0.05
chunk07,draft_frequency_per_chunk,216,10,1,0.05
chunk07,qk_frequency_per_chunk,216,10,1,0.05
chunk07,hybrid_draft70_qk30_score_per_chunk,216,10,1,0.05
chunk07,hybrid_draft50_qk50_score_per_chunk,216,10,1,0.05
chunk08,draft_frequency_per_chunk,113,5,1,0.05
chunk08,qk_frequency_per_chunk,113,5,1,0.05
chunk08,hybrid_draft70_qk30_score_per_chunk,113,5,1,0.05
chunk08,hybrid_draft50_qk50_score_per_chunk,113,5,1,0.05
chunk09,draft_frequency_per_chunk,77,3,1,0.05
chunk09,qk_frequency_per_chunk,77,3,1,0.05
chunk09,hybrid_draft70_qk30_score_per_chunk,77,3,1,0.05
chunk09,hybrid_draft50_qk50_score_per_chunk,77,3,1,0.05
chunk00,draft_frequency_per_chunk,64,3,2,0.05
chunk00,qk_frequency_per_chunk,64,3,2,0.05
chunk00,hybrid_draft70_qk30_score_per_chunk,64,3,2,0.05
chunk00,hybrid_draft50_qk50_score_per_chunk,64,3,2,0.05
chunk01,draft_frequency_per_chunk,122,6,2,0.05
chunk01,qk_frequency_per_chunk,122,6,2,0.05
chunk01,hybrid_draft70_qk30_score_per_chunk,122,6,2,0.05
chunk01,hybrid_draft50_qk50_score_per_chunk,122,6,2,0.05
chunk02,draft_frequency_per_chunk,88,4,2,0.05
chunk02,qk_frequency_per_chunk,88,4,2,0.05
chunk02,hybrid_draft70_qk30_score_per_chunk,88,4,2,0.05
chunk02,hybrid_draft50_qk50_score_per_chunk,88,4,2,0.05
chunk03,draft_frequency_per_chunk,48,2,2,0.05
chunk03,qk_frequency_per_chunk,48,2,2,0.05
chunk03,hybrid_draft70_qk30_score_per_chunk,48,2,2,0.05
chunk03,hybrid_draft50_qk50_score_per_chunk,48,2,2,0.05
chunk04,draft_frequency_per_chunk,185,9,2,0.05
chunk04,qk_frequency_per_chunk,185,9,2,0.05
chunk04,hybrid_draft70_qk30_score_per_chunk,185,9,2,0.05
chunk04,hybrid_draft50_qk50_score_per_chunk,185,9,2,0.05
chunk05,draft_frequency_per_chunk,63,3,2,0.05
chunk05,qk_frequency_per_chunk,63,3,2,0.05
chunk05,hybrid_draft70_qk30_score_per_chunk,63,3,2,0.05
chunk05,hybrid_draft50_qk50_score_per_chunk,63,3,2,0.05
chunk06,draft_frequency_per_chunk,99,4,2,0.05
chunk06,qk_frequency_per_chunk,99,4,2,0.05
chunk06,hybrid_draft70_qk30_score_per_chunk,99,4,2,0.05
chunk06,hybrid_draft50_qk50_score_per_chunk,99,4,2,0.05
chunk07,draft_frequency_per_chunk,106,5,2,0.05
chunk07,qk_frequency_per_chunk,106,5,2,0.05
chunk07,hybrid_draft70_qk30_score_per_chunk,106,5,2,0.05
chunk07,hybrid_draft50_qk50_score_per_chunk,106,5,2,0.05
chunk08,draft_frequency_per_chunk,234,11,2,0.05
chunk08,qk_frequency_per_chunk,234,11,2,0.05
chunk08,hybrid_draft70_qk30_score_per_chunk,234,11,2,0.05
chunk08,hybrid_draft50_qk50_score_per_chunk,234,11,2,0.05
chunk09,draft_frequency_per_chunk,368,18,2,0.05
chunk09,qk_frequency_per_chunk,368,18,2,0.05
chunk09,hybrid_draft70_qk30_score_per_chunk,368,18,2,0.05
chunk09,hybrid_draft50_qk50_score_per_chunk,368,18,2,0.05
chunk00,draft_frequency_per_chunk,108,5,3,0.05
