example_id,chunk_id,method,rate,chunk_len,selected_count,n_calibration_queries
150,0,qk_frequency_per_chunk,0.15,82,12,8
150,0,qk_mean_score_per_chunk,0.15,82,12,8
150,1,qk_frequency_per_chunk,0.15,81,12,8
150,1,qk_mean_score_per_chunk,0.15,81,12,8
150,2,qk_frequency_per_chunk,0.15,111,16,8
150,2,qk_mean_score_per_chunk,0.15,111,16,8
150,3,qk_frequency_per_chunk,0.15,83,12,8
150,3,qk_mean_score_per_chunk,0.15,83,12,8
150,4,qk_frequency_per_chunk,0.15,80,12,8
150,4,qk_mean_score_per_chunk,0.15,80,12,8
150,5,qk_frequency_per_chunk,0.15,80,12,8
150,5,qk_mean_score_per_chunk,0.15,80,12,8
150,6,qk_frequency_per_chunk,0.15,80,12,8
150,6,qk_mean_score_per_chunk,0.15,80,12,8
150,7,qk_frequency_per_chunk,0.15,81,12,8
150,7,qk_mean_score_per_chunk,0.15,81,12,8
150,8,qk_frequency_per_chunk,0.15,80,12,8
150,8,qk_mean_score_per_chunk,0.15,80,12,8
150,9,qk_frequency_per_chunk,0.15,82,12,8
150,9,qk_mean_score_per_chunk,0.15,82,12,8
150,10,qk_frequency_per_chunk,0.15,172,25,8
150,10,qk_mean_score_per_chunk,0.15,172,25,8
150,11,qk_frequency_per_chunk,0.15,151,22,8
150,11,qk_mean_score_per_chunk,0.15,151,22,8
150,12,qk_frequency_per_chunk,0.15,175,26,8
150,12,qk_mean_score_per_chunk,0.15,175,26,8
150,13,qk_frequency_per_chunk,0.15,78,11,8
150,13,qk_mean_score_per_chunk,0.15,78,11,8
150,14,qk_frequency_per_chunk,0.15,117,17,8
150,14,qk_mean_score_per_chunk,0.15,117,17,8
150,15,qk_frequency_per_chunk,0.15,190,28,8
150,15,qk_mean_score_per_chunk,0.15,190,28,8
150,16,qk_frequency_per_chunk,0.15,317,47,8
150,16,qk_mean_score_per_chunk,0.15,317,47,8
150,17,qk_frequency_per_chunk,0.15,88,13,8
150,17,qk_mean_score_per_chunk,0.15,88,13,8
151,0,qk_frequency_per_chunk,0.15,55,8,8
151,0,qk_mean_score_per_chunk,0.15,55,8,8
151,1,qk_frequency_per_chunk,0.15,96,14,8
151,1,qk_mean_score_per_chunk,0.15,96,14,8
151,2,qk_frequency_per_chunk,0.15,83,12,8
151,2,qk_mean_score_per_chunk,0.15,83,12,8
151,3,qk_frequency_per_chunk,0.15,32,4,8
151,3,qk_mean_score_per_chunk,0.15,32,4,8
151,4,qk_frequency_per_chunk,0.15,142,21,8
151,4,qk_mean_score_per_chunk,0.15,142,21,8
151,5,qk_frequency_per_chunk,0.15,102,15,8
