/mnt/qjhs-sh-lab-01/wjh/FusionRAG/.venv/lib/python3.10/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  2.57it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:03<00:00,  2.19s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:03<00:00,  1.92s/it]
teacher pair=5000 top=57 score_mean=0.144366
teacher pair=5001 top=57 score_mean=0.144366
teacher pair=5002 top=57 score_mean=0.144366
teacher pair=5003 top=57 score_mean=0.144366
teacher pair=5004 top=57 score_mean=0.144366
teacher pair=5005 top=57 score_mean=0.144366
teacher pair=5006 top=57 score_mean=0.144366
teacher pair=5007 top=57 score_mean=0.144366
teacher pair=5008 top=57 score_mean=0.144366
teacher pair=5009 top=57 score_mean=0.144366
teacher pair=5010 top=57 score_mean=0.144366
teacher pair=5011 top=57 score_mean=0.144366
teacher pair=5012 top=57 score_mean=0.144366
teacher pair=5013 top=57 score_mean=0.144366
teacher pair=5014 top=57 score_mean=0.144366
teacher pair=5015 top=57 score_mean=0.144366
teacher pair=5016 top=57 score_mean=0.144366
teacher pair=5017 top=57 score_mean=0.144366
teacher pair=5018 top=57 score_mean=0.144366
teacher pair=5019 top=57 score_mean=0.144366
teacher pair=5020 top=57 score_mean=0.144366
teacher pair=5021 top=57 score_mean=0.144366
teacher pair=5022 top=57 score_mean=0.144366
teacher pair=5023 top=57 score_mean=0.144366
teacher pair=5024 top=57 score_mean=0.144366
teacher pair=5025 top=57 score_mean=0.144366
teacher pair=5026 top=57 score_mean=0.144366
teacher pair=5027 top=57 score_mean=0.144366
teacher pair=5028 top=57 score_mean=0.144366
teacher pair=5029 top=57 score_mean=0.144366
teacher pair=5030 top=57 score_mean=0.144366
teacher pair=5031 top=57 score_mean=0.144366
teacher pair=5032 top=57 score_mean=0.144366
teacher pair=5033 top=57 score_mean=0.144366
teacher pair=5034 top=57 score_mean=0.144366
teacher pair=5035 top=57 score_mean=0.144366
teacher pair=5036 top=57 score_mean=0.144366
teacher pair=5037 top=57 score_mean=0.144366
teacher pair=5038 top=57 score_mean=0.144366
teacher pair=5039 top=57 score_mean=0.144366
teacher pair=5040 top=57 score_mean=0.144366
teacher pair=5041 top=57 score_mean=0.144366
teacher pair=5042 top=57 score_mean=0.144366
teacher pair=5043 top=57 score_mean=0.144366
teacher pair=5044 top=57 score_mean=0.144366
teacher pair=5045 top=57 score_mean=0.144366
teacher pair=5046 top=57 score_mean=0.144366
teacher pair=5047 top=57 score_mean=0.144366
teacher pair=5048 top=57 score_mean=0.144366
teacher pair=5049 top=57 score_mean=0.144366
teacher pair=5050 top=57 score_mean=0.144366
teacher pair=5051 top=57 score_mean=0.144366
teacher pair=5052 top=57 score_mean=0.144366
teacher pair=5053 top=57 score_mean=0.144366
teacher pair=5054 top=57 score_mean=0.144366
teacher pair=5055 top=57 score_mean=0.144366
teacher pair=5056 top=57 score_mean=0.144366
teacher pair=5057 top=57 score_mean=0.144366
teacher pair=5058 top=57 score_mean=0.144366
teacher pair=5059 top=57 score_mean=0.144366
teacher pair=5060 top=57 score_mean=0.144366
teacher pair=5061 top=57 score_mean=0.144366
teacher pair=5062 top=57 score_mean=0.144366
teacher pair=5063 top=57 score_mean=0.144366
teacher pair=5064 top=57 score_mean=0.144366
teacher pair=5065 top=57 score_mean=0.144366
teacher pair=5066 top=57 score_mean=0.144366
teacher pair=5067 top=57 score_mean=0.144366
teacher pair=5068 top=57 score_mean=0.144366
teacher pair=5069 top=57 score_mean=0.144366
teacher pair=5070 top=57 score_mean=0.144366
teacher pair=5071 top=57 score_mean=0.144366
teacher pair=5072 top=57 score_mean=0.144366
teacher pair=5073 top=57 score_mean=0.144366
teacher pair=5074 top=57 score_mean=0.144366
teacher pair=5075 top=57 score_mean=0.144366
teacher pair=5076 top=57 score_mean=0.144366
teacher pair=5077 top=57 score_mean=0.144366
teacher pair=5078 top=57 score_mean=0.144366
teacher pair=5079 top=57 score_mean=0.144366
teacher pair=5080 top=57 score_mean=0.144366
teacher pair=5081 top=57 score_mean=0.144366
teacher pair=5082 top=57 score_mean=0.144366
teacher pair=5083 top=57 score_mean=0.144366
teacher pair=5084 top=57 score_mean=0.144366
teacher pair=5085 top=57 score_mean=0.144366
teacher pair=5086 top=57 score_mean=0.144366
teacher pair=5087 top=57 score_mean=0.144366
teacher pair=5088 top=57 score_mean=0.144366
teacher pair=5089 top=57 score_mean=0.144366
teacher pair=5090 top=57 score_mean=0.144366
teacher pair=5091 top=57 score_mean=0.144366
teacher pair=5092 top=57 score_mean=0.144366
teacher pair=5093 top=57 score_mean=0.144366
teacher pair=5094 top=57 score_mean=0.144366
teacher pair=5095 top=57 score_mean=0.144366
teacher pair=5096 top=57 score_mean=0.144366
teacher pair=5097 top=57 score_mean=0.144366
teacher pair=5098 top=57 score_mean=0.144366
teacher pair=5099 top=57 score_mean=0.144366
teacher pair=5100 top=57 score_mean=0.144366
teacher pair=5101 top=57 score_mean=0.144366
teacher pair=5102 top=57 score_mean=0.144366
teacher pair=5103 top=57 score_mean=0.144366
teacher pair=5104 top=57 score_mean=0.144366
teacher pair=5105 top=57 score_mean=0.144366
teacher pair=5106 top=57 score_mean=0.144366
teacher pair=5107 top=57 score_mean=0.144366
teacher pair=5108 top=57 score_mean=0.144366
teacher pair=5109 top=57 score_mean=0.144366
teacher pair=5110 top=57 score_mean=0.144366
teacher pair=5111 top=57 score_mean=0.144366
teacher pair=5112 top=57 score_mean=0.144366
teacher pair=5113 top=57 score_mean=0.144366
teacher pair=5114 top=57 score_mean=0.144366
teacher pair=5115 top=57 score_mean=0.144366
teacher pair=5116 top=57 score_mean=0.144366
teacher pair=5117 top=57 score_mean=0.144366
teacher pair=5118 top=57 score_mean=0.144366
teacher pair=5119 top=57 score_mean=0.144366
teacher pair=5120 top=57 score_mean=0.144366
teacher pair=5121 top=57 score_mean=0.144366
teacher pair=5122 top=57 score_mean=0.144366
teacher pair=5123 top=57 score_mean=0.144366
teacher pair=5124 top=57 score_mean=0.144366
teacher pair=5125 top=57 score_mean=0.144366
teacher pair=5126 top=57 score_mean=0.144366
teacher pair=5127 top=57 score_mean=0.144366
teacher pair=5128 top=57 score_mean=0.144366
teacher pair=5129 top=57 score_mean=0.144366
teacher pair=5130 top=57 score_mean=0.144366
teacher pair=5131 top=57 score_mean=0.144366
teacher pair=5132 top=57 score_mean=0.144366
teacher pair=5133 top=57 score_mean=0.144366
teacher pair=5134 top=57 score_mean=0.144366
teacher pair=5135 top=57 score_mean=0.144366
teacher pair=5136 top=57 score_mean=0.144366
teacher pair=5137 top=57 score_mean=0.144366
teacher pair=5138 top=57 score_mean=0.144366
teacher pair=5139 top=57 score_mean=0.144366
teacher pair=5140 top=57 score_mean=0.144366
teacher pair=5141 top=57 score_mean=0.144366
teacher pair=5142 top=57 score_mean=0.144366
teacher pair=5143 top=57 score_mean=0.144366
teacher pair=5144 top=57 score_mean=0.144366
teacher pair=5145 top=57 score_mean=0.144366
teacher pair=5146 top=57 score_mean=0.144366
teacher pair=5147 top=57 score_mean=0.144366
teacher pair=5148 top=57 score_mean=0.144366
teacher pair=5149 top=57 score_mean=0.144366
teacher pair=5150 top=57 score_mean=0.144366
teacher pair=5151 top=57 score_mean=0.144366
teacher pair=5152 top=57 score_mean=0.144366
teacher pair=5153 top=57 score_mean=0.144366
teacher pair=5154 top=57 score_mean=0.144366
teacher pair=5155 top=57 score_mean=0.144366
teacher pair=5156 top=57 score_mean=0.144366
teacher pair=5157 top=57 score_mean=0.144366
teacher pair=5158 top=57 score_mean=0.144366
teacher pair=5159 top=57 score_mean=0.144366
teacher pair=5160 top=57 score_mean=0.144366
teacher pair=5161 top=57 score_mean=0.144366
teacher pair=5162 top=57 score_mean=0.144366
teacher pair=5163 top=57 score_mean=0.144366
teacher pair=5164 top=57 score_mean=0.144366
teacher pair=5165 top=57 score_mean=0.144366
teacher pair=5166 top=57 score_mean=0.144366
teacher pair=5167 top=57 score_mean=0.144366
teacher pair=5168 top=57 score_mean=0.144366
teacher pair=5169 top=57 score_mean=0.144366
teacher pair=5170 top=57 score_mean=0.144366
teacher pair=5171 top=57 score_mean=0.144366
teacher pair=5172 top=57 score_mean=0.144366
teacher pair=5173 top=57 score_mean=0.144366
teacher pair=5174 top=57 score_mean=0.144366
teacher pair=5175 top=57 score_mean=0.144366
teacher pair=5176 top=57 score_mean=0.144366
teacher pair=5177 top=57 score_mean=0.144366
teacher pair=5178 top=57 score_mean=0.144366
teacher pair=5179 top=57 score_mean=0.144366
teacher pair=5180 top=57 score_mean=0.144366
teacher pair=5181 top=57 score_mean=0.144366
teacher pair=5182 top=57 score_mean=0.144366
teacher pair=5183 top=57 score_mean=0.144366
teacher pair=5184 top=57 score_mean=0.144366
teacher pair=5185 top=57 score_mean=0.144366
teacher pair=5186 top=57 score_mean=0.144366
teacher pair=5187 top=57 score_mean=0.144366
teacher pair=5188 top=57 score_mean=0.144366
teacher pair=5189 top=57 score_mean=0.144366
teacher pair=5190 top=57 score_mean=0.144366
teacher pair=5191 top=57 score_mean=0.144366
teacher pair=5192 top=57 score_mean=0.144366
teacher pair=5193 top=57 score_mean=0.144366
teacher pair=5194 top=57 score_mean=0.144366
teacher pair=5195 top=57 score_mean=0.144366
teacher pair=5196 top=57 score_mean=0.144366
teacher pair=5197 top=57 score_mean=0.144366
teacher pair=5198 top=57 score_mean=0.144366
teacher pair=5199 top=57 score_mean=0.144366
teacher pair=5200 top=57 score_mean=0.144366
teacher pair=5201 top=57 score_mean=0.144366
teacher pair=5202 top=57 score_mean=0.144366
teacher pair=5203 top=57 score_mean=0.144366
teacher pair=5204 top=57 score_mean=0.144366
teacher pair=5205 top=57 score_mean=0.144366
teacher pair=5206 top=57 score_mean=0.144366
teacher pair=5207 top=57 score_mean=0.144366
teacher pair=5208 top=57 score_mean=0.144366
teacher pair=5209 top=57 score_mean=0.144366
teacher pair=5210 top=57 score_mean=0.144366
teacher pair=5211 top=57 score_mean=0.144366
teacher pair=5212 top=57 score_mean=0.144366
teacher pair=5213 top=57 score_mean=0.144366
teacher pair=5214 top=57 score_mean=0.144366
teacher pair=5215 top=57 score_mean=0.144366
teacher pair=5216 top=57 score_mean=0.144366
teacher pair=5217 top=57 score_mean=0.144366
teacher pair=5218 top=57 score_mean=0.144366
teacher pair=5219 top=57 score_mean=0.144366
teacher pair=5220 top=57 score_mean=0.144366
teacher pair=5221 top=57 score_mean=0.144366
teacher pair=5222 top=57 score_mean=0.144366
teacher pair=5223 top=57 score_mean=0.144366
teacher pair=5224 top=57 score_mean=0.144366
teacher pair=5225 top=57 score_mean=0.144366
teacher pair=5226 top=57 score_mean=0.144366
teacher pair=5227 top=57 score_mean=0.144366
teacher pair=5228 top=57 score_mean=0.144366
teacher pair=5229 top=57 score_mean=0.144366
teacher pair=5230 top=57 score_mean=0.144366
teacher pair=5231 top=57 score_mean=0.144366
teacher pair=5232 top=57 score_mean=0.144366
teacher pair=5233 top=57 score_mean=0.144366
teacher pair=5234 top=57 score_mean=0.144366
teacher pair=5235 top=57 score_mean=0.144366
teacher pair=5236 top=57 score_mean=0.144366
teacher pair=5237 top=57 score_mean=0.144366
teacher pair=5238 top=57 score_mean=0.144366
teacher pair=5239 top=57 score_mean=0.144366
teacher pair=5240 top=57 score_mean=0.144366
teacher pair=5241 top=57 score_mean=0.144366
teacher pair=5242 top=57 score_mean=0.144366
teacher pair=5243 top=57 score_mean=0.144366
teacher pair=5244 top=57 score_mean=0.144366
teacher pair=5245 top=57 score_mean=0.144366
teacher pair=5246 top=57 score_mean=0.144366
teacher pair=5247 top=57 score_mean=0.144366
teacher pair=5248 top=57 score_mean=0.144366
teacher pair=5249 top=57 score_mean=0.144366
teacher pair=5250 top=57 score_mean=0.144366
teacher pair=5251 top=57 score_mean=0.144366
teacher pair=5252 top=57 score_mean=0.144366
teacher pair=5253 top=57 score_mean=0.144366
teacher pair=5254 top=57 score_mean=0.144366
teacher pair=5255 top=57 score_mean=0.144366
teacher pair=5256 top=57 score_mean=0.144366
teacher pair=5257 top=57 score_mean=0.144366
teacher pair=5258 top=57 score_mean=0.144366
teacher pair=5259 top=57 score_mean=0.144366
teacher pair=5260 top=57 score_mean=0.144366
teacher pair=5261 top=57 score_mean=0.144366
teacher pair=5262 top=57 score_mean=0.144366
teacher pair=5263 top=57 score_mean=0.144366
teacher pair=5264 top=57 score_mean=0.144366
teacher pair=5265 top=57 score_mean=0.144366
teacher pair=5266 top=57 score_mean=0.144366
teacher pair=5267 top=57 score_mean=0.144366
teacher pair=5268 top=57 score_mean=0.144366
teacher pair=5269 top=57 score_mean=0.144366
teacher pair=5270 top=57 score_mean=0.144366
teacher pair=5271 top=57 score_mean=0.144366
teacher pair=5272 top=57 score_mean=0.144366
teacher pair=5273 top=57 score_mean=0.144366
teacher pair=5274 top=57 score_mean=0.144366
teacher pair=5275 top=57 score_mean=0.144366
teacher pair=5276 top=57 score_mean=0.144366
teacher pair=5277 top=57 score_mean=0.144366
teacher pair=5278 top=57 score_mean=0.144366
teacher pair=5279 top=57 score_mean=0.144366
teacher pair=5280 top=57 score_mean=0.144366
teacher pair=5281 top=57 score_mean=0.144366
teacher pair=5282 top=57 score_mean=0.144366
teacher pair=5283 top=57 score_mean=0.144366
teacher pair=5284 top=57 score_mean=0.144366
teacher pair=5285 top=57 score_mean=0.144366
teacher pair=5286 top=57 score_mean=0.144366
teacher pair=5287 top=57 score_mean=0.144366
teacher pair=5288 top=57 score_mean=0.144366
teacher pair=5289 top=57 score_mean=0.144366
teacher pair=5290 top=57 score_mean=0.144366
teacher pair=5291 top=57 score_mean=0.144366
teacher pair=5292 top=57 score_mean=0.144366
teacher pair=5293 top=57 score_mean=0.144366
teacher pair=5294 top=57 score_mean=0.144366
teacher pair=5295 top=57 score_mean=0.144366
teacher pair=5296 top=57 score_mean=0.144366
teacher pair=5297 top=57 score_mean=0.144366
teacher pair=5298 top=57 score_mean=0.144366
teacher pair=5299 top=57 score_mean=0.144366
teacher pair=5300 top=57 score_mean=0.144366
teacher pair=5301 top=57 score_mean=0.144366
teacher pair=5302 top=57 score_mean=0.144366
teacher pair=5303 top=57 score_mean=0.144366
teacher pair=5304 top=57 score_mean=0.144366
teacher pair=5305 top=57 score_mean=0.144366
teacher pair=5306 top=57 score_mean=0.144366
teacher pair=5307 top=57 score_mean=0.144366
teacher pair=5308 top=57 score_mean=0.144366
teacher pair=5309 top=57 score_mean=0.144366
teacher pair=5310 top=57 score_mean=0.144366
teacher pair=5311 top=57 score_mean=0.144366
teacher pair=5312 top=57 score_mean=0.144366
teacher pair=5313 top=57 score_mean=0.144366
teacher pair=5314 top=57 score_mean=0.144366
teacher pair=5315 top=57 score_mean=0.144366
teacher pair=5316 top=57 score_mean=0.144366
teacher pair=5317 top=57 score_mean=0.144366
teacher pair=5318 top=57 score_mean=0.144366
teacher pair=5319 top=57 score_mean=0.144366
teacher pair=5320 top=57 score_mean=0.144366
teacher pair=5321 top=57 score_mean=0.144366
teacher pair=5322 top=57 score_mean=0.144366
teacher pair=5323 top=57 score_mean=0.144366
teacher pair=5324 top=57 score_mean=0.144366
teacher pair=5325 top=57 score_mean=0.144366
teacher pair=5326 top=57 score_mean=0.144366
teacher pair=5327 top=57 score_mean=0.144366
teacher pair=5328 top=57 score_mean=0.144366
teacher pair=5329 top=57 score_mean=0.144366
teacher pair=5330 top=57 score_mean=0.144366
teacher pair=5331 top=57 score_mean=0.144366
teacher pair=5332 top=57 score_mean=0.144366
teacher pair=5333 top=57 score_mean=0.144366
teacher pair=5334 top=57 score_mean=0.144366
teacher pair=5335 top=57 score_mean=0.144366
teacher pair=5336 top=57 score_mean=0.144366
teacher pair=5337 top=57 score_mean=0.144366
teacher pair=5338 top=57 score_mean=0.144366
teacher pair=5339 top=57 score_mean=0.144366
teacher pair=5340 top=57 score_mean=0.144366
teacher pair=5341 top=57 score_mean=0.144366
teacher pair=5342 top=57 score_mean=0.144366
teacher pair=5343 top=57 score_mean=0.144366
teacher pair=5344 top=57 score_mean=0.144366
teacher pair=5345 top=57 score_mean=0.144366
teacher pair=5346 top=57 score_mean=0.144366
teacher pair=5347 top=57 score_mean=0.144366
teacher pair=5348 top=57 score_mean=0.144366
teacher pair=5349 top=57 score_mean=0.144366
teacher pair=5350 top=57 score_mean=0.144366
teacher pair=5351 top=57 score_mean=0.144366
teacher pair=5352 top=57 score_mean=0.144366
teacher pair=5353 top=57 score_mean=0.144366
teacher pair=5354 top=57 score_mean=0.144366
teacher pair=5355 top=57 score_mean=0.144366
teacher pair=5356 top=57 score_mean=0.144366
teacher pair=5357 top=57 score_mean=0.144366
teacher pair=5358 top=57 score_mean=0.144366
teacher pair=5359 top=57 score_mean=0.144366
teacher pair=5360 top=57 score_mean=0.144366
teacher pair=5361 top=57 score_mean=0.144366
teacher pair=5362 top=57 score_mean=0.144366
teacher pair=5363 top=57 score_mean=0.144366
teacher pair=5364 top=57 score_mean=0.144366
teacher pair=5365 top=57 score_mean=0.144366
teacher pair=5366 top=57 score_mean=0.144366
teacher pair=5367 top=57 score_mean=0.144366
teacher pair=5368 top=57 score_mean=0.144366
teacher pair=5369 top=57 score_mean=0.144366
teacher pair=5370 top=57 score_mean=0.144366
teacher pair=5371 top=57 score_mean=0.144366
teacher pair=5372 top=57 score_mean=0.144366
teacher pair=5373 top=57 score_mean=0.144366
teacher pair=5374 top=57 score_mean=0.144366
teacher pair=5375 top=57 score_mean=0.144366
teacher pair=5376 top=57 score_mean=0.144366
teacher pair=5377 top=57 score_mean=0.144366
teacher pair=5378 top=57 score_mean=0.144366
teacher pair=5379 top=57 score_mean=0.144366
teacher pair=5380 top=57 score_mean=0.144366
teacher pair=5381 top=57 score_mean=0.144366
teacher pair=5382 top=57 score_mean=0.144366
teacher pair=5383 top=57 score_mean=0.144366
teacher pair=5384 top=57 score_mean=0.144366
teacher pair=5385 top=57 score_mean=0.144366
teacher pair=5386 top=57 score_mean=0.144366
teacher pair=5387 top=57 score_mean=0.144366
teacher pair=5388 top=57 score_mean=0.144366
teacher pair=5389 top=57 score_mean=0.144366
teacher pair=5390 top=57 score_mean=0.144366
teacher pair=5391 top=57 score_mean=0.144366
teacher pair=5392 top=57 score_mean=0.144366
teacher pair=5393 top=57 score_mean=0.144366
teacher pair=5394 top=57 score_mean=0.144366
teacher pair=5395 top=57 score_mean=0.144366
teacher pair=5396 top=57 score_mean=0.144366
teacher pair=5397 top=57 score_mean=0.144366
teacher pair=5398 top=57 score_mean=0.144366
teacher pair=5399 top=57 score_mean=0.144366
teacher pair=5400 top=57 score_mean=0.144366
teacher pair=5401 top=57 score_mean=0.144366
teacher pair=5402 top=57 score_mean=0.144366
teacher pair=5403 top=57 score_mean=0.144366
teacher pair=5404 top=57 score_mean=0.144366
teacher pair=5405 top=57 score_mean=0.144366
teacher pair=5406 top=57 score_mean=0.144366
teacher pair=5407 top=57 score_mean=0.144366
teacher pair=5408 top=57 score_mean=0.144366
teacher pair=5409 top=57 score_mean=0.144366
teacher pair=5410 top=57 score_mean=0.144366
teacher pair=5411 top=57 score_mean=0.144366
teacher pair=5412 top=57 score_mean=0.144366
teacher pair=5413 top=57 score_mean=0.144366
teacher pair=5414 top=57 score_mean=0.144366
teacher pair=5415 top=57 score_mean=0.144366
teacher pair=5416 top=57 score_mean=0.144366
teacher pair=5417 top=57 score_mean=0.144366
teacher pair=5418 top=57 score_mean=0.144366
teacher pair=5419 top=57 score_mean=0.144366
teacher pair=5420 top=57 score_mean=0.144366
teacher pair=5421 top=57 score_mean=0.144366
teacher pair=5422 top=57 score_mean=0.144366
teacher pair=5423 top=57 score_mean=0.144366
teacher pair=5424 top=57 score_mean=0.144366
teacher pair=5425 top=57 score_mean=0.144366
teacher pair=5426 top=57 score_mean=0.144366
teacher pair=5427 top=57 score_mean=0.144366
