/mnt/qjhs-sh-lab-01/wjh/FusionRAG/.venv/lib/python3.10/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:04<00:04,  4.67s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:07<00:00,  3.71s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:07<00:00,  3.85s/it]
teacher pair=125000 top=57 score_mean=0.144366
teacher pair=125001 top=57 score_mean=0.144366
teacher pair=125002 top=57 score_mean=0.144366
teacher pair=125003 top=57 score_mean=0.144366
teacher pair=125004 top=57 score_mean=0.144366
teacher pair=125005 top=57 score_mean=0.144366
teacher pair=125006 top=57 score_mean=0.144366
teacher pair=125007 top=57 score_mean=0.144366
teacher pair=125008 top=57 score_mean=0.144366
teacher pair=125009 top=57 score_mean=0.144366
teacher pair=125010 top=57 score_mean=0.144366
teacher pair=125011 top=57 score_mean=0.144366
teacher pair=125012 top=57 score_mean=0.144366
teacher pair=125013 top=57 score_mean=0.144366
teacher pair=125014 top=57 score_mean=0.144366
teacher pair=125015 top=57 score_mean=0.144366
teacher pair=125016 top=57 score_mean=0.144366
teacher pair=125017 top=57 score_mean=0.144366
teacher pair=125018 top=57 score_mean=0.144366
teacher pair=125019 top=57 score_mean=0.144366
teacher pair=125020 top=57 score_mean=0.144366
teacher pair=125021 top=57 score_mean=0.144366
teacher pair=125022 top=57 score_mean=0.144366
teacher pair=125023 top=57 score_mean=0.144366
teacher pair=125024 top=57 score_mean=0.144366
teacher pair=125025 top=57 score_mean=0.144366
teacher pair=125026 top=57 score_mean=0.144366
teacher pair=125027 top=57 score_mean=0.144366
teacher pair=125028 top=57 score_mean=0.144366
teacher pair=125029 top=57 score_mean=0.144366
teacher pair=125030 top=57 score_mean=0.144366
teacher pair=125031 top=57 score_mean=0.144366
teacher pair=125032 top=57 score_mean=0.144366
teacher pair=125033 top=57 score_mean=0.144366
teacher pair=125034 top=57 score_mean=0.144366
teacher pair=125035 top=57 score_mean=0.144366
teacher pair=125036 top=57 score_mean=0.144366
teacher pair=125037 top=57 score_mean=0.144366
teacher pair=125038 top=57 score_mean=0.144366
teacher pair=125039 top=57 score_mean=0.144366
teacher pair=125040 top=57 score_mean=0.144366
teacher pair=125041 top=57 score_mean=0.144366
teacher pair=125042 top=57 score_mean=0.144366
teacher pair=125043 top=57 score_mean=0.144366
teacher pair=125044 top=57 score_mean=0.144366
teacher pair=125045 top=57 score_mean=0.144366
teacher pair=125046 top=57 score_mean=0.144366
teacher pair=125047 top=57 score_mean=0.144366
teacher pair=125048 top=57 score_mean=0.144366
teacher pair=125049 top=57 score_mean=0.144366
teacher pair=125050 top=57 score_mean=0.144366
teacher pair=125051 top=57 score_mean=0.144366
teacher pair=125052 top=57 score_mean=0.144366
teacher pair=125053 top=57 score_mean=0.144366
teacher pair=125054 top=57 score_mean=0.144366
teacher pair=125055 top=57 score_mean=0.144366
teacher pair=125056 top=57 score_mean=0.144366
teacher pair=125057 top=57 score_mean=0.144366
teacher pair=125058 top=57 score_mean=0.144366
teacher pair=125059 top=57 score_mean=0.144366
teacher pair=125060 top=57 score_mean=0.144366
teacher pair=125061 top=57 score_mean=0.144366
teacher pair=125062 top=57 score_mean=0.144366
teacher pair=125063 top=57 score_mean=0.144366
teacher pair=125064 top=57 score_mean=0.144366
teacher pair=125065 top=57 score_mean=0.144366
teacher pair=125066 top=57 score_mean=0.144366
teacher pair=125067 top=57 score_mean=0.144366
teacher pair=125068 top=57 score_mean=0.144366
teacher pair=125069 top=57 score_mean=0.144366
teacher pair=125070 top=57 score_mean=0.144366
teacher pair=125071 top=57 score_mean=0.144366
teacher pair=125072 top=57 score_mean=0.144366
teacher pair=125073 top=57 score_mean=0.144366
teacher pair=125074 top=57 score_mean=0.144366
teacher pair=125075 top=57 score_mean=0.144366
teacher pair=125076 top=57 score_mean=0.144366
teacher pair=125077 top=57 score_mean=0.144366
teacher pair=125078 top=57 score_mean=0.144366
teacher pair=125079 top=57 score_mean=0.144366
teacher pair=125080 top=57 score_mean=0.144366
teacher pair=125081 top=57 score_mean=0.144366
teacher pair=125082 top=57 score_mean=0.144366
teacher pair=125083 top=57 score_mean=0.144366
teacher pair=125084 top=57 score_mean=0.144366
teacher pair=125085 top=57 score_mean=0.144366
teacher pair=125086 top=57 score_mean=0.144366
teacher pair=125087 top=57 score_mean=0.144366
teacher pair=125088 top=57 score_mean=0.144366
teacher pair=125089 top=57 score_mean=0.144366
teacher pair=125090 top=57 score_mean=0.144366
teacher pair=125091 top=57 score_mean=0.144366
teacher pair=125092 top=57 score_mean=0.144366
teacher pair=125093 top=57 score_mean=0.144366
teacher pair=125094 top=57 score_mean=0.144366
teacher pair=125095 top=57 score_mean=0.144366
teacher pair=125096 top=57 score_mean=0.144366
teacher pair=125097 top=57 score_mean=0.144366
teacher pair=125098 top=57 score_mean=0.144366
teacher pair=125099 top=57 score_mean=0.144366
teacher pair=125100 top=57 score_mean=0.144366
teacher pair=125101 top=57 score_mean=0.144366
teacher pair=125102 top=57 score_mean=0.144366
teacher pair=125103 top=57 score_mean=0.144366
teacher pair=125104 top=57 score_mean=0.144366
teacher pair=125105 top=57 score_mean=0.144366
teacher pair=125106 top=57 score_mean=0.144366
teacher pair=125107 top=57 score_mean=0.144366
teacher pair=125108 top=57 score_mean=0.144366
teacher pair=125109 top=57 score_mean=0.144366
teacher pair=125110 top=57 score_mean=0.144366
teacher pair=125111 top=57 score_mean=0.144366
teacher pair=125112 top=57 score_mean=0.144366
teacher pair=125113 top=57 score_mean=0.144366
teacher pair=125114 top=57 score_mean=0.144366
teacher pair=125115 top=57 score_mean=0.144366
teacher pair=125116 top=57 score_mean=0.144366
teacher pair=125117 top=57 score_mean=0.144366
teacher pair=125118 top=57 score_mean=0.144366
teacher pair=125119 top=57 score_mean=0.144366
teacher pair=125120 top=57 score_mean=0.144366
teacher pair=125121 top=57 score_mean=0.144366
teacher pair=125122 top=57 score_mean=0.144366
teacher pair=125123 top=57 score_mean=0.144366
teacher pair=125124 top=57 score_mean=0.144366
teacher pair=125125 top=57 score_mean=0.144366
teacher pair=125126 top=57 score_mean=0.144366
teacher pair=125127 top=57 score_mean=0.144366
teacher pair=125128 top=57 score_mean=0.144366
teacher pair=125129 top=57 score_mean=0.144366
teacher pair=125130 top=57 score_mean=0.144366
teacher pair=125131 top=57 score_mean=0.144366
teacher pair=125132 top=57 score_mean=0.144366
teacher pair=125133 top=57 score_mean=0.144366
teacher pair=125134 top=57 score_mean=0.144366
teacher pair=125135 top=57 score_mean=0.144366
teacher pair=125136 top=57 score_mean=0.144366
teacher pair=125137 top=57 score_mean=0.144366
teacher pair=125138 top=57 score_mean=0.144366
teacher pair=125139 top=57 score_mean=0.144366
teacher pair=125140 top=57 score_mean=0.144366
teacher pair=125141 top=57 score_mean=0.144366
