base_method,example_id,sub_q_idx,doc_len,num_chunks,online_selected,base_selected,residual_size,residual_mapped,nonempty_chunks,nonempty_chunk_frac,top1_chunk_frac,top2_chunk_frac,top3_chunk_frac,entropy_norm,chunks_for_50pct,chunks_for_70pct,chunks_for_80pct,chunks_for_90pct,chunks_for_95pct
freq,75,0,1618,12,276,257,136,136,5,0.4166666666666667,0.5367647058823529,0.8308823529411765,0.9411764705882353,0.45308904983287135,1,2,2,3,4
freq,25,0,819,11,148,133,71,71,6,0.5454545454545454,0.4225352112676056,0.5633802816901409,0.6901408450704225,0.6683787312740406,2,4,4,5,6
freq,176,0,1202,12,204,183,87,87,10,0.8333333333333334,0.3333333333333333,0.6551724137931034,0.7816091954022989,0.6796441653250473,2,3,4,5,7
freq,150,0,877,11,163,88,105,105,10,0.9090909090909091,0.3523809523809524,0.4666666666666667,0.5714285714285714,0.8482124304570566,3,5,6,8,9
freq,25,1,1156,13,198,196,85,85,7,0.5384615384615384,0.3411764705882353,0.5529411764705883,0.7058823529411765,0.6644800405551581,2,3,4,5,6
freq,150,1,1763,13,288,336,133,133,6,0.46153846153846156,0.47368421052631576,0.7293233082706767,0.9398496240601504,0.49312261789425926,2,2,3,3,4
freq,77,0,1893,11,311,224,135,135,11,1.0,0.24444444444444444,0.48148148148148145,0.6074074074074074,0.8327122173969416,3,4,5,6,8
freq,50,0,1698,11,276,205,106,106,10,0.9090909090909091,0.24528301886792453,0.39622641509433965,0.5471698113207547,0.8653383983452634,3,5,6,7,8
freq,0,0,1344,13,227,219,108,108,6,0.46153846153846156,0.46296296296296297,0.75,0.9074074074074074,0.5120974150795015,2,2,3,3,4
freq,50,1,1948,11,315,281,177,177,8,0.7272727272727273,0.6214689265536724,0.7740112994350282,0.8757062146892656,0.5173974241102498,1,2,3,4,5
freq,77,1,2244,13,367,346,212,212,11,0.8461538461538461,0.41037735849056606,0.589622641509434,0.7594339622641509,0.6906980708564404,2,3,4,6,8
