base_method,num_queries_in_example,residual_frequency,token_count,mean_fraction_per_example
freq,2,0,111909,0.8811220132310782
freq,2,1,14109,0.11011662295999956
freq,2,2,1134,0.0099698277825667
freq,3,0,5300,0.8231267276123817
freq,3,1,1035,0.15316118245528543
freq,3,2,150,0.022459654369574526
freq,3,3,7,0.002087392604597181
freq,4,0,3104,0.8475504596869857
freq,4,1,377,0.09986773792368281
freq,4,2,78,0.021590243593125724
freq,4,3,94,0.02731487048067185
freq,4,4,14,0.0036766883155338846
mean,2,0,110307,0.8682148213341059
mean,2,1,15444,0.12084327093255831
mean,2,2,1401,0.011402619637897357
mean,3,0,5243,0.8138293296062066
mean,3,1,1091,0.1621835973847486
mean,3,2,151,0.022755831424250254
mean,3,3,7,0.002052069307990884
mean,4,0,3054,0.8340430979355511
mean,4,1,411,0.10886631480527684
mean,4,2,82,0.022646515692886383
mean,4,3,105,0.030472919175368984
mean,4,4,15,0.003971152390916688
