/mnt/qjhs-sh-lab-01/wjh/FusionRAG/.venv/lib/python3.10/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:04<00:04,  4.23s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:06<00:00,  3.01s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:06<00:00,  3.19s/it]
teacher pair=258 top=42 score_mean=0.177097
teacher pair=259 top=42 score_mean=0.178349
teacher pair=260 top=42 score_mean=0.178349
teacher pair=261 top=42 score_mean=0.178349
teacher pair=262 top=42 score_mean=0.178349
teacher pair=263 top=20 score_mean=0.277321
teacher pair=264 top=20 score_mean=0.277321
teacher pair=265 top=57 score_mean=0.144366
teacher pair=266 top=57 score_mean=0.144366
teacher pair=267 top=57 score_mean=0.144366
teacher pair=268 top=49 score_mean=0.160461
teacher pair=269 top=49 score_mean=0.160461
teacher pair=270 top=49 score_mean=0.160461
teacher pair=271 top=40 score_mean=0.18179
teacher pair=272 top=40 score_mean=0.18179
teacher pair=273 top=40 score_mean=0.18179
teacher pair=274 top=40 score_mean=0.18179
teacher pair=275 top=40 score_mean=0.18179
teacher pair=276 top=19 score_mean=0.284575
teacher pair=277 top=19 score_mean=0.284575
teacher pair=278 top=19 score_mean=0.284575
teacher pair=279 top=57 score_mean=0.144366
teacher pair=280 top=57 score_mean=0.144366
teacher pair=281 top=35 score_mean=0.199938
teacher pair=282 top=35 score_mean=0.199938
teacher pair=283 top=35 score_mean=0.199938
teacher pair=284 top=9 score_mean=0.433564
teacher pair=285 top=9 score_mean=0.433564
teacher pair=286 top=9 score_mean=0.433564
teacher pair=287 top=9 score_mean=0.433564
teacher pair=288 top=9 score_mean=0.433564
teacher pair=289 top=11 score_mean=0.391457
teacher pair=290 top=11 score_mean=0.391456
teacher pair=291 top=11 score_mean=0.391457
teacher pair=292 top=11 score_mean=0.391457
teacher pair=293 top=57 score_mean=0.144887
teacher pair=294 top=57 score_mean=0.144887
teacher pair=295 top=57 score_mean=0.144887
teacher pair=296 top=57 score_mean=0.144366
teacher pair=297 top=57 score_mean=0.144366
teacher pair=298 top=57 score_mean=0.144366
teacher pair=299 top=57 score_mean=0.144366
teacher pair=300 top=23 score_mean=0.258927
teacher pair=301 top=23 score_mean=0.258927
teacher pair=302 top=23 score_mean=0.258927
teacher pair=303 top=41 score_mean=0.181351
teacher pair=304 top=41 score_mean=0.181351
teacher pair=305 top=41 score_mean=0.181351
teacher pair=306 top=41 score_mean=0.181351
teacher pair=307 top=41 score_mean=0.181351
teacher pair=308 top=40 score_mean=0.184473
teacher pair=309 top=40 score_mean=0.184473
teacher pair=310 top=40 score_mean=0.184473
teacher pair=311 top=45 score_mean=0.168494
teacher pair=312 top=45 score_mean=0.168494
teacher pair=313 top=45 score_mean=0.168494
teacher pair=314 top=45 score_mean=0.168494
teacher pair=315 top=45 score_mean=0.168494
teacher pair=316 top=13 score_mean=0.355875
teacher pair=317 top=13 score_mean=0.355875
teacher pair=318 top=17 score_mean=0.30632
teacher pair=319 top=17 score_mean=0.30632
teacher pair=320 top=17 score_mean=0.30632
teacher pair=321 top=25 score_mean=0.247558
teacher pair=322 top=25 score_mean=0.247558
teacher pair=323 top=25 score_mean=0.247558
teacher pair=324 top=24 score_mean=0.249371
teacher pair=325 top=24 score_mean=0.249371
teacher pair=326 top=24 score_mean=0.249371
teacher pair=327 top=15 score_mean=0.325432
teacher pair=328 top=15 score_mean=0.325432
teacher pair=329 top=15 score_mean=0.325432
teacher pair=330 top=15 score_mean=0.325432
teacher pair=331 top=15 score_mean=0.325432
teacher pair=332 top=53 score_mean=0.152368
teacher pair=333 top=53 score_mean=0.152368
teacher pair=334 top=53 score_mean=0.152368
teacher pair=335 top=46 score_mean=0.167759
teacher pair=336 top=46 score_mean=0.167759
teacher pair=337 top=46 score_mean=0.167759
teacher pair=338 top=29 score_mean=0.226489
teacher pair=339 top=29 score_mean=0.226489
teacher pair=340 top=29 score_mean=0.226489
teacher pair=341 top=16 score_mean=0.320392
teacher pair=342 top=16 score_mean=0.320392
teacher pair=343 top=16 score_mean=0.320392
wrote 86 teacher files to MOTIVATION_EXPERIMENTS/native_initialized_layer4_distill/teacher_cache_musique_val
