/mnt/qjhs-sh-lab-01/wjh/FusionRAG/.venv/lib/python3.10/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  2.17it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.06s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.03it/s]
teacher pair=344 top=57 score_mean=0.144366
teacher pair=345 top=57 score_mean=0.144366
teacher pair=346 top=57 score_mean=0.144366
teacher pair=347 top=57 score_mean=0.144366
teacher pair=348 top=57 score_mean=0.144366
teacher pair=349 top=55 score_mean=0.147558
teacher pair=350 top=55 score_mean=0.147558
teacher pair=351 top=55 score_mean=0.147558
teacher pair=352 top=55 score_mean=0.147558
teacher pair=353 top=55 score_mean=0.147558
teacher pair=354 top=9 score_mean=0.426882
teacher pair=355 top=9 score_mean=0.426882
teacher pair=356 top=9 score_mean=0.426882
teacher pair=357 top=9 score_mean=0.426882
teacher pair=358 top=9 score_mean=0.426882
teacher pair=359 top=25 score_mean=0.246663
teacher pair=360 top=25 score_mean=0.246663
teacher pair=361 top=25 score_mean=0.246663
teacher pair=362 top=25 score_mean=0.246663
teacher pair=363 top=25 score_mean=0.246663
teacher pair=364 top=23 score_mean=0.255971
teacher pair=365 top=23 score_mean=0.255971
teacher pair=366 top=14 score_mean=0.3361
teacher pair=367 top=14 score_mean=0.3361
teacher pair=368 top=14 score_mean=0.3361
teacher pair=369 top=14 score_mean=0.3361
teacher pair=370 top=14 score_mean=0.3361
teacher pair=371 top=57 score_mean=0.144366
teacher pair=372 top=57 score_mean=0.144366
teacher pair=373 top=57 score_mean=0.144366
teacher pair=374 top=57 score_mean=0.144366
teacher pair=375 top=57 score_mean=0.144366
teacher pair=376 top=18 score_mean=0.300522
teacher pair=377 top=18 score_mean=0.300522
teacher pair=378 top=18 score_mean=0.300522
teacher pair=379 top=37 score_mean=0.193101
teacher pair=380 top=37 score_mean=0.193101
teacher pair=381 top=37 score_mean=0.193101
teacher pair=382 top=30 score_mean=0.222201
teacher pair=383 top=30 score_mean=0.222201
teacher pair=384 top=30 score_mean=0.222201
teacher pair=385 top=45 score_mean=0.16961
teacher pair=386 top=45 score_mean=0.16961
teacher pair=387 top=45 score_mean=0.16961
teacher pair=388 top=45 score_mean=0.16961
teacher pair=389 top=16 score_mean=0.318753
teacher pair=390 top=16 score_mean=0.318753
teacher pair=391 top=16 score_mean=0.318753
teacher pair=392 top=16 score_mean=0.318753
teacher pair=393 top=16 score_mean=0.318753
teacher pair=394 top=19 score_mean=0.292293
teacher pair=395 top=19 score_mean=0.292293
teacher pair=396 top=19 score_mean=0.292292
teacher pair=397 top=27 score_mean=0.232517
teacher pair=398 top=27 score_mean=0.232517
teacher pair=399 top=21 score_mean=0.270487
teacher pair=400 top=21 score_mean=0.270487
teacher pair=401 top=21 score_mean=0.270487
teacher pair=402 top=57 score_mean=0.144366
teacher pair=403 top=57 score_mean=0.144366
teacher pair=404 top=39 score_mean=0.187249
teacher pair=405 top=39 score_mean=0.187249
teacher pair=406 top=39 score_mean=0.187249
teacher pair=407 top=7 score_mean=0.46306
teacher pair=408 top=7 score_mean=0.46306
teacher pair=409 top=7 score_mean=0.46306
teacher pair=410 top=7 score_mean=0.46306
teacher pair=411 top=7 score_mean=0.46306
teacher pair=412 top=15 score_mean=0.330664
teacher pair=413 top=15 score_mean=0.330664
teacher pair=414 top=15 score_mean=0.330664
teacher pair=415 top=15 score_mean=0.330664
teacher pair=416 top=15 score_mean=0.330664
teacher pair=417 top=7 score_mean=0.46306
teacher pair=418 top=7 score_mean=0.46306
teacher pair=419 top=7 score_mean=0.46306
teacher pair=420 top=7 score_mean=0.46306
teacher pair=421 top=7 score_mean=0.46306
teacher pair=422 top=57 score_mean=0.144366
teacher pair=423 top=57 score_mean=0.144366
teacher pair=424 top=57 score_mean=0.144366
teacher pair=425 top=57 score_mean=0.144366
teacher pair=426 top=57 score_mean=0.144366
teacher pair=427 top=9 score_mean=0.417312
teacher pair=428 top=9 score_mean=0.417312
teacher pair=429 top=28 score_mean=0.229457
wrote 86 teacher files to MOTIVATION_EXPERIMENTS/native_initialized_layer4_distill/teacher_cache_musique_val
