example_id,sub_q_idx,offline_count,candidate_count,teacher_count,candidate_residual_count,teacher_residual_count,final_intersection,final_jaccard,final_teacher_recall,residual_intersection,residual_jaccard,residual_teacher_recall
0,0,148,244,244,96,96,195,0.6655290102389079,0.7991803278688525,47,0.32413793103448274,0.4895833333333333
1,0,136,229,229,93,93,186,0.6838235294117647,0.8122270742358079,50,0.36764705882352944,0.5376344086021505
2,0,160,257,257,97,97,199,0.6317460317460317,0.77431906614786,39,0.25161290322580643,0.4020618556701031
3,0,80,167,167,87,87,121,0.568075117370892,0.7245508982035929,41,0.3082706766917293,0.47126436781609193
3,1,149,247,247,98,98,196,0.6577181208053692,0.7935222672064778,47,0.31543624161073824,0.47959183673469385
4,0,117,211,211,94,94,171,0.6812749003984063,0.8104265402843602,54,0.40298507462686567,0.574468085106383
4,1,213,344,344,131,131,267,0.6342042755344418,0.7761627906976745,54,0.25961538461538464,0.4122137404580153
6,0,155,254,254,99,99,204,0.6710526315789473,0.8031496062992126,49,0.3288590604026846,0.494949494949495
7,0,115,225,225,110,110,166,0.5845070422535211,0.7377777777777778,51,0.30177514792899407,0.4636363636363636
7,1,202,307,307,105,105,253,0.7008310249307479,0.8241042345276873,51,0.32075471698113206,0.4857142857142857
9,0,130,258,258,128,128,185,0.5589123867069486,0.7170542635658915,55,0.2736318407960199,0.4296875
9,1,323,496,496,173,173,396,0.6644295302013423,0.7983870967741935,73,0.2673992673992674,0.42196531791907516
10,0,95,199,199,104,104,146,0.5793650793650794,0.7336683417085427,51,0.3248407643312102,0.49038461538461536
10,1,227,341,341,114,114,281,0.7007481296758105,0.8240469208211144,54,0.3103448275862069,0.47368421052631576
11,0,92,184,184,92,92,142,0.6283185840707964,0.7717391304347826,50,0.373134328358209,0.5434782608695652
11,1,195,285,285,90,90,242,0.7378048780487805,0.8491228070175438,47,0.3533834586466165,0.5222222222222223
12,0,93,229,229,136,136,161,0.5420875420875421,0.7030567685589519,68,0.3333333333333333,0.5
12,1,264,403,403,139,139,323,0.6687370600414079,0.8014888337468983,59,0.2694063926940639,0.4244604316546763
13,0,87,169,169,82,82,136,0.6732673267326733,0.8047337278106509,49,0.4260869565217391,0.5975609756097561
13,1,225,358,358,133,133,287,0.668997668997669,0.8016759776536313,62,0.30392156862745096,0.46616541353383456
14,0,83,175,175,92,92,133,0.6129032258064516,0.76,50,0.373134328358209,0.5434782608695652
14,1,184,296,296,112,112,229,0.6308539944903582,0.7736486486486487,45,0.25139664804469275,0.4017857142857143
15,0,52,112,112,60,60,82,0.5774647887323944,0.7321428571428571,30,0.3333333333333333,0.5
15,1,129,217,217,88,88,179,0.7019607843137254,0.8248847926267281,50,0.3968253968253968,0.5681818181818182
16,0,108,215,215,107,107,165,0.6226415094339622,0.7674418604651163,57,0.3630573248407643,0.5327102803738317
16,1,218,361,361,143,143,276,0.6188340807174888,0.7645429362880887,58,0.2543859649122807,0.40559440559440557
17,0,104,206,206,102,102,161,0.6414342629482072,0.7815533980582524,57,0.3877551020408163,0.5588235294117647
17,1,235,365,365,130,130,303,0.7096018735362998,0.8301369863013699,68,0.3541666666666667,0.5230769230769231
18,0,45,128,128,83,83,93,0.5705521472392638,0.7265625,48,0.4067796610169492,0.5783132530120482
18,1,156,242,242,86,86,196,0.6805555555555556,0.8099173553719008,40,0.30303030303030304,0.46511627906976744
19,0,130,207,207,77,77,170,0.6967213114754098,0.821256038647343,40,0.3508771929824561,0.5194805194805194
19,1,132,242,242,110,110,180,0.5921052631578947,0.743801652892562,48,0.27906976744186046,0.43636363636363634
20,0,104,209,209,105,105,160,0.6201550387596899,0.7655502392344498,56,0.36363636363636365,0.5333333333333333
