example_id,sub_q_idx,offline_count,candidate_count,teacher_count,candidate_residual_count,teacher_residual_count,final_intersection,final_jaccard,final_teacher_recall,residual_intersection,residual_jaccard,residual_teacher_recall
0,0,148,244,244,96,96,207,0.7366548042704626,0.8483606557377049,59,0.44360902255639095,0.6145833333333334
1,0,136,229,229,93,93,187,0.6900369003690037,0.8165938864628821,51,0.37777777777777777,0.5483870967741935
2,0,160,257,257,97,97,203,0.6527331189710611,0.7898832684824902,43,0.2847682119205298,0.44329896907216493
3,0,80,167,167,87,87,120,0.5607476635514018,0.718562874251497,40,0.29850746268656714,0.45977011494252873
3,1,149,247,247,98,98,207,0.7212543554006968,0.8380566801619433,58,0.42028985507246375,0.5918367346938775
4,0,117,211,211,94,94,168,0.6614173228346457,0.7962085308056872,51,0.3722627737226277,0.5425531914893617
4,1,213,344,344,131,131,267,0.6342042755344418,0.7761627906976745,54,0.25961538461538464,0.4122137404580153
6,0,155,254,254,99,99,216,0.7397260273972602,0.8503937007874016,61,0.44525547445255476,0.6161616161616161
7,0,115,225,225,110,110,167,0.5901060070671378,0.7422222222222222,52,0.30952380952380953,0.4727272727272727
7,1,202,307,307,105,105,263,0.7492877492877493,0.8566775244299675,61,0.40939597315436244,0.580952380952381
9,0,130,258,258,128,128,180,0.5357142857142857,0.6976744186046512,50,0.24271844660194175,0.390625
9,1,323,496,496,173,173,437,0.7873873873873873,0.8810483870967742,114,0.49137931034482757,0.6589595375722543
10,0,95,199,199,104,104,139,0.5366795366795367,0.6984924623115578,44,0.2682926829268293,0.4230769230769231
10,1,227,341,341,114,114,279,0.6923076923076923,0.8181818181818182,52,0.29545454545454547,0.45614035087719296
11,0,92,184,184,92,92,139,0.6069868995633187,0.7554347826086957,47,0.34306569343065696,0.5108695652173914
11,1,195,285,285,90,90,256,0.8152866242038217,0.8982456140350877,61,0.5126050420168067,0.6777777777777778
12,0,93,229,229,136,136,144,0.4585987261146497,0.62882096069869,51,0.23076923076923078,0.375
12,1,264,403,403,139,139,342,0.7370689655172413,0.8486352357320099,78,0.39,0.5611510791366906
13,0,87,169,169,82,82,121,0.5576036866359447,0.7159763313609467,34,0.26153846153846155,0.4146341463414634
13,1,225,358,358,133,133,281,0.6459770114942529,0.7849162011173184,56,0.26666666666666666,0.42105263157894735
14,0,83,175,175,92,92,134,0.6203703703703703,0.7657142857142857,51,0.38345864661654133,0.5543478260869565
14,1,184,296,296,112,112,244,0.7011494252873564,0.8243243243243243,60,0.36585365853658536,0.5357142857142857
15,0,52,112,112,60,60,90,0.6716417910447762,0.8035714285714286,38,0.4634146341463415,0.6333333333333333
15,1,129,217,217,88,88,181,0.7154150197628458,0.8341013824884793,52,0.41935483870967744,0.5909090909090909
16,0,108,215,215,107,107,145,0.5087719298245614,0.6744186046511628,37,0.20903954802259886,0.34579439252336447
16,1,218,361,361,143,143,293,0.682983682983683,0.8116343490304709,75,0.35545023696682465,0.5244755244755245
17,0,104,206,206,102,102,152,0.5846153846153846,0.7378640776699029,48,0.3076923076923077,0.47058823529411764
17,1,235,365,365,130,130,299,0.6937354988399071,0.8191780821917808,64,0.32653061224489793,0.49230769230769234
18,0,45,128,128,83,83,89,0.5329341317365269,0.6953125,44,0.36065573770491804,0.5301204819277109
18,1,156,242,242,86,86,200,0.704225352112676,0.8264462809917356,44,0.34375,0.5116279069767442
19,0,130,207,207,77,77,159,0.6235294117647059,0.7681159420289855,29,0.232,0.37662337662337664
19,1,132,242,242,110,110,186,0.6241610738255033,0.768595041322314,54,0.3253012048192771,0.4909090909090909
20,0,104,209,209,105,105,155,0.5893536121673004,0.7416267942583732,51,0.32075471698113206,0.4857142857142857
20,1,282,440,440,158,158,333,0.6087751371115173,0.7568181818181818,51,0.19245283018867926,0.3227848101265823
21,0,94,212,212,118,118,134,0.46206896551724136,0.6320754716981132,40,0.20408163265306123,0.3389830508474576
21,1,230,360,360,130,130,286,0.6589861751152074,0.7944444444444444,56,0.27450980392156865,0.4307692307692308
24,0,78,185,185,107,107,127,0.522633744855967,0.6864864864864865,49,0.296969696969697,0.45794392523364486
24,1,237,365,365,128,128,281,0.6258351893095768,0.7698630136986301,44,0.20754716981132076,0.34375
25,0,89,158,158,69,69,129,0.6898395721925134,0.8164556962025317,40,0.40816326530612246,0.5797101449275363
25,1,129,214,214,85,85,182,0.7398373983739838,0.8504672897196262,53,0.452991452991453,0.6235294117647059
26,0,177,283,283,106,106,231,0.6895522388059702,0.8162544169611308,54,0.34177215189873417,0.5094339622641509
27,0,94,190,190,96,96,142,0.5966386554621849,0.7473684210526316,48,0.3333333333333333,0.5
27,1,181,280,280,99,99,241,0.7554858934169278,0.8607142857142858,60,0.43478260869565216,0.6060606060606061
32,0,99,201,201,102,102,146,0.5703125,0.7263681592039801,47,0.29936305732484075,0.46078431372549017
32,1,197,316,316,119,119,267,0.7315068493150685,0.8449367088607594,70,0.4166666666666667,0.5882352941176471
33,0,92,158,158,66,66,129,0.6898395721925134,0.8164556962025317,37,0.3894736842105263,0.5606060606060606
35,0,77,164,164,87,87,117,0.5545023696682464,0.7134146341463414,40,0.29850746268656714,0.45977011494252873
35,1,186,272,272,86,86,239,0.7836065573770492,0.8786764705882353,53,0.44537815126050423,0.6162790697674418
36,0,102,202,202,100,100,150,0.5905511811023622,0.7425742574257426,48,0.3157894736842105,0.48
36,1,216,336,336,120,120,281,0.7186700767263428,0.8363095238095238,65,0.37142857142857144,0.5416666666666666
37,0,42,127,127,85,85,88,0.5301204819277109,0.6929133858267716,46,0.3709677419354839,0.5411764705882353
37,1,139,257,257,118,118,215,0.7190635451505016,0.8365758754863813,76,0.475,0.6440677966101694
38,0,56,124,124,68,68,98,0.6533333333333333,0.7903225806451613,42,0.44680851063829785,0.6176470588235294
38,1,148,227,227,79,79,194,0.7461538461538462,0.8546255506607929,46,0.4107142857142857,0.5822784810126582
39,0,73,159,159,86,86,122,0.6224489795918368,0.7672955974842768,49,0.3983739837398374,0.5697674418604651
39,1,197,298,298,101,101,264,0.7951807228915663,0.8859060402684564,67,0.4962962962962963,0.6633663366336634
40,0,92,172,172,80,80,126,0.5779816513761468,0.7325581395348837,34,0.2698412698412698,0.425
40,1,194,300,300,106,106,260,0.7647058823529411,0.8666666666666667,66,0.4520547945205479,0.6226415094339622
43,0,52,118,118,66,66,89,0.6054421768707483,0.7542372881355932,37,0.3894736842105263,0.5606060606060606
43,1,211,290,290,79,79,258,0.8012422360248447,0.8896551724137931,47,0.42342342342342343,0.5949367088607594
44,0,112,187,187,75,75,146,0.6403508771929824,0.7807486631016043,34,0.29310344827586204,0.4533333333333333
44,1,110,195,195,85,85,149,0.6182572614107884,0.764102564102564,39,0.29770992366412213,0.4588235294117647
44,2,187,294,294,107,107,252,0.75,0.8571428571428571,65,0.436241610738255,0.6074766355140186
45,0,106,209,209,103,103,160,0.6201550387596899,0.7655502392344498,54,0.35526315789473684,0.5242718446601942
