example_id,chunk_id,method,rate,chunk_len,selected_count,n_queries,score_path
0,0,docgen_draft_smart_mean_score_global,0.15,50,7,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example000_chunk00_docgen_scores.npz
0,1,docgen_draft_smart_mean_score_global,0.15,92,13,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example000_chunk01_docgen_scores.npz
0,2,docgen_draft_smart_mean_score_global,0.15,76,11,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example000_chunk02_docgen_scores.npz
0,3,docgen_draft_smart_mean_score_global,0.15,98,14,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example000_chunk03_docgen_scores.npz
0,4,docgen_draft_smart_mean_score_global,0.15,52,7,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example000_chunk04_docgen_scores.npz
0,5,docgen_draft_smart_mean_score_global,0.15,214,32,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example000_chunk05_docgen_scores.npz
0,6,docgen_draft_smart_mean_score_global,0.15,121,18,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example000_chunk06_docgen_scores.npz
0,7,docgen_draft_smart_mean_score_global,0.15,301,45,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example000_chunk07_docgen_scores.npz
0,8,docgen_draft_smart_mean_score_global,0.15,84,12,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example000_chunk08_docgen_scores.npz
0,9,docgen_draft_smart_mean_score_global,0.15,83,12,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example000_chunk09_docgen_scores.npz
1,0,docgen_draft_smart_mean_score_global,0.15,90,13,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example001_chunk00_docgen_scores.npz
1,1,docgen_draft_smart_mean_score_global,0.15,85,12,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example001_chunk01_docgen_scores.npz
1,2,docgen_draft_smart_mean_score_global,0.15,130,19,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example001_chunk02_docgen_scores.npz
1,3,docgen_draft_smart_mean_score_global,0.15,86,12,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example001_chunk03_docgen_scores.npz
1,4,docgen_draft_smart_mean_score_global,0.15,135,20,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example001_chunk04_docgen_scores.npz
1,5,docgen_draft_smart_mean_score_global,0.15,217,32,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example001_chunk05_docgen_scores.npz
1,6,docgen_draft_smart_mean_score_global,0.15,56,8,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example001_chunk06_docgen_scores.npz
1,7,docgen_draft_smart_mean_score_global,0.15,216,32,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example001_chunk07_docgen_scores.npz
1,8,docgen_draft_smart_mean_score_global,0.15,113,16,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example001_chunk08_docgen_scores.npz
1,9,docgen_draft_smart_mean_score_global,0.15,77,11,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example001_chunk09_docgen_scores.npz
2,0,docgen_draft_smart_mean_score_global,0.15,64,9,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example002_chunk00_docgen_scores.npz
2,1,docgen_draft_smart_mean_score_global,0.15,122,18,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example002_chunk01_docgen_scores.npz
2,2,docgen_draft_smart_mean_score_global,0.15,88,13,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example002_chunk02_docgen_scores.npz
2,3,docgen_draft_smart_mean_score_global,0.15,48,7,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example002_chunk03_docgen_scores.npz
2,4,docgen_draft_smart_mean_score_global,0.15,185,27,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example002_chunk04_docgen_scores.npz
2,5,docgen_draft_smart_mean_score_global,0.15,63,9,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example002_chunk05_docgen_scores.npz
2,6,docgen_draft_smart_mean_score_global,0.15,99,14,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example002_chunk06_docgen_scores.npz
2,7,docgen_draft_smart_mean_score_global,0.15,106,15,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example002_chunk07_docgen_scores.npz
2,8,docgen_draft_smart_mean_score_global,0.15,234,35,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example002_chunk08_docgen_scores.npz
2,9,docgen_draft_smart_mean_score_global,0.15,368,55,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example002_chunk09_docgen_scores.npz
3,0,docgen_draft_smart_mean_score_global,0.15,108,16,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example003_chunk00_docgen_scores.npz
3,1,docgen_draft_smart_mean_score_global,0.15,92,13,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example003_chunk01_docgen_scores.npz
3,2,docgen_draft_smart_mean_score_global,0.15,90,13,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example003_chunk02_docgen_scores.npz
3,3,docgen_draft_smart_mean_score_global,0.15,170,25,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example003_chunk03_docgen_scores.npz
3,4,docgen_draft_smart_mean_score_global,0.15,141,21,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example003_chunk04_docgen_scores.npz
3,5,docgen_draft_smart_mean_score_global,0.15,200,30,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example003_chunk05_docgen_scores.npz
3,6,docgen_draft_smart_mean_score_global,0.15,52,7,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example003_chunk06_docgen_scores.npz
3,7,docgen_draft_smart_mean_score_global,0.15,143,21,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example003_chunk07_docgen_scores.npz
3,8,docgen_draft_smart_mean_score_global,0.15,68,10,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example003_chunk08_docgen_scores.npz
3,9,docgen_draft_smart_mean_score_global,0.15,90,13,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example003_chunk09_docgen_scores.npz
3,10,docgen_draft_smart_mean_score_global,0.15,89,13,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example003_chunk10_docgen_scores.npz
4,0,docgen_draft_smart_mean_score_global,0.15,96,14,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example004_chunk00_docgen_scores.npz
4,1,docgen_draft_smart_mean_score_global,0.15,139,20,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example004_chunk01_docgen_scores.npz
4,2,docgen_draft_smart_mean_score_global,0.15,192,28,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example004_chunk02_docgen_scores.npz
4,3,docgen_draft_smart_mean_score_global,0.15,126,18,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example004_chunk03_docgen_scores.npz
4,4,docgen_draft_smart_mean_score_global,0.15,265,39,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example004_chunk04_docgen_scores.npz
4,5,docgen_draft_smart_mean_score_global,0.15,74,11,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example004_chunk05_docgen_scores.npz
4,6,docgen_draft_smart_mean_score_global,0.15,60,9,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example004_chunk06_docgen_scores.npz
4,7,docgen_draft_smart_mean_score_global,0.15,45,6,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example004_chunk07_docgen_scores.npz
4,8,docgen_draft_smart_mean_score_global,0.15,79,11,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example004_chunk08_docgen_scores.npz
4,9,docgen_draft_smart_mean_score_global,0.15,102,15,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example004_chunk09_docgen_scores.npz
4,10,docgen_draft_smart_mean_score_global,0.15,148,22,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example004_chunk10_docgen_scores.npz
4,11,docgen_draft_smart_mean_score_global,0.15,139,20,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example004_chunk11_docgen_scores.npz
4,12,docgen_draft_smart_mean_score_global,0.15,149,22,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example004_chunk12_docgen_scores.npz
4,13,docgen_draft_smart_mean_score_global,0.15,228,34,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example004_chunk13_docgen_scores.npz
4,14,docgen_draft_smart_mean_score_global,0.15,196,29,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example004_chunk14_docgen_scores.npz
4,15,docgen_draft_smart_mean_score_global,0.15,72,10,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example004_chunk15_docgen_scores.npz
4,16,docgen_draft_smart_mean_score_global,0.15,88,13,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example004_chunk16_docgen_scores.npz
4,17,docgen_draft_smart_mean_score_global,0.15,86,12,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example004_chunk17_docgen_scores.npz
4,18,docgen_draft_smart_mean_score_global,0.15,321,48,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example004_chunk18_docgen_scores.npz
6,0,docgen_draft_smart_mean_score_global,0.15,183,27,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example006_chunk00_docgen_scores.npz
6,1,docgen_draft_smart_mean_score_global,0.15,84,12,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example006_chunk01_docgen_scores.npz
6,2,docgen_draft_smart_mean_score_global,0.15,154,23,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example006_chunk02_docgen_scores.npz
