example_id,chunk_id,method,rate,chunk_len,selected_count,n_queries,score_status,status
150,0,docgen_draft_smart_frequency_global,0.1,82,8,32,ok,
150,0,docgen_draft_smart_frequency_global,0.15,82,12,32,ok,
150,0,docgen_draft_smart_frequency_global,0.2,82,16,32,ok,
150,1,docgen_draft_smart_frequency_global,0.1,81,8,32,ok,
150,1,docgen_draft_smart_frequency_global,0.15,81,12,32,ok,
150,1,docgen_draft_smart_frequency_global,0.2,81,16,32,ok,
150,2,docgen_draft_smart_frequency_global,0.1,111,11,32,ok,
150,2,docgen_draft_smart_frequency_global,0.15,111,16,32,ok,
150,2,docgen_draft_smart_frequency_global,0.2,111,22,32,ok,
150,3,docgen_draft_smart_frequency_global,0.1,83,8,32,ok,
150,3,docgen_draft_smart_frequency_global,0.15,83,12,32,ok,
150,3,docgen_draft_smart_frequency_global,0.2,83,16,32,ok,
150,4,docgen_draft_smart_frequency_global,0.1,80,8,32,ok,
150,4,docgen_draft_smart_frequency_global,0.15,80,12,32,ok,
150,4,docgen_draft_smart_frequency_global,0.2,80,16,32,ok,
150,5,docgen_draft_smart_frequency_global,0.1,80,8,32,ok,
150,5,docgen_draft_smart_frequency_global,0.15,80,12,32,ok,
150,5,docgen_draft_smart_frequency_global,0.2,80,16,32,ok,
150,6,docgen_draft_smart_frequency_global,0.1,80,8,32,ok,
150,6,docgen_draft_smart_frequency_global,0.15,80,12,32,ok,
150,6,docgen_draft_smart_frequency_global,0.2,80,16,32,ok,
150,7,docgen_draft_smart_frequency_global,0.1,81,8,32,ok,
150,7,docgen_draft_smart_frequency_global,0.15,81,12,32,ok,
150,7,docgen_draft_smart_frequency_global,0.2,81,16,32,ok,
150,8,docgen_draft_smart_frequency_global,0.1,80,8,32,ok,
150,8,docgen_draft_smart_frequency_global,0.15,80,12,32,ok,
150,8,docgen_draft_smart_frequency_global,0.2,80,16,32,ok,
150,9,docgen_draft_smart_frequency_global,0.1,82,8,32,ok,
150,9,docgen_draft_smart_frequency_global,0.15,82,12,32,ok,
150,9,docgen_draft_smart_frequency_global,0.2,82,16,32,ok,
150,10,docgen_draft_smart_frequency_global,0.1,172,17,32,ok,
150,10,docgen_draft_smart_frequency_global,0.15,172,25,32,ok,
150,10,docgen_draft_smart_frequency_global,0.2,172,34,32,ok,
150,11,docgen_draft_smart_frequency_global,0.1,151,15,32,ok,
150,11,docgen_draft_smart_frequency_global,0.15,151,22,32,ok,
150,11,docgen_draft_smart_frequency_global,0.2,151,30,32,ok,
150,12,docgen_draft_smart_frequency_global,0.1,175,17,32,ok,
150,12,docgen_draft_smart_frequency_global,0.15,175,26,32,ok,
150,12,docgen_draft_smart_frequency_global,0.2,175,35,32,ok,
150,13,docgen_draft_smart_frequency_global,0.1,78,7,32,ok,
150,13,docgen_draft_smart_frequency_global,0.15,78,11,32,ok,
150,13,docgen_draft_smart_frequency_global,0.2,78,15,32,ok,
150,14,docgen_draft_smart_frequency_global,0.1,117,11,32,ok,
150,14,docgen_draft_smart_frequency_global,0.15,117,17,32,ok,
150,14,docgen_draft_smart_frequency_global,0.2,117,23,32,ok,
150,15,docgen_draft_smart_frequency_global,0.1,190,19,32,ok,
150,15,docgen_draft_smart_frequency_global,0.15,190,28,32,ok,
150,15,docgen_draft_smart_frequency_global,0.2,190,38,32,ok,
150,16,docgen_draft_smart_frequency_global,0.1,317,31,32,ok,
150,16,docgen_draft_smart_frequency_global,0.15,317,47,32,ok,
150,16,docgen_draft_smart_frequency_global,0.2,317,63,32,ok,
150,17,docgen_draft_smart_frequency_global,0.1,88,8,32,ok,
150,17,docgen_draft_smart_frequency_global,0.15,88,13,32,ok,
150,17,docgen_draft_smart_frequency_global,0.2,88,17,32,ok,
151,0,docgen_draft_smart_frequency_global,0.1,55,5,32,ok,
151,0,docgen_draft_smart_frequency_global,0.15,55,8,32,ok,
151,0,docgen_draft_smart_frequency_global,0.2,55,11,32,ok,
151,1,docgen_draft_smart_frequency_global,0.1,96,9,32,ok,
151,1,docgen_draft_smart_frequency_global,0.15,96,14,32,ok,
151,1,docgen_draft_smart_frequency_global,0.2,96,19,32,ok,
151,2,docgen_draft_smart_frequency_global,0.1,83,8,32,ok,
151,2,docgen_draft_smart_frequency_global,0.15,83,12,32,ok,
151,2,docgen_draft_smart_frequency_global,0.2,83,16,32,ok,
