done_docs=20/3408 ok_questions=640
done_docs=40/3408 ok_questions=1280
done_docs=60/3408 ok_questions=1920
done_docs=80/3408 ok_questions=2560
done_docs=100/3408 ok_questions=3200
done_docs=120/3408 ok_questions=3840
done_docs=140/3408 ok_questions=4480
done_docs=160/3408 ok_questions=5120
done_docs=180/3408 ok_questions=5760
done_docs=200/3408 ok_questions=6400
done_docs=220/3408 ok_questions=7040
done_docs=240/3408 ok_questions=7680
done_docs=260/3408 ok_questions=8320
done_docs=280/3408 ok_questions=8960
done_docs=300/3408 ok_questions=9600
done_docs=320/3408 ok_questions=10240
done_docs=340/3408 ok_questions=10880
done_docs=360/3408 ok_questions=11520
done_docs=380/3408 ok_questions=12160
done_docs=400/3408 ok_questions=12800
done_docs=420/3408 ok_questions=13440
done_docs=440/3408 ok_questions=14080
done_docs=460/3408 ok_questions=14720
done_docs=480/3408 ok_questions=15360
done_docs=500/3408 ok_questions=16000
done_docs=520/3408 ok_questions=16640
done_docs=540/3408 ok_questions=17280
done_docs=560/3408 ok_questions=17920
done_docs=580/3408 ok_questions=18560
done_docs=600/3408 ok_questions=19200
done_docs=620/3408 ok_questions=19840
done_docs=640/3408 ok_questions=20480
done_docs=660/3408 ok_questions=21120
done_docs=680/3408 ok_questions=21760
done_docs=700/3408 ok_questions=22400
done_docs=720/3408 ok_questions=23040
done_docs=740/3408 ok_questions=23680
done_docs=760/3408 ok_questions=24320
done_docs=780/3408 ok_questions=24960
done_docs=800/3408 ok_questions=25600
done_docs=820/3408 ok_questions=26240
done_docs=840/3408 ok_questions=26880
done_docs=860/3408 ok_questions=27520
done_docs=880/3408 ok_questions=28160
done_docs=900/3408 ok_questions=28800
done_docs=920/3408 ok_questions=29440
done_docs=940/3408 ok_questions=30080
done_docs=960/3408 ok_questions=30720
done_docs=980/3408 ok_questions=31360
done_docs=1000/3408 ok_questions=32000
done_docs=1020/3408 ok_questions=32640
done_docs=1040/3408 ok_questions=33280
done_docs=1060/3408 ok_questions=33920
done_docs=1080/3408 ok_questions=34560
done_docs=1100/3408 ok_questions=35200
done_docs=1120/3408 ok_questions=35840
done_docs=1140/3408 ok_questions=36480
done_docs=1160/3408 ok_questions=37120
done_docs=1180/3408 ok_questions=37760
done_docs=1200/3408 ok_questions=38400
done_docs=1220/3408 ok_questions=39040
done_docs=1240/3408 ok_questions=39680
