example_id,chunk_id,method,rate,chunk_len,selected_count
0,0,offline32b_mean_score_global,0.15,957,114
0,1,offline32b_mean_score_global,0.15,21,18
0,2,offline32b_mean_score_global,0.15,664,60
0,3,offline32b_mean_score_global,0.15,639,99
0,4,offline32b_mean_score_global,0.15,334,54
0,5,offline32b_mean_score_global,0.15,945,105
0,6,offline32b_mean_score_global,0.15,749,83
0,7,offline32b_mean_score_global,0.15,612,70
0,8,offline32b_mean_score_global,0.15,441,73
0,9,offline32b_mean_score_global,0.15,956,271
0,0,offline32b_top2_mean_global,0.15,957,121
0,1,offline32b_top2_mean_global,0.15,21,17
0,2,offline32b_top2_mean_global,0.15,664,58
0,3,offline32b_top2_mean_global,0.15,639,108
0,4,offline32b_top2_mean_global,0.15,334,59
0,5,offline32b_top2_mean_global,0.15,945,106
0,6,offline32b_top2_mean_global,0.15,749,82
0,7,offline32b_top2_mean_global,0.15,612,74
0,8,offline32b_top2_mean_global,0.15,441,79
0,9,offline32b_top2_mean_global,0.15,956,243
0,0,offline32b_freq_boundary0p02_global,0.15,957,118
0,1,offline32b_freq_boundary0p02_global,0.15,21,21
0,2,offline32b_freq_boundary0p02_global,0.15,664,73
0,3,offline32b_freq_boundary0p02_global,0.15,639,84
0,4,offline32b_freq_boundary0p02_global,0.15,334,59
0,5,offline32b_freq_boundary0p02_global,0.15,945,108
0,6,offline32b_freq_boundary0p02_global,0.15,749,96
0,7,offline32b_freq_boundary0p02_global,0.15,612,70
0,8,offline32b_freq_boundary0p02_global,0.15,441,86
0,9,offline32b_freq_boundary0p02_global,0.15,956,232
1,0,offline32b_mean_score_global,0.15,201,90
1,1,offline32b_mean_score_global,0.15,596,40
1,2,offline32b_mean_score_global,0.15,185,37
1,3,offline32b_mean_score_global,0.15,959,52
1,4,offline32b_mean_score_global,0.15,948,62
1,5,offline32b_mean_score_global,0.15,159,51
1,6,offline32b_mean_score_global,0.15,305,46
1,7,offline32b_mean_score_global,0.15,116,57
1,8,offline32b_mean_score_global,0.15,950,175
1,9,offline32b_mean_score_global,0.15,932,192
