dataset,display_method,source_method,rows,clean_f1_percent,clean_em_percent,csv_f1_percent,csv_em_percent
musique,Full rate=1,full_rate1,248,66.7792,29.4355,19.3391,0.8065
musique,Online QK,online_qk_rate015,248,60.7711,25.8065,20.7594,0.8065
musique,Online Draft,online_draft_rate015,248,65.0257,29.0323,19.0453,0.8065
musique,Offline 3B mean,draft_smart_mean_score_global,248,63.5069,25.8065,19.3273,0.8065
musique,Offline 3B+boundary,draft_smart_freq_boundary0p02_global,248,62.1441,25.4032,19.8913,1.2097
musique,Offline 32B top2,draft32b_smart_top2_mean_global,248,63.8181,27.4194,19.4193,1.6129
2wikimqa,Full rate=1,full_rate1,200,42.0057,30.0000,33.1882,2.5000
2wikimqa,Online QK,online_qk_rate015,200,36.6651,25.0000,27.6679,1.5000
2wikimqa,Online Draft,online_draft_rate015,200,38.2151,27.0000,26.8727,1.5000
2wikimqa,Offline 3B mean,offline3b_mean,200,37.1874,26.5000,28.0562,2.5000
2wikimqa,Offline 3B+boundary,offline3b_freq_boundary2,200,37.4327,26.5000,28.0099,2.0000
2wikimqa,Offline 32B top2,offline32b_top2,200,38.0877,26.5000,26.5563,1.5000
hotpotqa,Full rate=1,full_rate1,260,72.1856,58.0769,30.7629,2.6923
hotpotqa,Online QK,online_qk_rate015,260,63.1198,48.8462,30.0712,3.0769
hotpotqa,Online Draft,online_draft_rate015,260,66.0224,52.6923,32.4531,3.8462
hotpotqa,Offline 3B mean,offline3b_mean,260,66.4316,51.9231,31.9329,1.9231
hotpotqa,Offline 3B+boundary,offline3b_freq_boundary2,260,64.4659,50.0000,31.4108,3.0769
hotpotqa,Offline 32B top2,offline32b_top2,260,65.6193,52.3077,30.3917,3.4615
triviaqa,Full rate=1,full_rate1,270,66.9278,55.1852,20.3567,3.7037
triviaqa,Online QK,online_qk_rate015,270,65.4109,52.2222,23.4274,4.0741
triviaqa,Online Draft,online_draft_rate015,270,62.4821,48.8889,21.3680,5.5556
triviaqa,Offline 3B mean,offline3b_mean,270,62.4576,48.8889,23.3044,6.2963
triviaqa,Offline 3B+boundary,offline3b_freq_boundary2,270,61.3767,47.7778,20.5451,5.5556
triviaqa,Offline 32B top2,offline32b_top2,270,62.2481,50.0000,30.6350,15.5556
