dataset,method,rate,rows,old_main_correct,old_main_total,old_main_acc,glm_main_correct,glm_main_total,glm_main_acc,old_sub_correct,old_sub_total,old_sub_acc,glm_sub_correct,glm_sub_total,glm_sub_acc,false_to_true_rows,true_to_false_rows
2wikimqa,full_rate1,1.0,200,113,200,0.565,117,200,0.585,113,200,0.565,117,200,0.585,5,1
2wikimqa,online_qk_rate015,0.15,200,107,200,0.535,112,200,0.56,107,200,0.535,112,200,0.56,6,1
2wikimqa,online_draft_rate015,0.15,200,101,200,0.505,106,200,0.53,101,200,0.505,106,200,0.53,8,3
2wikimqa,offline3b_mean,0.15,200,96,200,0.48,104,200,0.52,96,200,0.48,104,200,0.52,10,2
2wikimqa,offline3b_freq_boundary2,0.15,200,99,200,0.495,105,200,0.525,99,200,0.495,105,200,0.525,7,1
2wikimqa,offline32b_top2,0.15,200,103,200,0.515,106,200,0.53,103,200,0.515,106,200,0.53,6,3
hotpotqa,full_rate1,1.0,260,207,260,0.7961538461538461,236,260,0.9076923076923077,207,260,0.7961538461538461,236,260,0.9076923076923077,30,1
hotpotqa,online_qk_rate015,0.15,260,206,260,0.7923076923076923,226,260,0.8692307692307693,206,260,0.7923076923076923,226,260,0.8692307692307693,21,1
hotpotqa,online_draft_rate015,0.15,260,207,260,0.7961538461538461,228,260,0.8769230769230769,207,260,0.7961538461538461,228,260,0.8769230769230769,22,1
hotpotqa,offline3b_mean,0.15,260,204,260,0.7846153846153846,229,260,0.8807692307692307,204,260,0.7846153846153846,229,260,0.8807692307692307,27,2
hotpotqa,offline3b_freq_boundary2,0.15,260,201,260,0.7730769230769231,225,260,0.8653846153846154,201,260,0.7730769230769231,225,260,0.8653846153846154,25,1
hotpotqa,offline32b_top2,0.15,260,197,260,0.7576923076923077,227,260,0.8730769230769231,197,260,0.7576923076923077,227,260,0.8730769230769231,31,1
triviaqa,full_rate1,1.0,270,211,270,0.7814814814814814,246,270,0.9111111111111111,211,270,0.7814814814814814,246,270,0.9111111111111111,35,0
triviaqa,online_qk_rate015,0.15,270,212,270,0.7851851851851852,241,270,0.8925925925925926,212,270,0.7851851851851852,241,270,0.8925925925925926,32,3
triviaqa,online_draft_rate015,0.15,270,214,270,0.7925925925925926,239,270,0.8851851851851852,214,270,0.7925925925925926,239,270,0.8851851851851852,27,2
triviaqa,offline3b_mean,0.15,270,215,270,0.7962962962962963,241,270,0.8925925925925926,215,270,0.7962962962962963,241,270,0.8925925925925926,26,0
triviaqa,offline3b_freq_boundary2,0.15,270,218,270,0.8074074074074075,243,270,0.9,218,270,0.8074074074074075,243,270,0.9,26,1
triviaqa,offline32b_top2,0.15,200,156,200,0.78,180,200,0.9,156,200,0.78,180,200,0.9,25,1
