example_id,sub_q_idx,doc_len,old10_size,teacher_size,teacher_overlap_old10,residual_size
0,0,1344,148,244,148,96
1,0,1324,136,229,136,93
2,0,1466,160,257,160,97
3,0,1184,80,167,80,87
3,1,1384,149,247,149,98
4,0,1214,117,211,117,94
4,1,2103,213,344,213,131
6,0,1515,155,254,155,99
7,0,1618,115,225,115,110
7,1,1498,202,307,202,105
9,0,2027,130,258,130,128
9,1,2759,323,496,323,173
10,0,1534,95,199,95,104
10,1,1766,227,341,227,114
11,0,1261,92,184,92,92
11,1,1235,195,285,195,90
12,0,2047,93,229,93,136
12,1,2135,264,403,264,139
13,0,1167,87,169,87,82
13,1,2112,225,358,225,133
14,0,1097,83,175,83,92
14,1,1709,184,296,184,112
15,0,705,52,112,52,60
15,1,1153,129,217,129,88
16,0,1547,108,215,108,107
16,1,2223,218,361,218,143
17,0,1447,104,206,104,102
17,1,1970,235,365,235,130
18,0,1052,45,128,45,83
18,1,1232,156,242,156,86
19,0,1060,130,207,130,77
19,1,1611,132,242,132,110
20,0,1549,104,209,104,105
20,1,2310,282,440,282,158
21,0,1780,94,212,94,118
21,1,2143,230,360,230,130
24,0,1586,78,185,78,107
24,1,2026,237,365,237,128
25,0,819,89,158,89,69
25,1,1156,129,214,129,85
26,0,1564,177,283,177,106
27,0,1367,94,190,94,96
27,1,1471,181,280,181,99
32,0,1470,99,201,99,102
32,1,1755,197,316,197,119
33,0,803,92,158,92,66
35,0,1203,77,164,77,87
35,1,1241,186,272,186,86
36,0,1490,102,202,102,100
36,1,1849,216,336,216,120
37,0,1104,42,127,42,85
37,1,1345,139,257,139,118
38,0,837,56,124,56,68
38,1,1022,148,227,148,79
39,0,1003,73,159,73,86
39,1,1389,197,298,197,101
40,0,1115,92,172,92,80
40,1,1546,194,300,194,106
43,0,863,52,118,52,66
43,1,1021,211,290,211,79
44,0,1024,112,187,112,75
44,1,1137,110,195,110,85
44,2,1630,187,294,187,107
45,0,1565,106,209,106,103
45,1,1854,281,406,281,125
46,0,1552,102,210,102,108
46,1,1970,205,335,205,130
50,0,1698,129,238,129,109
50,1,1948,187,310,187,123
50,2,1948,187,310,187,123
50,3,2856,263,431,263,168
51,0,1099,73,157,73,84
51,1,1568,172,283,172,111
52,0,1099,117,201,117,84
52,1,1373,94,195,94,101
52,2,1765,203,326,203,123
53,0,1446,149,250,149,101
54,0,1011,77,159,77,82
54,1,1830,186,311,186,125
55,0,1531,175,286,175,111
56,0,1317,147,237,147,90
57,0,1193,121,205,121,84
58,0,1168,98,180,98,82
58,1,1211,179,267,179,88
59,0,1313,65,156,65,91
59,1,1104,192,291,192,99
60,0,1264,120,213,120,93
60,1,1996,189,320,189,131
63,0,1499,99,199,99,100
63,1,865,162,232,162,70
64,0,942,71,147,71,76
64,1,1126,175,260,175,85
