example,source,kind,chunks,tokens,selected,original_gap
20,raw,k,10,1519,1519,0.2599785327911377
20,raw,v,10,1519,1519,0.4856207072734833
20,preprocess,k,10,1519,1519,0.37352344393730164
20,preprocess,v,10,1519,1519,0.8192484974861145
21,raw,k,10,1749,1749,0.21889641880989075
21,raw,v,10,1749,1749,0.41296452283859253
21,preprocess,k,10,1749,1749,0.42237406969070435
21,preprocess,v,10,1749,1749,0.9033298492431641
23,raw,k,10,1814,1814,0.21981273591518402
23,raw,v,10,1814,1814,0.3784293830394745
24,raw,k,10,1556,1556,0.24723953008651733
24,raw,v,10,1556,1556,0.4564126133918762
24,preprocess,k,10,1556,1556,0.3475683033466339
24,preprocess,v,10,1556,1556,0.7501107454299927
25,raw,k,10,789,789,0.2604808211326599
25,raw,v,10,789,789,0.48721203207969666
25,preprocess,k,10,789,789,0.2997111976146698
25,preprocess,v,10,789,789,0.6034154891967773
26,raw,k,11,1534,1534,0.24019797146320343
26,raw,v,11,1534,1534,0.46286723017692566
26,preprocess,k,11,1534,1534,0.4023337960243225
26,preprocess,v,11,1534,1534,0.8820235729217529
27,raw,k,10,1337,1337,0.18905042111873627
27,raw,v,10,1337,1337,0.3351047933101654
27,preprocess,k,10,1337,1337,0.3649999499320984
27,preprocess,v,10,1337,1337,0.7546488642692566
29,raw,k,10,1036,1036,0.22310128808021545
29,raw,v,10,1036,1036,0.3839329183101654
