example,target,source,kind,rank,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy
0,4,preprocess,k,1,0.22117644819914367,0.9563290651154152,0.2115174659318351,0.08543471921547607
0,4,preprocess,k,2,0.22117644819914367,0.8821221798126031,0.1951046506086379,0.22186045988266145
0,4,preprocess,k,4,0.22117644819914367,0.7865506618797153,0.17396648172324103,0.3813380562965817
0,4,preprocess,k,8,0.22117644819914367,0.6769451376693858,0.14972432117539508,0.5417452805857763
0,4,preprocess,k,16,0.22117644819914367,0.5657339964748177,0.12512703596580704,0.679945045232631
0,4,preprocess,k,32,0.22117644819914367,0.4502413689871339,0.09958278682489435,0.7972827096525915
0,4,preprocess,k,64,0.22117644819914367,0.31390535612754566,0.06942847173897786,0.9014634273944387
0,5,preprocess,k,1,0.41521434044276223,0.861415431609428,0.35767204028292604,0.25796345418514277
0,5,preprocess,k,2,0.41521434044276223,0.8237137683256363,0.34201776902895126,0.3214956278707801
0,5,preprocess,k,4,0.41521434044276223,0.7777628326996284,0.3229382816002706,0.39508497607104986
0,5,preprocess,k,8,0.41521434044276223,0.7143037872990375,0.29658917591913697,0.4897700994502514
0,5,preprocess,k,16,0.41521434044276223,0.6341467945279783,0.2633068430338264,0.59785784298989
0,5,preprocess,k,32,0.41521434044276223,0.527608666700255,0.21907068455583154,0.7216290948227793
0,5,preprocess,k,64,0.41521434044276223,0.38319674424825967,0.15910878342285498,0.8531602551975339
0,6,preprocess,k,1,0.19087472459660937,0.9634265424326373,0.18389377595589323,0.07180929733629371
0,6,preprocess,k,2,0.19087472459660937,0.900379270230416,0.17185964523772676,0.18931716973934354
0,6,preprocess,k,4,0.19087472459660937,0.8352421609330725,0.1594266174395771,0.30237053259985147
0,6,preprocess,k,8,0.19087472459660937,0.7508868664819455,0.14332532384295235,0.43616891374492495
0,6,preprocess,k,16,0.19087472459660937,0.6283988357483643,0.119945454710299,0.6051149032301002
0,6,preprocess,k,32,0.19087472459660937,0.4900163809189103,0.09353174175572423,0.7598839464311334
0,6,preprocess,k,64,0.19087472459660937,0.3369742006614973,0.06431985774742588,0.886448388088545
0,7,preprocess,k,1,0.2500010218103329,0.9698619860473217,0.24246648752682926,0.059367728020344956
0,7,preprocess,k,2,0.2500010218103329,0.8860020022209065,0.22150140588122752,0.21500045206054474
0,7,preprocess,k,4,0.2500010218103329,0.7649643891095952,0.1912418789259159,0.4148294833941839
0,7,preprocess,k,8,0.2500010218103329,0.6719135302887744,0.1679790691403817,0.5485322078148762
0,7,preprocess,k,16,0.2500010218103329,0.5587280000095072,0.1396825709164205,0.6878230220053763
0,7,preprocess,k,32,0.2500010218103329,0.442169691117223,0.11054287459286505,0.8044859642572996
0,7,preprocess,k,64,0.2500010218103329,0.30626108036973754,0.07656558303317089,0.9062041506507612
0,8,preprocess,k,1,0.26320906073081907,0.9669131568044533,0.2545003038107714,0.06507894719844654
0,8,preprocess,k,2,0.26320906073081907,0.9234397960375823,0.24305772135651119,0.1472589430940684
