example,target,source,kind,tokens,original_gap,internal_rank4_explained,internal_rank8_explained,internal_rank16_explained,internal_rank32_explained,internal_rank64_explained
0,4,raw,v,98,0.43539859338197545,0.4457742543730695,0.6023689511209869,0.7594191219130689,0.8821881596841817,0.9599054533853433
0,5,raw,v,52,0.4106547094476215,0.4804762693525756,0.6408246571295684,0.8032855117994493,0.9337088364584205,0.9843749481984982
0,6,raw,v,214,0.3933545803457471,0.41143223043155663,0.529881978077583,0.6523905931980905,0.7690788730594682,0.8738204021219788
0,7,raw,v,121,0.4407933346841049,0.39819115314849046,0.5230109501757786,0.6623805473983578,0.800969379611901,0.9207962752707894
0,8,raw,v,301,0.4612096395406063,0.3432590809952878,0.46292447234814504,0.5978361318221562,0.7346519540348295,0.8577574354352174
0,9,raw,v,84,0.3413020579602996,0.4655266008770002,0.6070820604711683,0.7504476767800997,0.8722494493870115,0.9640439520352451
0,10,raw,v,83,0.36144868780399975,0.467412562959629,0.6103315209263424,0.7467754520327702,0.8712649746737561,0.9651266417787119
1,4,raw,v,86,0.37232378410549205,0.5090584263877527,0.6468255917306615,0.7818298611320827,0.8933421198636284,0.9683667482173705
1,5,raw,v,135,0.37265866380878915,0.47076342484437117,0.5973523392971419,0.7207937442681948,0.8298430929471026,0.9218569435766562
1,6,raw,v,217,0.28869799348080855,0.4255659182046128,0.5508842187579174,0.6721953016876308,0.7844307552958323,0.8847473796475024
1,7,raw,v,56,0.40568202863989755,0.5077611225891896,0.6619753212539401,0.8121354087493918,0.9297568301592056,0.9843748848289964
1,8,raw,v,216,0.354128285887538,0.44448436437039524,0.5594944342653618,0.6753733461273868,0.7877400363908554,0.8851110301230511
1,9,raw,v,113,0.3743392671830696,0.4677130726515566,0.5987940437531436,0.7307492257876343,0.8479998026106252,0.9407538663881396
1,10,raw,v,77,0.5017661004935249,0.5109312883454163,0.6549133373863392,0.7923653423943171,0.9033240537683606,0.9753924514815808
2,4,raw,v,48,0.3853313633880057,0.506649811776081,0.6821581478812089,0.8425844885337693,0.9530527294353947,0.9843749678691349
2,5,raw,v,185,0.2356781318365622,0.4889486773833185,0.6247417182660674,0.7321541423947499,0.8224611314108368,0.9029438681845887
2,6,raw,v,63,0.3889820943327837,0.4791625585612933,0.6312242751425241,0.7744339277076896,0.9028795721898817,0.9843748663260128
2,7,raw,v,99,0.39659423850942455,0.4344778872786897,0.5687053931787982,0.7109911926993724,0.8472182443817565,0.9501169462317107
2,8,raw,v,106,0.3253603105604923,0.48003307600461803,0.6224358680944093,0.7554471984606309,0.8613745043264258,0.9460468000430498
2,9,raw,v,234,0.2932483310797287,0.39625003686808546,0.5065258566768125,0.6198251247680762,0.7358846241528351,0.8494736597244269
2,10,raw,v,368,0.32037707988657166,0.373873025797382,0.4797210822120542,0.5902262119715115,0.701820568513965,0.8109001552700582
3,4,raw,v,170,0.2927751228936259,0.4088360110062658,0.5225490146224102,0.6460489293754902,0.7692224793939791,0.8839415581569928
3,5,raw,v,141,0.3599949900370263,0.4182743259234025,0.5583381586444072,0.7033945474792135,0.8327466300289983,0.9294713089276433
