part,target,source,context_index,method,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy,cosine
t1,1,raw,40,mean,0.418766095334515,0.5946033265369914,0.2489997133268095,0.6464468840711439,0.8066278378345372
t1,1,raw,40,oracle_r4,0.418766095334515,0.4764684735712626,0.1995288422274342,0.772977793692671,0.8792313221008847
t1,1,raw,40,oracle_r8,0.418766095334515,0.4449592635738756,0.1863338533897531,0.8020112537597943,0.8955712825596666
t1,1,raw,40,position_r4,0.418766095334515,0.5805186651409596,0.2431015346698844,0.6629980794229584,0.8142515363379477
t1,1,raw,40,position_r8,0.418766095334515,0.5740573463809086,0.2403957534420262,0.6704581630661096,0.8188155835801707
t1,1,raw,40,cached_prefix_r4,0.418766095334515,0.7426123261257221,0.3109808641589501,0.4485269330861441,0.7648316128690315
t1,1,raw,40,cached_prefix_r8,0.418766095334515,0.6178357292616606,0.2587286559010582,0.6182790116477119,0.8094849169067063
t1,1,raw,41,mean,0.4494614510213648,0.4383739467271847,0.197032190185963,0.8078282828308314,0.9034387685028747
t1,1,raw,41,oracle_r4,0.4494614510213648,0.4013092715135968,0.1803730474828281,0.8389508685972262,0.916102067909049
t1,1,raw,41,oracle_r8,0.4494614510213648,0.3755460931627859,0.1687934919583504,0.8589651319101681,0.9268081986373782
t1,1,raw,41,position_r4,0.4494614510213648,0.4755322025278901,0.213733393755571,0.7738691243589737,0.8896146216736011
t1,1,raw,41,position_r8,0.4494614510213648,0.4721017672902686,0.2121915453560348,0.7771199213214051,0.8911309076991957
t1,1,raw,41,cached_prefix_r4,0.4494614510213648,0.5096861287145488,0.2290842669775032,0.7402200501959765,0.8718727809071704
t1,1,raw,41,cached_prefix_r8,0.4494614510213648,0.4611618582329365,0.2072744779570846,0.787329740511145,0.8934156633443715
t1,1,raw,42,mean,0.4467136117390317,0.3783026263591285,0.1689929325512476,0.8568871228897856,0.9329210331515542
t1,1,raw,42,oracle_r4,0.4467136117390317,0.3014139801181225,0.1346457276872032,0.909149612589352,0.9536334236969568
t1,1,raw,42,oracle_r8,0.4467136117390317,0.2849794895057703,0.1273042170286681,0.9187866905610306,0.9585341961628474
t1,1,raw,42,position_r4,0.4467136117390317,0.312322408836361,0.1395186712783253,0.902454712938653,0.950866995881482
t1,1,raw,42,position_r8,0.4467136117390317,0.3090845232307182,0.1380722637050307,0.9044667574992395,0.9516439243198602
t1,1,raw,42,cached_prefix_r4,0.4467136117390317,0.3360579093172383,0.1501216424245715,0.8870650815853268,0.9447363695817568
t1,1,raw,42,cached_prefix_r8,0.4467136117390317,0.3439144820655632,0.1536312804128662,0.8817228290255754,0.9433786533112076
t1,1,raw,43,mean,0.4309335114726015,0.8141057260836448,0.3508254392511769,0.3372318667578214,0.6225324705489552
t1,1,raw,43,oracle_r4,0.4309335114726015,0.6998230093223864,0.3015771868166191,0.510247755622959,0.7150167629775926
t1,1,raw,43,oracle_r8,0.4309335114726015,0.6922703823537122,0.2983225067561657,0.5207617177158451,0.7216382280255798
t1,1,raw,43,position_r4,0.4309335114726015,0.7421887241824697,0.3198339930873218,0.4491558976963978,0.6711310818887345
t1,1,raw,43,position_r8,0.4309335114726015,0.7414695770274293,0.3195240884785347,0.4502228663427651,0.6726718730916147
t1,1,raw,43,cached_prefix_r4,0.4309335114726015,2.6897692230089256,1.1591116963221677,-6.23485847304604,0.2483516994637228
t1,1,raw,43,cached_prefix_r8,0.4309335114726015,1.5184308262111104,0.6543427278673974,-1.3056321739881556,0.3992293929418301
t1,1,raw,44,mean,0.4678975300085487,0.476985645368629,0.223180405317515,0.7724846941122725,0.88519041341069
t1,1,raw,44,oracle_r4,0.4678975300085487,0.4093573002041355,0.191537269656483,0.8324266007695813,0.9127417365986146
t1,1,raw,44,oracle_r8,0.4678975300085487,0.3183259638915623,0.1489439322424525,0.8986685807125078,0.9479958169473712
t1,1,raw,44,position_r4,0.4678975300085487,0.4255456190467262,0.199111744057922,0.8189109261101386,0.9058756652263492
t1,1,raw,44,position_r8,0.4678975300085487,0.419788702723876,0.1964180971299945,0.8237774450654052,0.9082162143960694
t1,1,raw,44,cached_prefix_r4,0.4678975300085487,0.445212533121967,0.2083138445766175,0.8017858003511215,0.8978896434613624
t1,1,raw,44,cached_prefix_r8,0.4678975300085487,0.4475545332919593,0.2094096606714365,0.7996949397298165,0.8982130442146847
t1,1,raw,45,mean,0.4648388695110704,0.5344507400036275,0.2484334777926412,0.714362406509575,0.8475020988759161
t1,1,raw,45,oracle_r4,0.4648388695110704,0.4860857628306206,0.225951556479612,0.7637206311733736,0.8739118567615543
t1,1,raw,45,oracle_r8,0.4648388695110704,0.4520407082096242,0.2101260917771454,0.7956591981213413,0.8920205849917643
t1,1,raw,45,position_r4,0.4648388695110704,0.5767023598118688,0.2680736729793156,0.6674143881874219,0.8191304808052535
