example,source,kind,chunks,tokens,selected,original_gap
0,preprocess,k,12,1313,1313,0.2599495351314544
0,preprocess,v,12,1313,1313,0.5170692205429077
0,raw,k,12,1313,1313,0.2656403481960296
0,raw,v,12,1313,1313,0.4832860827445984
1,preprocess,k,11,1295,1295,0.3728326857089996
1,preprocess,v,11,1295,1295,0.804667592048645
1,raw,k,11,1295,1295,0.2204788476228714
1,raw,v,11,1295,1295,0.3843134343624115
2,preprocess,k,11,1441,1441,0.3316504061222076
2,preprocess,v,11,1441,1441,0.6663296222686768
2,raw,k,11,1441,1441,0.2094657570123672
2,raw,v,11,1441,1441,0.3509719371795654
3,preprocess,k,10,1154,1154,0.3890617787837982
3,preprocess,v,10,1154,1154,0.8068158030509949
3,raw,k,10,1154,1154,0.2222096621990203
3,raw,v,10,1154,1154,0.3732083439826965
4,preprocess,k,10,1178,1178,0.3931198418140411
4,preprocess,v,10,1178,1178,0.8598622679710388
4,raw,k,10,1178,1178,0.2349126040935516
4,raw,v,10,1178,1178,0.405578076839447
6,preprocess,k,11,1490,1490,0.410415768623352
6,preprocess,v,11,1490,1490,0.9116472601890564
6,raw,k,11,1490,1490,0.2133001536130905
6,raw,v,11,1490,1490,0.3872533440589905
7,preprocess,k,10,1587,1587,0.3806098103523254
7,preprocess,v,10,1587,1587,0.8188111782073975
7,raw,k,10,1587,1587,0.2042110860347747
7,raw,v,10,1587,1587,0.3507728278636932
9,preprocess,k,10,1998,1998,0.4399774670600891
9,preprocess,v,10,1998,1998,0.9100303649902344
9,raw,k,10,1998,1998,0.2369196265935897
9,raw,v,10,1998,1998,0.4147551655769348
10,preprocess,k,10,1505,1505,0.3755877912044525
10,preprocess,v,10,1505,1505,0.8448534607887268
10,raw,k,10,1505,1505,0.1869920343160629
10,raw,v,10,1505,1505,0.3512008786201477
11,preprocess,k,10,1230,1230,0.3515022099018097
11,preprocess,v,10,1230,1230,0.7299472689628601
11,raw,k,10,1230,1230,0.2201960682868957
11,raw,v,10,1230,1230,0.411848247051239
12,preprocess,k,10,2011,2011,0.3630493879318237
12,preprocess,v,10,2011,2011,0.7814092636108398
12,raw,k,10,2011,2011,0.2326038479804992
12,raw,v,10,2011,2011,0.4071612954139709
13,preprocess,k,10,1142,1142,0.4114342331886291
13,preprocess,v,10,1142,1142,0.91828054189682
13,raw,k,10,1142,1142,0.2379167228937149
13,raw,v,10,1142,1142,0.4078874289989471
14,preprocess,k,10,1057,1057,0.4213952422142029
14,preprocess,v,10,1057,1057,0.9294942617416382
14,raw,k,10,1057,1057,0.2527368068695068
14,raw,v,10,1057,1057,0.4666990339756012
15,preprocess,k,10,678,678,0.3962863981723785
15,preprocess,v,10,678,678,0.8509687781333923
15,raw,k,10,678,678,0.275202214717865
15,raw,v,10,678,678,0.4663928151130676
16,preprocess,k,10,1515,1515,0.4121302664279938
16,preprocess,v,10,1515,1515,0.8878607153892517
