source,doc_order,chunk_id,bias_available,method,tokens,relative_l2,cosine
raw,0,1,True,source_rate0,50,0.0,1.0
raw,0,1,True,static_v2_rate0,50,0.3611440062522888,0.9328547716140747
raw,1,2,True,source_rate0,92,0.3868945240974426,0.9245458841323853
raw,1,2,True,static_v2_rate0,92,0.2627161145210266,0.964874804019928
raw,2,3,True,source_rate0,76,0.38016563653945923,0.9276064038276672
raw,2,3,True,static_v2_rate0,76,0.2803446352481842,0.9599271416664124
raw,3,4,True,source_rate0,98,0.44674304127693176,0.9030751585960388
raw,3,4,True,static_v2_rate0,98,0.3419906198978424,0.9410655498504639
raw,4,5,True,source_rate0,52,0.4043715298175812,0.9172900915145874
raw,4,5,True,static_v2_rate0,52,0.208047017455101,0.9781233072280884
raw,5,6,False,source_rate0,214,0.41641315817832947,0.9133540987968445
raw,5,6,False,static_v2_rate0,214,0.41641315817832947,0.9133540987968445
raw,6,7,False,source_rate0,121,0.4294627606868744,0.9087158441543579
raw,6,7,False,static_v2_rate0,121,0.4294627606868744,0.9087158441543579
raw,7,8,False,source_rate0,301,0.4912612736225128,0.8804142475128174
raw,7,8,False,static_v2_rate0,301,0.4912612736225128,0.8804142475128174
raw,8,9,False,source_rate0,84,0.3695065379142761,0.9323965311050415
raw,8,9,False,static_v2_rate0,84,0.3695065379142761,0.9323965311050415
raw,9,10,False,source_rate0,83,0.36916252970695496,0.9319640398025513
raw,9,10,False,static_v2_rate0,83,0.36916252970695496,0.9319640398025513
preprocess,0,1,True,source_rate0,50,0.4040065407752991,0.9181427955627441
preprocess,0,1,True,static_v2_rate0,50,0.3611455261707306,0.9328541159629822
preprocess,1,2,True,source_rate0,92,0.3841056525707245,0.9262445569038391
preprocess,1,2,True,static_v2_rate0,92,0.26271605491638184,0.9648747444152832
preprocess,2,3,True,source_rate0,76,0.39450207352638245,0.9219244718551636
preprocess,2,3,True,static_v2_rate0,76,0.2803443968296051,0.9599272608757019
preprocess,3,4,True,source_rate0,98,0.35406506061553955,0.9376577734947205
preprocess,3,4,True,static_v2_rate0,98,0.3419906497001648,0.9410655498504639
preprocess,4,5,True,source_rate0,52,0.8565787076950073,0.6003753542900085
preprocess,4,5,True,static_v2_rate0,52,0.2080463469028473,0.9781233072280884
preprocess,5,6,False,source_rate0,214,0.4020066261291504,0.9196372628211975
preprocess,5,6,False,static_v2_rate0,214,0.4020066261291504,0.9196372628211975
preprocess,6,7,False,source_rate0,121,0.38421380519866943,0.9264289140701294
preprocess,6,7,False,static_v2_rate0,121,0.38421380519866943,0.9264289140701294
preprocess,7,8,False,source_rate0,301,0.5625829100608826,0.8415758013725281
preprocess,7,8,False,static_v2_rate0,301,0.5625829100608826,0.8415758013725281
preprocess,8,9,False,source_rate0,84,0.25742843747138977,0.9673641324043274
preprocess,8,9,False,static_v2_rate0,84,0.25742843747138977,0.9673641324043274
preprocess,9,10,False,source_rate0,83,0.32925888895988464,0.9458827376365662
preprocess,9,10,False,static_v2_rate0,83,0.32925888895988464,0.9458827376365662
