target,source,kind,mode,rank,remaining_delta,explained_delta_energy
1,raw,k,shared,0,0.5972419381141663,0.6433020830154419
1,raw,k,per_x,0,0.5972419381141663,0.6433020830154419
1,raw,k,shared,1,0.5116572976112366,0.7382068037986755
1,raw,k,per_x,1,0.5158305764198303,0.7339188456535339
1,raw,k,shared,2,0.4787702262401581,0.7707790732383728
1,raw,k,per_x,2,0.42340922355651855,0.820724606513977
1,raw,k,shared,4,0.3849748969078064,0.8517943620681763
1,raw,k,per_x,4,0.36668968200683594,0.8655387163162231
1,raw,k,shared,8,0.26358214020729065,0.930524468421936
1,raw,k,per_x,8,0.31849992275238037,0.8985577821731567
1,raw,k,shared,16,0.19320379197597504,0.9626722931861877
1,raw,k,per_x,16,0.2578815519809723,0.9334970712661743
1,raw,k,shared,32,0.15465736389160156,0.9760810732841492
1,raw,k,per_x,32,0.22494497895240784,0.9493997693061829
2,raw,k,shared,0,0.5684862732887268,0.6768233776092529
2,raw,k,per_x,0,0.5684862732887268,0.6768233776092529
2,raw,k,shared,1,0.46391433477401733,0.7847834825515747
2,raw,k,per_x,1,0.4709226191043854,0.7782318592071533
2,raw,k,shared,2,0.4498422145843506,0.7976419925689697
2,raw,k,per_x,2,0.4187603294849396,0.8246397972106934
2,raw,k,shared,4,0.34192216396331787,0.8830892443656921
2,raw,k,per_x,4,0.3740914463996887,0.8600555658340454
2,raw,k,shared,8,0.23779384791851044,0.9434540867805481
2,raw,k,per_x,8,0.32723891735076904,0.8929147124290466
2,raw,k,shared,16,0.16748319566249847,0.9719493985176086
2,raw,k,per_x,16,0.28746211528778076,0.917365550994873
2,raw,k,shared,32,0.13085782527923584,0.9828762412071228
2,raw,k,per_x,32,0.22237662971019745,0.9505486488342285
3,raw,k,shared,0,0.6632052063941956,0.5601588487625122
3,raw,k,per_x,0,0.6632052063941956,0.5601588487625122
3,raw,k,shared,1,0.6057993769645691,0.6330071687698364
3,raw,k,per_x,1,0.614011824131012,0.6229894757270813
3,raw,k,shared,2,0.5475797057151794,0.7001564502716064
3,raw,k,per_x,2,0.5462185144424438,0.7016453146934509
3,raw,k,shared,4,0.42933452129364014,0.8156718611717224
3,raw,k,per_x,4,0.41256585717201233,0.829789400100708
3,raw,k,shared,8,0.24681170284748077,0.939083993434906
3,raw,k,per_x,8,0.3389994204044342,0.8850793838500977
3,raw,k,shared,16,0.1727811098098755,0.9701467156410217
3,raw,k,per_x,16,0.2903231084346771,0.9157124757766724
3,raw,k,shared,32,0.1327763944864273,0.9823704361915588
3,raw,k,per_x,32,0.209283247590065,0.9562005400657654
4,raw,k,shared,0,0.7022660374641418,0.5068223476409912
4,raw,k,per_x,0,0.7022660374641418,0.5068223476409912
4,raw,k,shared,1,0.6395253539085388,0.5910072922706604
4,raw,k,per_x,1,0.6760745048522949,0.5429232120513916
4,raw,k,shared,2,0.604242205619812,0.6348913311958313
4,raw,k,per_x,2,0.5684266090393066,0.6768912076950073
4,raw,k,shared,4,0.5115610957145691,0.7383052110671997
4,raw,k,per_x,4,0.4810171127319336,0.7686225175857544
4,raw,k,shared,8,0.2926042377948761,0.9143827557563782
4,raw,k,per_x,8,0.43555429577827454,0.8102924823760986
4,raw,k,shared,16,0.17671097815036774,0.9687732458114624
4,raw,k,per_x,16,0.3042357265949249,0.9074406027793884
4,raw,k,shared,32,0.14817553758621216,0.9780440330505371
4,raw,k,per_x,32,0.2387574464082718,0.9429948925971985
5,raw,k,shared,0,0.6407554149627686,0.5894324779510498
5,raw,k,per_x,0,0.6407554149627686,0.5894324779510498
5,raw,k,shared,1,0.5395399928092957,0.7088965773582458
5,raw,k,per_x,1,0.5628410577774048,0.6832098960876465
5,raw,k,shared,2,0.47224658727645874,0.7769831418991089
5,raw,k,per_x,2,0.3976283669471741,0.8418917059898376
5,raw,k,shared,4,0.42149364948272705,0.822343111038208
5,raw,k,per_x,4,0.3518853485584259,0.8761767148971558
5,raw,k,shared,8,0.3089873790740967,0.9045268297195435
5,raw,k,per_x,8,0.28548723459243774,0.9184970259666443
5,raw,k,shared,16,0.19445133209228516,0.9621886610984802
5,raw,k,per_x,16,0.22930744290351868,0.9474180936813354
5,raw,k,shared,32,0.16248001158237457,0.9736002683639526
5,raw,k,per_x,32,0.21004745364189148,0.9558800458908081
