target,source,kind,method,rank,original_gap,final_kv_error,remaining_delta,explained_delta_energy,cosine,train_effective_rank
1,preprocess,k,mean,0,0.214206752144689,0.16827124501565588,0.785555279331226,0.38290290311483943,0.6397233567379231,10.534814812242985
1,preprocess,k,oracle_r1,1,0.214206752144689,0.14712846269010352,0.6868525908591503,0.5282335184300726,0.7392856382449648,10.534814812242985
1,preprocess,k,oracle_r2,2,0.214206752144689,0.13369697513661774,0.6241492100412885,0.6104377636048355,0.7884557414364144,10.534814812242985
1,preprocess,k,oracle_r4,4,0.214206752144689,0.12690742176187153,0.5924529478704299,0.6489995045596377,0.8122979073671447,10.534814812242985
1,preprocess,k,oracle_r8,8,0.214206752144689,0.11892978697876093,0.5552102619922462,0.6917415649785014,0.8371380563298862,10.534814812242985
1,preprocess,k,oracle_r16,16,0.214206752144689,0.11298409496081668,0.5274534711422166,0.7217928357800267,0.8542287122136141,10.534814812242985
1,preprocess,k,oracle_r32,32,0.214206752144689,0.10895894437013946,0.5086625107715632,0.7412624501355694,0.8647054141153401,10.534814812242985
2,preprocess,k,mean,0,0.22314298909306324,0.1409430552226091,0.631626634542517,0.6010477945364936,0.788242114186735,11.168958954513073
2,preprocess,k,oracle_r1,1,0.22314298909306324,0.12485231684790515,0.5595170941975447,0.6869406213007359,0.8425251213993334,11.168958954513073
2,preprocess,k,oracle_r2,2,0.22314298909306324,0.117383727080495,0.5260471214335996,0.7232744260314237,0.8603189316659599,11.168958954513073
2,preprocess,k,oracle_r4,4,0.22314298909306324,0.11042381065715186,0.49485673337063213,0.7551168134377471,0.8774130882292378,11.168958954513073
2,preprocess,k,oracle_r8,8,0.22314298909306324,0.10388940195290834,0.465573228964772,0.783241568471316,0.8909496617090734,11.168958954513073
2,preprocess,k,oracle_r16,16,0.22314298909306324,0.10087798749076803,0.45207778160888673,0.7956256793755877,0.8975243989492203,11.168958954513073
2,preprocess,k,oracle_r32,32,0.22314298909306324,0.09764907063126564,0.4376076121779496,0.8084995777639132,0.9041069837512967,11.168958954513073
3,preprocess,k,mean,0,0.22240186499432923,0.16242017173719878,0.7303004034671209,0.4666613206957604,0.6904299053854243,9.452199690043926
3,preprocess,k,oracle_r1,1,0.22240186499432923,0.14544244531454747,0.6539623456766245,0.5723332504371272,0.764127857589817,9.452199690043926
3,preprocess,k,oracle_r2,2,0.22240186499432923,0.13167166526078064,0.5920438898483967,0.6494840324931794,0.8106724719575896,9.452199690043926
3,preprocess,k,oracle_r4,4,0.22240186499432923,0.11844493933219853,0.5325717000404588,0.7163673843160154,0.849695774787729,9.452199690043926
3,preprocess,k,oracle_r8,8,0.22240186499432923,0.1082163585499344,0.48658026564972234,0.7632396450802457,0.8754575984715376,9.452199690043926
3,preprocess,k,oracle_r16,16,0.22240186499432923,0.10287708482543521,0.4625729412298695,0.7860262740419477,0.8881020883498095,9.452199690043926
3,preprocess,k,oracle_r32,32,0.22240186499432923,0.09890240718159342,0.4447013391012491,0.8022407190015559,0.8967686888741334,9.452199690043926
4,preprocess,k,mean,0,0.2032367568301818,0.1822815789891707,0.8968927758549079,0.19558334861927784,0.5328068057007123,9.118965074419975
4,preprocess,k,oracle_r1,1,0.2032367568301818,0.17394983391744745,0.8558975090455435,0.26743945400963376,0.5897801052099836,9.118965074419975
4,preprocess,k,oracle_r2,2,0.2032367568301818,0.15794593141043106,0.7771523905117501,0.39603416192187224,0.6699677612871894,9.118965074419975
4,preprocess,k,oracle_r4,4,0.2032367568301818,0.14763713665091807,0.7264293081309057,0.47230046028845374,0.71612602450673,9.118965074419975
4,preprocess,k,oracle_r8,8,0.2032367568301818,0.14228529984177868,0.7000962919353597,0.5098651820183595,0.7378991121933006,9.118965074419975
4,preprocess,k,oracle_r16,16,0.2032367568301818,0.13604315570996883,0.6693826344790681,0.5519268886578623,0.7640934156186124,9.118965074419975
4,preprocess,k,oracle_r32,32,0.2032367568301818,0.13184420243095907,0.6487222315849289,0.57915946624747,0.7793251180389247,9.118965074419975
5,preprocess,k,mean,0,0.40855841605907683,0.1483428703872375,0.36308851942922005,0.8681667270586969,0.9325820577332744,10.358741834759712
5,preprocess,k,oracle_r1,1,0.40855841605907683,0.13185397538527177,0.32272979873263924,0.8958454770099902,0.9468908410880075,10.358741834759712
5,preprocess,k,oracle_r2,2,0.40855841605907683,0.11193354413079236,0.27397194558000965,0.9249393730351042,0.9617424987925444,10.358741834759712
5,preprocess,k,oracle_r4,4,0.40855841605907683,0.10697854849143157,0.26184394761302054,0.9314377470984297,0.965117563093363,10.358741834759712
5,preprocess,k,oracle_r8,8,0.40855841605907683,0.09640795811720398,0.2359710492495731,0.9443176639160555,0.9717602429701159,10.358741834759712
5,preprocess,k,oracle_r16,16,0.40855841605907683,0.09125134049576222,0.2233495551895997,0.950114976196608,0.9747385665065222,10.358741834759712
5,preprocess,k,oracle_r32,32,0.40855841605907683,0.08829569514914702,0.21611522778270126,0.9532942083204311,0.9763678667799067,10.358741834759712
