target,source,kind,layer,rank,subspace_overlap
1,preprocess,k,0,1,0.004587607458233833
1,preprocess,k,0,2,0.0054269814863801
1,preprocess,k,0,4,0.05379782244563103
1,preprocess,k,0,8,0.08015450835227966
1,preprocess,k,0,16,0.0780639797449112
1,preprocess,k,0,32,0.1051737517118454
1,preprocess,k,1,1,0.505175769329071
1,preprocess,k,1,2,0.3244897127151489
1,preprocess,k,1,4,0.2724671959877014
1,preprocess,k,1,8,0.2900282144546509
1,preprocess,k,1,16,0.17071831226348877
1,preprocess,k,1,32,0.09359651058912277
1,preprocess,k,2,1,0.10044881701469421
1,preprocess,k,2,2,0.25605109333992004
1,preprocess,k,2,4,0.36447450518608093
1,preprocess,k,2,8,0.3347283899784088
1,preprocess,k,2,16,0.21693725883960724
1,preprocess,k,2,32,0.13133759796619415
1,preprocess,k,3,1,0.7438839673995972
1,preprocess,k,3,2,0.5382602214813232
1,preprocess,k,3,4,0.42505258321762085
1,preprocess,k,3,8,0.3641456961631775
1,preprocess,k,3,16,0.23157437145709991
1,preprocess,k,3,32,0.13368728756904602
1,preprocess,k,4,1,0.6879650950431824
1,preprocess,k,4,2,0.4743824005126953
1,preprocess,k,4,4,0.38512158393859863
1,preprocess,k,4,8,0.33779892325401306
1,preprocess,k,4,16,0.20745044946670532
1,preprocess,k,4,32,0.11689713597297668
1,preprocess,k,5,1,0.17098869383335114
1,preprocess,k,5,2,0.41501879692077637
1,preprocess,k,5,4,0.30456313490867615
1,preprocess,k,5,8,0.29786044359207153
1,preprocess,k,5,16,0.18462234735488892
1,preprocess,k,5,32,0.11081043630838394
1,preprocess,k,6,1,0.32379892468452454
1,preprocess,k,6,2,0.44876009225845337
1,preprocess,k,6,4,0.36829766631126404
1,preprocess,k,6,8,0.32482779026031494
1,preprocess,k,6,16,0.21437394618988037
1,preprocess,k,6,32,0.12467317283153534
1,preprocess,k,7,1,0.2546239197254181
1,preprocess,k,7,2,0.4232695698738098
1,preprocess,k,7,4,0.30608856678009033
1,preprocess,k,7,8,0.27277350425720215
1,preprocess,k,7,16,0.16922533512115479
1,preprocess,k,7,32,0.09933258593082428
