target,source,kind,method,rank,original_gap,final_kv_error,remaining_delta,explained_delta_energy,cosine,train_effective_rank
1,raw,k,mean,0,0.255232018715392,0.1698538752541755,0.6654881159075059,0.557125567585878,0.765287081858791,10.535047769546509
1,raw,k,oracle_r1,1,0.255232018715392,0.14851226696857223,0.5818716151525548,0.6614254234797572,0.8219088505937145,10.535047769546509
1,raw,k,oracle_r2,2,0.255232018715392,0.13495405267450633,0.5287504810475717,0.7204229287919615,0.8492845721333381,10.535047769546509
1,raw,k,oracle_r4,4,0.255232018715392,0.12809989552047776,0.5018958677881294,0.7481005378972004,0.8652927156884679,10.535047769546509
1,raw,k,oracle_r8,8,0.255232018715392,0.12004771184712931,0.4703473821636538,0.7787733400917978,0.8824842013953929,10.535047769546509
1,raw,k,oracle_r16,16,0.255232018715392,0.11404682553825145,0.4468358872537247,0.8003376898621766,0.8946159535770263,10.535047769546509
1,raw,k,oracle_r32,32,0.255232018715392,0.10998236032022787,0.4309112973904292,0.8143154537812971,0.9023942947232566,10.535047769546509
2,raw,k,mean,0,0.22211433921577878,0.14198743673916364,0.639253806127421,0.5913545713516056,0.7793171141503842,11.16822700202465
2,raw,k,oracle_r1,1,0.22211433921577878,0.12577713472746618,0.5662720163477456,0.6793360035014585,0.8320237725078656,11.16822700202465
2,raw,k,oracle_r2,2,0.22211433921577878,0.11825335576159599,0.5323985663380143,0.7165517665612271,0.8482483501288948,11.16822700202465
2,raw,k,oracle_r4,4,0.22211433921577878,0.11124244073511683,0.5008341250181397,0.7491651792173144,0.8661242820206694,11.16822700202465
2,raw,k,oracle_r8,8,0.22211433921577878,0.10465970846725633,0.47119744198766894,0.7779729706642774,0.8820280195960067,11.16822700202465
2,raw,k,oracle_r16,16,0.22211433921577878,0.10162656188384189,0.4575416528381543,0.7906556359181299,0.8891885741053543,11.16822700202465
2,raw,k,oracle_r32,32,0.22211433921577878,0.09837254032445027,0.44289144353207965,0.8038471692460707,0.8965752522761204,11.16822700202465
3,raw,k,mean,0,0.23986803999550713,0.16456050310905365,0.6860459739118892,0.5293409216792875,0.7722157448485591,9.451147392392159
3,raw,k,oracle_r1,1,0.23986803999550713,0.14735532029078527,0.6143182738873646,0.6226130583680489,0.8040655945768829,9.451147392392159
3,raw,k,oracle_r2,2,0.23986803999550713,0.13340248791983225,0.5561494892038596,0.6906977456582859,0.8333259965499017,9.451147392392159
3,raw,k,oracle_r4,4,0.23986803999550713,0.1200036796518547,0.500290408234888,0.7497095074281691,0.8659051251370864,9.451147392392159
3,raw,k,oracle_r8,8,0.23986803999550713,0.1096411233750784,0.4570893370251912,0.7910693379778712,0.8894292678359798,9.451147392392159
3,raw,k,oracle_r16,16,0.23986803999550713,0.10423142691367997,0.434536534819863,0.811177999906746,0.9006542057193571,9.451147392392159
3,raw,k,oracle_r32,32,0.23986803999550713,0.10020549940291215,0.41775260849585905,0.8254827580949056,0.9085608232784305,9.451147392392159
4,raw,k,mean,0,0.2565496777518853,0.1841572943821132,0.7178231366176795,0.4847299445363563,0.7241076353090681,9.119439482688904
4,raw,k,oracle_r1,1,0.2565496777518853,0.17573911345289336,0.6850100728750649,0.5307612000596984,0.7447408370515692,9.119439482688904
4,raw,k,oracle_r2,2,0.2565496777518853,0.15957066310126938,0.6219873846639309,0.6131316933189233,0.783031466722621,9.119439482688904
4,raw,k,oracle_r4,4,0.2565496777518853,0.1491572798375542,0.5813972605407339,0.66197722543573,0.813627876137401,9.119439482688904
4,raw,k,oracle_r8,8,0.2565496777518853,0.1437502090581486,0.5603211444965154,0.6860402150301151,0.8282766961076962,9.119439482688904
4,raw,k,oracle_r16,16,0.2565496777518853,0.1374433393178204,0.5357377195801617,0.712985095819048,0.8443844586902307,9.119439482688904
4,raw,k,oracle_r32,32,0.2565496777518853,0.13319870855535745,0.5191926558729759,0.7304389860875656,0.8546572352950674,9.119439482688904
5,raw,k,mean,0,0.2368975511308226,0.1504231726409492,0.634971412422413,0.596811305406286,0.8052023668992828,10.358489625155926
5,raw,k,oracle_r1,1,0.2368975511308226,0.13370185454697792,0.5643868157722888,0.6814675221824166,0.8353223058461885,10.358489625155926
5,raw,k,oracle_r2,2,0.2368975511308226,0.11350151355561758,0.47911644934201253,0.7704474279699027,0.8778495147998894,10.358489625155926
5,raw,k,oracle_r4,4,0.2368975511308226,0.10847756371858958,0.45790918141945974,0.7903191815717603,0.8890911034825725,10.358489625155926
5,raw,k,oracle_r8,8,0.2368975511308226,0.09775833673958852,0.41266081592208254,0.8297110510025211,0.9108860434606639,10.358489625155926
5,raw,k,oracle_r16,16,0.2368975511308226,0.09252927863715828,0.39058773801363855,0.8474412189133893,0.9205657479223056,10.358489625155926
5,raw,k,oracle_r32,32,0.2368975511308226,0.08953306879192388,0.3779400351102861,0.8571613298608357,0.925830100005791,10.358489625155926
