dataset,method,correct,total,acc,draft_baseline_acc,delta_vs_draft_pp
2WikiMQA,Full attention r=1,113,200,0.565,0.505,5.999999999999995
2WikiMQA,Online QK r=0.15,107,200,0.535,0.505,3.0000000000000027
2WikiMQA,Online Draft r=0.15,101,200,0.505,0.505,0.0
2WikiMQA,Uniform a=0.1,96,200,0.48,0.505,-2.500000000000002
2WikiMQA,Uniform a=0.25,99,200,0.495,0.505,-1.0000000000000009
2WikiMQA,Random a=0.05,94,200,0.47,0.505,-3.500000000000003
2WikiMQA,Random a=0.1,95,200,0.475,0.505,-3.0000000000000027
2WikiMQA,Random a=0.25,100,200,0.5,0.505,-0.5000000000000004
HotpotQA,Full attention r=1,207,260,0.7961538461538461,0.7961538461538461,0.0
HotpotQA,Online QK r=0.15,206,260,0.7923076923076923,0.7961538461538461,-0.38461538461538325
HotpotQA,Online Draft r=0.15,207,260,0.7961538461538461,0.7961538461538461,0.0
HotpotQA,Uniform a=0.1,226,260,0.8692307692307693,0.7961538461538461,7.3076923076923155
HotpotQA,Uniform a=0.25,223,260,0.8576923076923076,0.7961538461538461,6.153846153846154
HotpotQA,Random a=0.05,231,260,0.8884615384615384,0.7961538461538461,9.230769230769232
HotpotQA,Random a=0.1,228,260,0.8769230769230769,0.7961538461538461,8.076923076923082
HotpotQA,Random a=0.25,224,260,0.8615384615384616,0.7961538461538461,6.538461538461549
TriviaQA,Full attention r=1,211,270,0.7814814814814814,0.7925925925925926,-1.1111111111111183
TriviaQA,Online QK r=0.15,212,270,0.7851851851851852,0.7925925925925926,-0.7407407407407418
TriviaQA,Online Draft r=0.15,214,270,0.7925925925925926,0.7925925925925926,0.0
TriviaQA,Uniform a=0.1,242,270,0.8962962962962963,0.7925925925925926,10.370370370370363
TriviaQA,Uniform a=0.25,237,270,0.8777777777777778,0.7925925925925926,8.518518518518514
TriviaQA,Random a=0.05,241,270,0.8925925925925926,0.7925925925925926,9.999999999999998
TriviaQA,Random a=0.1,242,270,0.8962962962962963,0.7925925925925926,10.370370370370363
TriviaQA,Random a=0.25,238,270,0.8814814814814815,0.7925925925925926,8.888888888888891
MuSiQue,Full attention r=1,105,135,0.7777777777777778,0.7333333333333333,4.444444444444451
MuSiQue,Online QK r=0.15,84,135,0.6222222222222222,0.7333333333333333,-11.111111111111105
MuSiQue,Online Draft r=0.15,99,135,0.7333333333333333,0.7333333333333333,0.0
MuSiQue,Uniform a=0.1,107,135,0.7925925925925926,0.7333333333333333,5.9259259259259345
MuSiQue,Uniform a=0.25,107,135,0.7925925925925926,0.7333333333333333,5.9259259259259345
MuSiQue,Random a=0.05,105,135,0.7777777777777778,0.7333333333333333,4.444444444444451
MuSiQue,Random a=0.1,105,135,0.7777777777777778,0.7333333333333333,4.444444444444451
MuSiQue,Random a=0.25,106,135,0.7851851851851852,0.7333333333333333,5.185185185185192
