label,finished_segments,existing_segments,finished_list,main_correct,main_total,main_acc,sub_correct,sub_total,sub_acc,avg_f1,avg_em,traceback
baseline_draft,8,8,0-25 25-50 50-75 75-100 100-125 125-150 150-175 175-200,99,135,0.7333333333333333,209,248,0.842741935483871,0.1904525331302708,0.008064516129032258,0
uniform_alpha0.1,8,8,0-25 25-50 50-75 75-100 100-125 125-150 150-175 175-200,107,135,0.7925925925925926,217,248,0.875,0.6021606301988138,0.25,0
uniform_alpha0.25,8,8,0-25 25-50 50-75 75-100 100-125 125-150 150-175 175-200,107,135,0.7925925925925926,219,248,0.8830645161290323,0.5782605789813382,0.23387096774193547,0
uniform_alpha0.5,8,8,0-25 25-50 50-75 75-100 100-125 125-150 150-175 175-200,37,135,0.2740740740740741,122,248,0.49193548387096775,0.37016585209489117,0.11290322580645161,0
uniform_alpha0.75,2,2,0-25 25-50,2,36,0.05555555555555555,13,67,0.19402985074626866,0.2762534185499047,0.014925373134328358,0
uniform_alpha1.0,8,8,0-25 25-50 50-75 75-100 100-125 125-150 150-175 175-200,10,135,0.07407407407407407,47,248,0.18951612903225806,0.24431756235746857,0.028225806451612902,0
random_alpha0.05,8,8,0-25 25-50 50-75 75-100 100-125 125-150 150-175 175-200,105,135,0.7777777777777778,215,248,0.8669354838709677,0.5940690903206387,0.24193548387096775,0
random_alpha0.1,4,8,0-25 25-50 50-75 175-200,84,104,0.8076923076923077,165,188,0.8776595744680851,0.5944701596279802,0.2553191489361702,0
random_alpha0.25,8,8,0-25 25-50 50-75 75-100 100-125 125-150 150-175 175-200,106,135,0.7851851851851852,218,248,0.8790322580645161,0.5684650386719329,0.21774193548387097,0
random_alpha0.5,0,7,,19,52,0.36538461538461536,46,86,0.5348837209302325,0.3664017644495225,0.11627906976744186,0
random_alpha0.75,0,4,,4,24,0.16666666666666666,11,39,0.28205128205128205,0.30199814975035355,0.0,0
