model,dataset,method,category,rate_or_budget,main_acc,sub_acc,f1,em,selection_time_s,prompt_eval_s,rows,status,source
Qwen3-32B,musique,full_rate1,full,1.00,105/135 (77.78%),215/250 (86.00%),0.1938,0.0080,0.0000,1.1683,,done,MOTIVATION_EXPERIMENTS/qwen3_offline_improvement_probe_summary.md
Qwen3-32B,musique,online_qk_rate015,online,0.15,84/135 (62.22%),189/248 (76.21%),0.2076,0.0081,0.3230,1.1725,,done,MOTIVATION_EXPERIMENTS/qwen3_offline_improvement_probe_summary.md
Qwen3-32B,musique,online_draft_rate015,online,0.15,99/135 (73.33%),209/248 (84.27%),0.1905,0.0081,0.1417,0.9924,,done,MOTIVATION_EXPERIMENTS/qwen3_offline_improvement_probe_summary.md
Qwen3-32B,musique,offline_hybrid70_rate015,offline,0.15,93/135 (68.89%),196/248 (79.03%),0.2064,0.0081,0.0000,0.8447,,done,MOTIVATION_EXPERIMENTS/qwen3_offline_improvement_probe_summary.md
Qwen3-32B,musique,draft_smart_mean_score_global,offline,0.15,95/135 (70.37%),204/250 (81.60%),0.1931,0.0080,0.0000,,,done,MOTIVATION_EXPERIMENTS/qwen3_offline_improvement_probe_summary.md
Qwen3-32B,musique,draft_smart_freq_boundary0p02_global,offline,0.15,97/135 (71.85%),203/250 (81.20%),0.1987,0.0120,0.0000,,,done,MOTIVATION_EXPERIMENTS/qwen3_offline_improvement_probe_summary.md
Qwen3-32B,musique,draft32b_smart_top2_mean_global,offline,0.15,98/135 (72.59%),202/248 (81.45%),0.1942,0.0161,0.0000,0.8949,,done,MOTIVATION_EXPERIMENTS/qwen3_offline_improvement_probe_summary.md
Qwen3-32B,musique,offline10_draft005,offline+online,offline10+draft5,97/135 (71.85%),208/250 (83.20%),0.1955,0.0200,0.1406,1.0007,,done,MOTIVATION_EXPERIMENTS/qwen3_offline_improvement_probe_summary.md
Qwen3-32B,musique,offline10_hybrid_old70_docgen30_draft005,offline+online,offline10+draft5,100/135 (74.07%),209/250 (83.60%),0.1837,0.0160,,,,done,MOTIVATION_EXPERIMENTS/qwen3_offline_improvement_probe_summary.md
Qwen3-32B,musique,offline20_only,offline,0.20,91/135 (67.41%),198/250 (79.20%),0.2069,0.0120,0.0000,0.9801,,done,MOTIVATION_EXPERIMENTS/qwen3_offline_improvement_probe_summary.md
Qwen3-32B,2wikimqa,full_rate1,full,1.00,113/200 (56.50%),113/200 (56.50%),0.3319,0.0250,0.0000,3.8673,200,done,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/cross_dataset_summary.csv
Qwen3-32B,2wikimqa,online_qk_rate015,online,0.15,107/200 (53.50%),107/200 (53.50%),0.2767,0.0150,0.3244,2.2925,200,done,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/cross_dataset_summary.csv
Qwen3-32B,2wikimqa,online_draft_rate015,online,0.15,101/200 (50.50%),101/200 (50.50%),0.2687,0.0150,0.4012,2.4394,200,done,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/cross_dataset_summary.csv
Qwen3-32B,2wikimqa,offline3b_mean,offline,0.15,96/200 (48.00%),96/200 (48.00%),0.2806,0.0250,0.0000,2.0429,200,done,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/cross_dataset_summary.csv
Qwen3-32B,2wikimqa,offline3b_freq_boundary2,offline,0.15,99/200 (49.50%),99/200 (49.50%),0.2801,0.0200,0.0000,2.0302,200,done,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/cross_dataset_summary.csv
Qwen3-32B,2wikimqa,offline32b_top2,offline,0.15,103/200 (51.50%),103/200 (51.50%),0.2656,0.0150,0.0000,2.0097,200,done,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/cross_dataset_summary.csv
Qwen3-32B,hotpotqa,full_rate1,full,1.00,207/260 (79.62%),207/260 (79.62%),0.3076,0.0269,0.0000,1.2716,260,done,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/cross_dataset_summary.csv
Qwen3-32B,hotpotqa,online_qk_rate015,online,0.15,206/260 (79.23%),206/260 (79.23%),0.3007,0.0308,0.3337,1.2551,260,done,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/cross_dataset_summary.csv
Qwen3-32B,hotpotqa,online_draft_rate015,online,0.15,207/260 (79.62%),207/260 (79.62%),0.3245,0.0385,0.1516,1.0741,260,done,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/cross_dataset_summary.csv
Qwen3-32B,hotpotqa,offline3b_mean,offline,0.15,204/260 (78.46%),204/260 (78.46%),0.3193,0.0192,0.0000,0.9275,260,done,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/cross_dataset_summary.csv
Qwen3-32B,hotpotqa,offline3b_freq_boundary2,offline,0.15,201/260 (77.31%),201/260 (77.31%),0.3141,0.0308,0.0000,0.9278,260,done,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/cross_dataset_summary.csv
Qwen3-32B,hotpotqa,offline32b_top2,offline,0.15,197/260 (75.77%),197/260 (75.77%),0.3039,0.0346,0.0000,0.9274,260,done,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/cross_dataset_summary.csv
Qwen3-32B,triviaqa,full_rate1,full,1.00,211/270 (78.15%),211/270 (78.15%),0.2036,0.0370,0.0000,1.2635,270,done,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/cross_dataset_summary.csv
Qwen3-32B,triviaqa,online_qk_rate015,online,0.15,212/270 (78.52%),212/270 (78.52%),0.2343,0.0407,0.3268,1.2276,270,done,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/cross_dataset_summary.csv
Qwen3-32B,triviaqa,online_draft_rate015,online,0.15,214/270 (79.26%),214/270 (79.26%),0.2137,0.0556,0.1520,1.0498,270,done,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/cross_dataset_summary.csv
Qwen3-32B,triviaqa,offline3b_mean,offline,0.15,215/270 (79.63%),215/270 (79.63%),0.2330,0.0630,0.0000,0.9054,270,done,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/cross_dataset_summary.csv
Qwen3-32B,triviaqa,offline3b_freq_boundary2,offline,0.15,218/270 (80.74%),218/270 (80.74%),0.2055,0.0556,0.0000,0.9047,270,done,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/cross_dataset_summary.csv
Qwen3-235B-A22B,musique,full_rate1,full,1.00,106/135 (78.52%),215/248 (86.69%),0.5158,0.1734,,,248,done,MOTIVATION_EXPERIMENTS/qwen3_235b_param_scaling_cross_dataset/RESULTS_SUMMARY.md
Qwen3-235B-A22B,musique,online_qk_rate015,online,0.15,74/135 (54.81%),179/248 (72.18%),0.4495,0.1331,,,248,done,MOTIVATION_EXPERIMENTS/qwen3_235b_param_scaling_cross_dataset/RESULTS_SUMMARY.md
Qwen3-235B-A22B,musique,online_draft_rate015,online,0.15,93/135 (68.89%),204/248 (82.26%),0.4959,0.1532,,,248,done,MOTIVATION_EXPERIMENTS/qwen3_235b_param_scaling_cross_dataset/RESULTS_SUMMARY.md
Qwen3-235B-A22B,musique,offline3b_mean_rate015,offline,0.15,83/135 (61.48%),193/248 (77.82%),0.4691,0.1331,,,248,done,MOTIVATION_EXPERIMENTS/qwen3_235b_param_scaling_cross_dataset/RESULTS_SUMMARY.md
Qwen3-235B-A22B,musique,offline3b_freq_boundary2_rate015,offline,0.15,89/135 (65.93%),191/248 (77.02%),0.4739,0.1452,,,248,done,MOTIVATION_EXPERIMENTS/qwen3_235b_param_scaling_cross_dataset/RESULTS_SUMMARY.md
Qwen3-235B-A22B,musique,offline32b_top2_rate015,offline,0.15,86/135 (63.70%),190/248 (76.61%),0.4705,0.1411,,,248,done,MOTIVATION_EXPERIMENTS/qwen3_235b_param_scaling_cross_dataset/RESULTS_SUMMARY.md
Qwen3-235B-A22B,2wikimqa,full_rate1,full,1.00,113/200 (56.50%),113/200 (56.50%),0.4213,0.2700,,,200,done,MOTIVATION_EXPERIMENTS/qwen3_235b_param_scaling_cross_dataset/RESULTS_SUMMARY.md
Qwen3-235B-A22B,2wikimqa,online_draft_rate015,online,0.15,106/200 (53.00%),106/200 (53.00%),0.4024,0.2400,,,200,done,MOTIVATION_EXPERIMENTS/qwen3_235b_param_scaling_cross_dataset/RESULTS_SUMMARY.md
Qwen3-235B-A22B,2wikimqa,offline3b_mean_rate015,offline,0.15,102/200 (51.00%),102/200 (51.00%),0.3988,0.2000,,,200,done,MOTIVATION_EXPERIMENTS/qwen3_235b_param_scaling_cross_dataset/RESULTS_SUMMARY.md
Qwen3-235B-A22B,2wikimqa,offline3b_freq_boundary2_rate015,offline,0.15,105/200 (52.50%),105/200 (52.50%),0.3963,0.2100,,,200,done,MOTIVATION_EXPERIMENTS/qwen3_235b_param_scaling_cross_dataset/RESULTS_SUMMARY.md
Qwen3-235B-A22B,hotpotqa,full_rate1,full,1.00,221/260 (85.00%),221/260 (85.00%),0.6081,0.4692,,,260,done,MOTIVATION_EXPERIMENTS/qwen3_235b_param_scaling_cross_dataset/RESULTS_SUMMARY.md
Qwen3-235B-A22B,hotpotqa,online_draft_rate015,online,0.15,211/260 (81.15%),211/260 (81.15%),0.5582,0.4077,,,260,done,MOTIVATION_EXPERIMENTS/qwen3_235b_param_scaling_cross_dataset/RESULTS_SUMMARY.md
Qwen3-235B-A22B,hotpotqa,offline3b_mean_rate015,offline,0.15,218/260 (83.85%),218/260 (83.85%),0.5599,0.3846,,,260,done,MOTIVATION_EXPERIMENTS/qwen3_235b_param_scaling_cross_dataset/RESULTS_SUMMARY.md
