example_id,chunk_id,method,rate,chunk_len,selected_count
0,0,offline32b_mean_score_global,0.05,957,40
0,1,offline32b_mean_score_global,0.05,21,13
0,2,offline32b_mean_score_global,0.05,664,24
0,3,offline32b_mean_score_global,0.05,639,33
0,4,offline32b_mean_score_global,0.05,334,19
0,5,offline32b_mean_score_global,0.05,945,30
0,6,offline32b_mean_score_global,0.05,749,39
0,7,offline32b_mean_score_global,0.05,612,20
0,8,offline32b_mean_score_global,0.05,441,24
0,9,offline32b_mean_score_global,0.05,956,73
0,0,offline32b_top2_mean_global,0.05,957,34
0,1,offline32b_top2_mean_global,0.05,21,13
0,2,offline32b_top2_mean_global,0.05,664,21
0,3,offline32b_top2_mean_global,0.05,639,40
0,4,offline32b_top2_mean_global,0.05,334,21
0,5,offline32b_top2_mean_global,0.05,945,31
0,6,offline32b_top2_mean_global,0.05,749,39
0,7,offline32b_top2_mean_global,0.05,612,21
0,8,offline32b_top2_mean_global,0.05,441,24
0,9,offline32b_top2_mean_global,0.05,956,71
0,0,offline32b_freq_boundary0p02_global,0.05,957,40
0,1,offline32b_freq_boundary0p02_global,0.05,21,21
0,2,offline32b_freq_boundary0p02_global,0.05,664,29
0,3,offline32b_freq_boundary0p02_global,0.05,639,34
0,4,offline32b_freq_boundary0p02_global,0.05,334,25
0,5,offline32b_freq_boundary0p02_global,0.05,945,30
0,6,offline32b_freq_boundary0p02_global,0.05,749,37
0,7,offline32b_freq_boundary0p02_global,0.05,612,26
0,8,offline32b_freq_boundary0p02_global,0.05,441,25
0,9,offline32b_freq_boundary0p02_global,0.05,956,48
1,0,offline32b_mean_score_global,0.05,201,29
1,1,offline32b_mean_score_global,0.05,596,16
1,2,offline32b_mean_score_global,0.05,185,12
1,3,offline32b_mean_score_global,0.05,959,18
1,4,offline32b_mean_score_global,0.05,948,18
1,5,offline32b_mean_score_global,0.05,159,21
1,6,offline32b_mean_score_global,0.05,305,14
1,7,offline32b_mean_score_global,0.05,116,14
1,8,offline32b_mean_score_global,0.05,950,53
1,9,offline32b_mean_score_global,0.05,932,72
1,0,offline32b_top2_mean_global,0.05,201,30
1,1,offline32b_top2_mean_global,0.05,596,15
1,2,offline32b_top2_mean_global,0.05,185,12
1,3,offline32b_top2_mean_global,0.05,959,19
1,4,offline32b_top2_mean_global,0.05,948,16
1,5,offline32b_top2_mean_global,0.05,159,17
1,6,offline32b_top2_mean_global,0.05,305,15
1,7,offline32b_top2_mean_global,0.05,116,22
1,8,offline32b_top2_mean_global,0.05,950,59
1,9,offline32b_top2_mean_global,0.05,932,62
1,0,offline32b_freq_boundary0p02_global,0.05,201,29
1,1,offline32b_freq_boundary0p02_global,0.05,596,20
1,2,offline32b_freq_boundary0p02_global,0.05,185,18
1,3,offline32b_freq_boundary0p02_global,0.05,959,26
1,4,offline32b_freq_boundary0p02_global,0.05,948,21
1,5,offline32b_freq_boundary0p02_global,0.05,159,20
1,6,offline32b_freq_boundary0p02_global,0.05,305,19
1,7,offline32b_freq_boundary0p02_global,0.05,116,20
1,8,offline32b_freq_boundary0p02_global,0.05,950,43
1,9,offline32b_freq_boundary0p02_global,0.05,932,51
2,0,offline32b_mean_score_global,0.05,531,33
2,1,offline32b_mean_score_global,0.05,413,20
2,2,offline32b_mean_score_global,0.05,453,28
2,3,offline32b_mean_score_global,0.05,309,9
2,4,offline32b_mean_score_global,0.05,961,28
2,5,offline32b_mean_score_global,0.05,1170,37
2,6,offline32b_mean_score_global,0.05,106,17
2,7,offline32b_mean_score_global,0.05,180,11
2,8,offline32b_mean_score_global,0.05,1220,43
2,9,offline32b_mean_score_global,0.05,761,79
2,0,offline32b_top2_mean_global,0.05,531,30
2,1,offline32b_top2_mean_global,0.05,413,26
2,2,offline32b_top2_mean_global,0.05,453,27
2,3,offline32b_top2_mean_global,0.05,309,10
2,4,offline32b_top2_mean_global,0.05,961,27
2,5,offline32b_top2_mean_global,0.05,1170,35
2,6,offline32b_top2_mean_global,0.05,106,17
2,7,offline32b_top2_mean_global,0.05,180,12
2,8,offline32b_top2_mean_global,0.05,1220,43
2,9,offline32b_top2_mean_global,0.05,761,78
2,0,offline32b_freq_boundary0p02_global,0.05,531,32
2,1,offline32b_freq_boundary0p02_global,0.05,413,23
2,2,offline32b_freq_boundary0p02_global,0.05,453,27
2,3,offline32b_freq_boundary0p02_global,0.05,309,21
2,4,offline32b_freq_boundary0p02_global,0.05,961,30
2,5,offline32b_freq_boundary0p02_global,0.05,1170,35
2,6,offline32b_freq_boundary0p02_global,0.05,106,23
2,7,offline32b_freq_boundary0p02_global,0.05,180,23
2,8,offline32b_freq_boundary0p02_global,0.05,1220,37
2,9,offline32b_freq_boundary0p02_global,0.05,761,54
3,0,offline32b_mean_score_global,0.05,952,75
3,1,offline32b_mean_score_global,0.05,962,24
3,2,offline32b_mean_score_global,0.05,929,13
3,3,offline32b_mean_score_global,0.05,967,22
3,4,offline32b_mean_score_global,0.05,942,42
3,5,offline32b_mean_score_global,0.05,944,25
3,6,offline32b_mean_score_global,0.05,169,15
3,7,offline32b_mean_score_global,0.05,186,45
3,8,offline32b_mean_score_global,0.05,942,50
3,9,offline32b_mean_score_global,0.05,961,86
3,0,offline32b_top2_mean_global,0.05,952,84
3,1,offline32b_top2_mean_global,0.05,962,25
3,2,offline32b_top2_mean_global,0.05,929,10
3,3,offline32b_top2_mean_global,0.05,967,20
3,4,offline32b_top2_mean_global,0.05,942,40
3,5,offline32b_top2_mean_global,0.05,944,22
3,6,offline32b_top2_mean_global,0.05,169,14
3,7,offline32b_top2_mean_global,0.05,186,54
3,8,offline32b_top2_mean_global,0.05,942,54
3,9,offline32b_top2_mean_global,0.05,961,74
3,0,offline32b_freq_boundary0p02_global,0.05,952,50
3,1,offline32b_freq_boundary0p02_global,0.05,962,36
3,2,offline32b_freq_boundary0p02_global,0.05,929,27
3,3,offline32b_freq_boundary0p02_global,0.05,967,36
3,4,offline32b_freq_boundary0p02_global,0.05,942,50
3,5,offline32b_freq_boundary0p02_global,0.05,944,36
3,6,offline32b_freq_boundary0p02_global,0.05,169,28
3,7,offline32b_freq_boundary0p02_global,0.05,186,39
3,8,offline32b_freq_boundary0p02_global,0.05,942,40
3,9,offline32b_freq_boundary0p02_global,0.05,961,55
4,0,offline32b_mean_score_global,0.05,170,34
4,1,offline32b_mean_score_global,0.05,681,28
4,2,offline32b_mean_score_global,0.05,66,14
4,3,offline32b_mean_score_global,0.05,846,32
4,4,offline32b_mean_score_global,0.05,521,27
4,5,offline32b_mean_score_global,0.05,857,34
4,6,offline32b_mean_score_global,0.05,147,20
4,7,offline32b_mean_score_global,0.05,1294,20
4,8,offline32b_mean_score_global,0.05,924,23
4,9,offline32b_mean_score_global,0.05,970,91
4,0,offline32b_top2_mean_global,0.05,170,34
4,1,offline32b_top2_mean_global,0.05,681,31
4,2,offline32b_top2_mean_global,0.05,66,15
4,3,offline32b_top2_mean_global,0.05,846,35
4,4,offline32b_top2_mean_global,0.05,521,24
4,5,offline32b_top2_mean_global,0.05,857,33
4,6,offline32b_top2_mean_global,0.05,147,20
4,7,offline32b_top2_mean_global,0.05,1294,18
4,8,offline32b_top2_mean_global,0.05,924,22
4,9,offline32b_top2_mean_global,0.05,970,91
4,0,offline32b_freq_boundary0p02_global,0.05,170,25
4,1,offline32b_freq_boundary0p02_global,0.05,681,31
4,2,offline32b_freq_boundary0p02_global,0.05,66,21
4,3,offline32b_freq_boundary0p02_global,0.05,846,34
4,4,offline32b_freq_boundary0p02_global,0.05,521,27
4,5,offline32b_freq_boundary0p02_global,0.05,857,36
4,6,offline32b_freq_boundary0p02_global,0.05,147,24
4,7,offline32b_freq_boundary0p02_global,0.05,1294,30
4,8,offline32b_freq_boundary0p02_global,0.05,924,32
4,9,offline32b_freq_boundary0p02_global,0.05,970,63
5,0,offline32b_mean_score_global,0.05,637,32
5,1,offline32b_mean_score_global,0.05,145,12
5,2,offline32b_mean_score_global,0.05,41,14
5,3,offline32b_mean_score_global,0.05,550,21
5,4,offline32b_mean_score_global,0.05,365,11
5,5,offline32b_mean_score_global,0.05,614,33
5,6,offline32b_mean_score_global,0.05,322,18
5,7,offline32b_mean_score_global,0.05,430,25
5,8,offline32b_mean_score_global,0.05,967,26
5,9,offline32b_mean_score_global,0.05,966,59
5,0,offline32b_top2_mean_global,0.05,637,36
5,1,offline32b_top2_mean_global,0.05,145,12
5,2,offline32b_top2_mean_global,0.05,41,13
5,3,offline32b_top2_mean_global,0.05,550,21
5,4,offline32b_top2_mean_global,0.05,365,10
5,5,offline32b_top2_mean_global,0.05,614,37
5,6,offline32b_top2_mean_global,0.05,322,17
5,7,offline32b_top2_mean_global,0.05,430,28
5,8,offline32b_top2_mean_global,0.05,967,28
5,9,offline32b_top2_mean_global,0.05,966,49
5,0,offline32b_freq_boundary0p02_global,0.05,637,29
5,1,offline32b_freq_boundary0p02_global,0.05,145,17
5,2,offline32b_freq_boundary0p02_global,0.05,41,17
5,3,offline32b_freq_boundary0p02_global,0.05,550,26
5,4,offline32b_freq_boundary0p02_global,0.05,365,17
5,5,offline32b_freq_boundary0p02_global,0.05,614,28
5,6,offline32b_freq_boundary0p02_global,0.05,322,25
