example_id,chunk_id,method,rate,chunk_len,selected_count
0,0,offline3b_mean_score_global,0.15,910,152
0,1,offline3b_mean_score_global,0.15,920,196
0,2,offline3b_mean_score_global,0.15,63,35
0,3,offline3b_mean_score_global,0.15,954,59
0,4,offline3b_mean_score_global,0.15,883,77
0,5,offline3b_mean_score_global,0.15,344,46
0,6,offline3b_mean_score_global,0.15,908,100
0,7,offline3b_mean_score_global,0.15,886,43
0,8,offline3b_mean_score_global,0.15,350,118
0,9,offline3b_mean_score_global,0.15,892,62
0,10,offline3b_mean_score_global,0.15,1023,105
0,11,offline3b_mean_score_global,0.15,1032,224
0,12,offline3b_mean_score_global,0.15,408,113
0,13,offline3b_mean_score_global,0.15,138,59
0,14,offline3b_mean_score_global,0.15,927,102
0,15,offline3b_mean_score_global,0.15,685,51
0,16,offline3b_mean_score_global,0.15,310,107
0,17,offline3b_mean_score_global,0.15,943,79
0,18,offline3b_mean_score_global,0.15,936,30
0,19,offline3b_mean_score_global,0.15,928,55
0,20,offline3b_mean_score_global,0.15,765,101
0,21,offline3b_mean_score_global,0.15,934,278
0,22,offline3b_mean_score_global,0.15,45,31
0,23,offline3b_mean_score_global,0.15,414,266
0,0,offline3b_top2_mean_global,0.15,910,183
0,1,offline3b_top2_mean_global,0.15,920,220
0,2,offline3b_top2_mean_global,0.15,63,37
0,3,offline3b_top2_mean_global,0.15,954,76
0,4,offline3b_top2_mean_global,0.15,883,97
0,5,offline3b_top2_mean_global,0.15,344,41
0,6,offline3b_top2_mean_global,0.15,908,120
0,7,offline3b_top2_mean_global,0.15,886,46
0,8,offline3b_top2_mean_global,0.15,350,135
0,9,offline3b_top2_mean_global,0.15,892,72
0,10,offline3b_top2_mean_global,0.15,1023,110
0,11,offline3b_top2_mean_global,0.15,1032,217
0,12,offline3b_top2_mean_global,0.15,408,109
0,13,offline3b_top2_mean_global,0.15,138,59
0,14,offline3b_top2_mean_global,0.15,927,89
0,15,offline3b_top2_mean_global,0.15,685,48
0,16,offline3b_top2_mean_global,0.15,310,98
0,17,offline3b_top2_mean_global,0.15,943,66
0,18,offline3b_top2_mean_global,0.15,936,26
0,19,offline3b_top2_mean_global,0.15,928,40
0,20,offline3b_top2_mean_global,0.15,765,81
0,21,offline3b_top2_mean_global,0.15,934,248
0,22,offline3b_top2_mean_global,0.15,45,26
0,23,offline3b_top2_mean_global,0.15,414,245
0,0,offline3b_freq_boundary0p02_global,0.15,910,135
0,1,offline3b_freq_boundary0p02_global,0.15,920,160
0,2,offline3b_freq_boundary0p02_global,0.15,63,43
0,3,offline3b_freq_boundary0p02_global,0.15,954,63
0,4,offline3b_freq_boundary0p02_global,0.15,883,64
0,5,offline3b_freq_boundary0p02_global,0.15,344,57
0,6,offline3b_freq_boundary0p02_global,0.15,908,91
0,7,offline3b_freq_boundary0p02_global,0.15,886,54
0,8,offline3b_freq_boundary0p02_global,0.15,350,111
0,9,offline3b_freq_boundary0p02_global,0.15,892,62
0,10,offline3b_freq_boundary0p02_global,0.15,1023,109
0,11,offline3b_freq_boundary0p02_global,0.15,1032,210
0,12,offline3b_freq_boundary0p02_global,0.15,408,114
0,13,offline3b_freq_boundary0p02_global,0.15,138,75
0,14,offline3b_freq_boundary0p02_global,0.15,927,103
0,15,offline3b_freq_boundary0p02_global,0.15,685,64
0,16,offline3b_freq_boundary0p02_global,0.15,310,109
0,17,offline3b_freq_boundary0p02_global,0.15,943,83
0,18,offline3b_freq_boundary0p02_global,0.15,936,48
0,19,offline3b_freq_boundary0p02_global,0.15,928,66
0,20,offline3b_freq_boundary0p02_global,0.15,765,103
0,21,offline3b_freq_boundary0p02_global,0.15,934,272
0,22,offline3b_freq_boundary0p02_global,0.15,45,39
0,23,offline3b_freq_boundary0p02_global,0.15,414,254
1,0,offline3b_mean_score_global,0.15,953,288
1,1,offline3b_mean_score_global,0.15,935,117
1,2,offline3b_mean_score_global,0.15,924,39
1,3,offline3b_mean_score_global,0.15,957,101
1,4,offline3b_mean_score_global,0.15,941,193
1,5,offline3b_mean_score_global,0.15,939,142
1,6,offline3b_mean_score_global,0.15,938,198
1,7,offline3b_mean_score_global,0.15,490,257
1,8,offline3b_mean_score_global,0.15,912,64
1,9,offline3b_mean_score_global,0.15,877,55
1,10,offline3b_mean_score_global,0.15,949,142
1,11,offline3b_mean_score_global,0.15,943,57
1,12,offline3b_mean_score_global,0.15,984,63
1,13,offline3b_mean_score_global,0.15,935,60
1,14,offline3b_mean_score_global,0.15,943,87
