example_id,chunk_id,method,rate,chunk_len,selected_count
0,0,offline3b_mean_score_global,0.05,910,47
0,1,offline3b_mean_score_global,0.05,920,39
0,2,offline3b_mean_score_global,0.05,63,9
0,3,offline3b_mean_score_global,0.05,954,16
0,4,offline3b_mean_score_global,0.05,883,18
0,5,offline3b_mean_score_global,0.05,344,11
0,6,offline3b_mean_score_global,0.05,908,31
0,7,offline3b_mean_score_global,0.05,886,10
0,8,offline3b_mean_score_global,0.05,350,55
0,9,offline3b_mean_score_global,0.05,892,16
0,10,offline3b_mean_score_global,0.05,1023,26
0,11,offline3b_mean_score_global,0.05,1032,73
0,12,offline3b_mean_score_global,0.05,408,50
0,13,offline3b_mean_score_global,0.05,138,27
0,14,offline3b_mean_score_global,0.05,927,33
0,15,offline3b_mean_score_global,0.05,685,13
0,16,offline3b_mean_score_global,0.05,310,31
0,17,offline3b_mean_score_global,0.05,943,25
0,18,offline3b_mean_score_global,0.05,936,13
0,19,offline3b_mean_score_global,0.05,928,12
0,20,offline3b_mean_score_global,0.05,765,26
0,21,offline3b_mean_score_global,0.05,934,102
0,22,offline3b_mean_score_global,0.05,45,18
0,23,offline3b_mean_score_global,0.05,414,128
0,0,offline3b_top2_mean_global,0.05,910,61
0,1,offline3b_top2_mean_global,0.05,920,56
0,2,offline3b_top2_mean_global,0.05,63,14
0,3,offline3b_top2_mean_global,0.05,954,12
0,4,offline3b_top2_mean_global,0.05,883,28
0,5,offline3b_top2_mean_global,0.05,344,10
0,6,offline3b_top2_mean_global,0.05,908,32
0,7,offline3b_top2_mean_global,0.05,886,11
0,8,offline3b_top2_mean_global,0.05,350,62
0,9,offline3b_top2_mean_global,0.05,892,14
0,10,offline3b_top2_mean_global,0.05,1023,27
0,11,offline3b_top2_mean_global,0.05,1032,77
0,12,offline3b_top2_mean_global,0.05,408,58
0,13,offline3b_top2_mean_global,0.05,138,24
0,14,offline3b_top2_mean_global,0.05,927,26
0,15,offline3b_top2_mean_global,0.05,685,12
0,16,offline3b_top2_mean_global,0.05,310,27
0,17,offline3b_top2_mean_global,0.05,943,25
0,18,offline3b_top2_mean_global,0.05,936,12
0,19,offline3b_top2_mean_global,0.05,928,10
0,20,offline3b_top2_mean_global,0.05,765,19
0,21,offline3b_top2_mean_global,0.05,934,83
0,22,offline3b_top2_mean_global,0.05,45,17
0,23,offline3b_top2_mean_global,0.05,414,112
0,0,offline3b_freq_boundary0p02_global,0.05,910,34
0,1,offline3b_freq_boundary0p02_global,0.05,920,40
0,2,offline3b_freq_boundary0p02_global,0.05,63,22
0,3,offline3b_freq_boundary0p02_global,0.05,954,24
0,4,offline3b_freq_boundary0p02_global,0.05,883,28
0,5,offline3b_freq_boundary0p02_global,0.05,344,23
0,6,offline3b_freq_boundary0p02_global,0.05,908,29
0,7,offline3b_freq_boundary0p02_global,0.05,886,23
0,8,offline3b_freq_boundary0p02_global,0.05,350,37
0,9,offline3b_freq_boundary0p02_global,0.05,892,22
0,10,offline3b_freq_boundary0p02_global,0.05,1023,33
0,11,offline3b_freq_boundary0p02_global,0.05,1032,51
0,12,offline3b_freq_boundary0p02_global,0.05,408,38
0,13,offline3b_freq_boundary0p02_global,0.05,138,31
0,14,offline3b_freq_boundary0p02_global,0.05,927,36
0,15,offline3b_freq_boundary0p02_global,0.05,685,25
0,16,offline3b_freq_boundary0p02_global,0.05,310,29
0,17,offline3b_freq_boundary0p02_global,0.05,943,32
0,18,offline3b_freq_boundary0p02_global,0.05,936,24
0,19,offline3b_freq_boundary0p02_global,0.05,928,25
0,20,offline3b_freq_boundary0p02_global,0.05,765,27
0,21,offline3b_freq_boundary0p02_global,0.05,934,68
0,22,offline3b_freq_boundary0p02_global,0.05,45,28
0,23,offline3b_freq_boundary0p02_global,0.05,414,100
1,0,offline3b_mean_score_global,0.05,953,107
1,1,offline3b_mean_score_global,0.05,935,41
1,2,offline3b_mean_score_global,0.05,924,16
1,3,offline3b_mean_score_global,0.05,957,32
1,4,offline3b_mean_score_global,0.05,941,39
1,5,offline3b_mean_score_global,0.05,939,31
1,6,offline3b_mean_score_global,0.05,938,43
1,7,offline3b_mean_score_global,0.05,490,102
1,8,offline3b_mean_score_global,0.05,912,27
1,9,offline3b_mean_score_global,0.05,877,19
1,10,offline3b_mean_score_global,0.05,949,50
1,11,offline3b_mean_score_global,0.05,943,15
1,12,offline3b_mean_score_global,0.05,984,22
1,13,offline3b_mean_score_global,0.05,935,20
1,14,offline3b_mean_score_global,0.05,943,31
1,15,offline3b_mean_score_global,0.05,925,28
1,16,offline3b_mean_score_global,0.05,939,30
1,17,offline3b_mean_score_global,0.05,946,45
1,18,offline3b_mean_score_global,0.05,411,144
1,0,offline3b_top2_mean_global,0.05,953,125
1,1,offline3b_top2_mean_global,0.05,935,49
1,2,offline3b_top2_mean_global,0.05,924,16
1,3,offline3b_top2_mean_global,0.05,957,33
1,4,offline3b_top2_mean_global,0.05,941,45
1,5,offline3b_top2_mean_global,0.05,939,34
1,6,offline3b_top2_mean_global,0.05,938,48
1,7,offline3b_top2_mean_global,0.05,490,97
1,8,offline3b_top2_mean_global,0.05,912,21
1,9,offline3b_top2_mean_global,0.05,877,20
1,10,offline3b_top2_mean_global,0.05,949,42
1,11,offline3b_top2_mean_global,0.05,943,12
1,12,offline3b_top2_mean_global,0.05,984,22
1,13,offline3b_top2_mean_global,0.05,935,15
1,14,offline3b_top2_mean_global,0.05,943,28
1,15,offline3b_top2_mean_global,0.05,925,24
1,16,offline3b_top2_mean_global,0.05,939,30
1,17,offline3b_top2_mean_global,0.05,946,41
1,18,offline3b_top2_mean_global,0.05,411,140
1,0,offline3b_freq_boundary0p02_global,0.05,953,73
1,1,offline3b_freq_boundary0p02_global,0.05,935,40
1,2,offline3b_freq_boundary0p02_global,0.05,924,30
1,3,offline3b_freq_boundary0p02_global,0.05,957,34
1,4,offline3b_freq_boundary0p02_global,0.05,941,34
1,5,offline3b_freq_boundary0p02_global,0.05,939,36
1,6,offline3b_freq_boundary0p02_global,0.05,938,42
1,7,offline3b_freq_boundary0p02_global,0.05,490,74
1,8,offline3b_freq_boundary0p02_global,0.05,912,34
1,9,offline3b_freq_boundary0p02_global,0.05,877,30
1,10,offline3b_freq_boundary0p02_global,0.05,949,49
1,11,offline3b_freq_boundary0p02_global,0.05,943,31
1,12,offline3b_freq_boundary0p02_global,0.05,984,36
1,13,offline3b_freq_boundary0p02_global,0.05,935,30
1,14,offline3b_freq_boundary0p02_global,0.05,943,38
1,15,offline3b_freq_boundary0p02_global,0.05,925,38
1,16,offline3b_freq_boundary0p02_global,0.05,939,38
1,17,offline3b_freq_boundary0p02_global,0.05,946,43
1,18,offline3b_freq_boundary0p02_global,0.05,411,112
2,0,offline3b_mean_score_global,0.05,918,55
2,1,offline3b_mean_score_global,0.05,952,14
2,2,offline3b_mean_score_global,0.05,935,11
2,3,offline3b_mean_score_global,0.05,965,11
2,4,offline3b_mean_score_global,0.05,958,15
2,5,offline3b_mean_score_global,0.05,918,8
2,6,offline3b_mean_score_global,0.05,917,21
2,7,offline3b_mean_score_global,0.05,515,27
2,8,offline3b_mean_score_global,0.05,168,19
2,9,offline3b_mean_score_global,0.05,732,47
2,10,offline3b_mean_score_global,0.05,91,19
2,11,offline3b_mean_score_global,0.05,163,16
2,12,offline3b_mean_score_global,0.05,992,54
2,13,offline3b_mean_score_global,0.05,853,36
2,14,offline3b_mean_score_global,0.05,896,29
2,15,offline3b_mean_score_global,0.05,557,40
2,16,offline3b_mean_score_global,0.05,914,35
2,17,offline3b_mean_score_global,0.05,668,27
2,18,offline3b_mean_score_global,0.05,695,26
2,19,offline3b_mean_score_global,0.05,375,27
2,20,offline3b_mean_score_global,0.05,943,62
2,21,offline3b_mean_score_global,0.05,898,36
2,22,offline3b_mean_score_global,0.05,788,205
2,0,offline3b_top2_mean_global,0.05,918,53
2,1,offline3b_top2_mean_global,0.05,952,11
2,2,offline3b_top2_mean_global,0.05,935,11
2,3,offline3b_top2_mean_global,0.05,965,8
2,4,offline3b_top2_mean_global,0.05,958,20
2,5,offline3b_top2_mean_global,0.05,918,8
