example_id,chunk_id,method,rate,chunk_len,selected_count
0,0,offline3b_mean_score_global,0.15,910,25
0,1,offline3b_mean_score_global,0.15,920,15
0,2,offline3b_mean_score_global,0.15,63,0
0,3,offline3b_mean_score_global,0.15,954,6
0,4,offline3b_mean_score_global,0.15,883,85
0,5,offline3b_mean_score_global,0.15,344,49
0,6,offline3b_mean_score_global,0.15,908,112
0,7,offline3b_mean_score_global,0.15,886,44
0,8,offline3b_mean_score_global,0.15,350,106
0,9,offline3b_mean_score_global,0.15,892,105
0,10,offline3b_mean_score_global,0.15,1023,46
0,11,offline3b_mean_score_global,0.15,1032,40
0,12,offline3b_mean_score_global,0.15,408,52
0,13,offline3b_mean_score_global,0.15,138,20
0,14,offline3b_mean_score_global,0.15,927,57
0,15,offline3b_mean_score_global,0.15,685,87
0,16,offline3b_mean_score_global,0.15,310,133
0,17,offline3b_mean_score_global,0.15,943,234
0,18,offline3b_mean_score_global,0.15,936,61
0,19,offline3b_mean_score_global,0.15,928,131
0,20,offline3b_mean_score_global,0.15,765,240
0,21,offline3b_mean_score_global,0.15,934,430
0,22,offline3b_mean_score_global,0.15,45,28
0,23,offline3b_mean_score_global,0.15,414,383
0,0,offline3b_top2_mean_global,0.15,910,25
0,1,offline3b_top2_mean_global,0.15,920,15
0,2,offline3b_top2_mean_global,0.15,63,0
0,3,offline3b_top2_mean_global,0.15,954,6
0,4,offline3b_top2_mean_global,0.15,883,85
0,5,offline3b_top2_mean_global,0.15,344,49
0,6,offline3b_top2_mean_global,0.15,908,112
0,7,offline3b_top2_mean_global,0.15,886,44
0,8,offline3b_top2_mean_global,0.15,350,106
0,9,offline3b_top2_mean_global,0.15,892,105
0,10,offline3b_top2_mean_global,0.15,1023,46
0,11,offline3b_top2_mean_global,0.15,1032,40
0,12,offline3b_top2_mean_global,0.15,408,52
0,13,offline3b_top2_mean_global,0.15,138,20
0,14,offline3b_top2_mean_global,0.15,927,57
0,15,offline3b_top2_mean_global,0.15,685,87
0,16,offline3b_top2_mean_global,0.15,310,133
0,17,offline3b_top2_mean_global,0.15,943,234
0,18,offline3b_top2_mean_global,0.15,936,61
0,19,offline3b_top2_mean_global,0.15,928,131
0,20,offline3b_top2_mean_global,0.15,765,240
0,21,offline3b_top2_mean_global,0.15,934,430
0,22,offline3b_top2_mean_global,0.15,45,28
0,23,offline3b_top2_mean_global,0.15,414,383
0,0,offline3b_freq_boundary0p02_global,0.15,910,33
0,1,offline3b_freq_boundary0p02_global,0.15,920,32
0,2,offline3b_freq_boundary0p02_global,0.15,63,20
0,3,offline3b_freq_boundary0p02_global,0.15,954,24
0,4,offline3b_freq_boundary0p02_global,0.15,883,80
0,5,offline3b_freq_boundary0p02_global,0.15,344,52
0,6,offline3b_freq_boundary0p02_global,0.15,908,109
0,7,offline3b_freq_boundary0p02_global,0.15,886,51
0,8,offline3b_freq_boundary0p02_global,0.15,350,104
0,9,offline3b_freq_boundary0p02_global,0.15,892,100
0,10,offline3b_freq_boundary0p02_global,0.15,1023,53
0,11,offline3b_freq_boundary0p02_global,0.15,1032,51
0,12,offline3b_freq_boundary0p02_global,0.15,408,54
0,13,offline3b_freq_boundary0p02_global,0.15,138,31
0,14,offline3b_freq_boundary0p02_global,0.15,927,67
0,15,offline3b_freq_boundary0p02_global,0.15,685,85
0,16,offline3b_freq_boundary0p02_global,0.15,310,131
0,17,offline3b_freq_boundary0p02_global,0.15,943,199
0,18,offline3b_freq_boundary0p02_global,0.15,936,67
0,19,offline3b_freq_boundary0p02_global,0.15,928,125
0,20,offline3b_freq_boundary0p02_global,0.15,765,214
0,21,offline3b_freq_boundary0p02_global,0.15,934,401
0,22,offline3b_freq_boundary0p02_global,0.15,45,32
0,23,offline3b_freq_boundary0p02_global,0.15,414,374
