dataset,method,rate,rows,expected_rows,complete,glm_correct,glm_acc
2wikimqa-v2,offline3b_freq_boundary2,0.05,200,200,True,98,0.49
2wikimqa-v2,offline3b_mean,0.05,200,200,True,92,0.46
2wikimqa-v2,offline3b_top2,0.05,200,200,True,97,0.485
2wikimqa-v2,online_draft,0.05,200,200,True,103,0.515
2wikimqa-v2,online_qk,0.05,200,200,True,102,0.51
hotpotqa-v2,offline32b_top2,0.05,260,260,True,224,0.8615384615384616
hotpotqa-v2,offline3b_freq_boundary2,0.05,260,260,True,224,0.8615384615384616
hotpotqa-v2,offline3b_mean,0.05,260,260,True,223,0.8576923076923076
hotpotqa-v2,offline3b_top2,0.05,260,260,True,225,0.8653846153846154
hotpotqa-v2,online_draft,0.05,260,260,True,226,0.8692307692307693
hotpotqa-v2,online_qk,0.05,260,260,True,229,0.8807692307692307
triviaqa-v2,offline32b_top2,0.05,270,270,True,238,0.8814814814814815
triviaqa-v2,offline3b_freq_boundary2,0.05,270,270,True,237,0.8777777777777778
triviaqa-v2,offline3b_mean,0.05,270,270,True,237,0.8777777777777778
triviaqa-v2,offline3b_top2,0.05,270,270,True,237,0.8777777777777778
triviaqa-v2,online_draft,0.05,270,270,True,239,0.8851851851851852
triviaqa-v2,online_qk,0.05,270,270,True,235,0.8703703703703703
