source,kind,layer,relative_l2,diff_norm,full_norm,source_norm,cosine_source_full,delta_energy_share
raw,hidden_layer_input,0,0.0,0.0,530.3995703463878,530.3995703463878,1.0,0.0
raw,hidden_layer_input,1,0.060863135311610236,478.7178935547501,7865.4819720309415,8060.1642949097195,0.9984915115261375,2.0669861396023614e-07
raw,hidden_layer_input,2,0.08453254239314656,988.8702944413467,11698.101895980817,12028.928812125687,0.9969143062875041,8.819762784108893e-07
raw,hidden_layer_input,3,0.09244881563826292,1277.4468964948242,13817.882767619918,14220.256624574326,0.9962595442850689,1.4718513609540145e-06
raw,hidden_layer_input,4,0.1019233639881146,1655.2966401950484,16240.600539716042,16690.716576700655,0.9953196138356996,2.471325268859175e-06
raw,hidden_layer_input,5,0.10133745276553392,1953.549458377782,19277.66492115941,19755.545299832906,0.9952894000329369,3.4421283820665775e-06
raw,hidden_layer_input,6,0.10817317586683134,2414.5974459880213,22321.591528019457,22762.335410580126,0.9944537446855418,5.258570691089786e-06
raw,hidden_layer_input,7,0.10948557521475184,2700.179754216027,24662.424697680275,25001.031021239905,0.9941806263513796,6.576027125007615e-06
raw,hidden_layer_input,8,0.11583845772586934,3216.27055898501,27765.13622614249,27998.33343142945,0.9933815900392546,9.330037586046265e-06
raw,hidden_layer_input,9,0.11115012039715971,3447.7170888865,31018.56369176368,31195.257711509614,0.9938739363762867,1.0721152798464227e-05
raw,hidden_layer_input,10,0.10670497682318433,3714.975694160478,34815.39291570612,34889.830055655184,0.9943214589038273,1.2447731043353019e-05
raw,hidden_layer_input,11,0.10789659433222949,3987.590840951934,36957.52276178018,37026.35454223788,0.9941917039995225,1.434165999590346e-05
raw,hidden_layer_input,12,0.11343036304580506,4309.501793819965,37992.488766695715,38063.679415224695,0.9935805759697403,1.675067738654255e-05
raw,hidden_layer_input,13,0.12134403497413153,4782.385891624206,39411.79220423755,39486.93185567853,0.9926536480424045,2.0628491746621545e-05
raw,hidden_layer_input,14,0.12476679862831552,5117.988042724284,41020.432510823186,41091.866616156534,0.9922316706947817,2.362526977987423e-05
raw,hidden_layer_input,15,0.12709674615970848,5461.774501306787,42973.36215392624,43098.85085620033,0.9919509874317587,2.6905791588587482e-05
raw,hidden_layer_input,16,0.13196828099669072,5929.894547439271,44934.24103620757,45081.40458451245,0.9913259676574482,3.171554533029473e-05
raw,hidden_layer_input,17,0.13603237778062208,6359.8764845268415,46752.667183274156,46985.957484657054,0.99080592284128,3.648174515417516e-05
raw,hidden_layer_input,18,0.14408871252149338,6973.355730811207,48396.26649985513,48666.421718418955,0.9896923403283837,4.385931892715842e-05
raw,hidden_layer_input,19,0.15235453521479006,7583.447149672436,49775.00104595679,49987.08421682545,0.9884523413389292,5.186944147203615e-05
raw,hidden_layer_input,20,0.15791802933483254,8063.27167624904,51059.85497800596,51355.77315769864,0.9876194849137576,5.864092715297928e-05
