dataset,example_idx,method,doc_tokens,pearson_z,pearson_minmax,spearman_rank,rate,k,topk_overlap,topk_jaccard,ndcg_at_k
musique-v2,0,offline3b_mean,16598,0.2934571314352741,0.293457131435274,0.3098296140485125,0.05,830,0.27349397590361446,0.1584089323098395,0.399408392163534
musique-v2,0,offline3b_mean,16598,0.2934571314352741,0.293457131435274,0.3098296140485125,0.1,1660,0.3265060240963855,0.1951043916486681,0.450631846042526
musique-v2,0,offline3b_mean,16598,0.2934571314352741,0.293457131435274,0.3098296140485125,0.15,2490,0.36224899598393573,0.22118685630210888,0.4789038663461228
musique-v2,0,offline3b_mean,16598,0.2934571314352741,0.293457131435274,0.3098296140485125,0.3,4979,0.4713797951395863,0.30836946524766784,0.5570494857156278
musique-v2,0,offline3b_top2_mean,16598,0.2894918214149838,0.2894918214149837,0.2787161193025372,0.05,830,0.25421686746987954,0.1456176673567978,0.3827523233083663
musique-v2,0,offline3b_top2_mean,16598,0.2894918214149838,0.2894918214149837,0.2787161193025372,0.1,1660,0.31626506024096385,0.18783542039355994,0.4337187335979058
musique-v2,0,offline3b_top2_mean,16598,0.2894918214149838,0.2894918214149837,0.2787161193025372,0.15,2490,0.3417670682730924,0.20610317268103656,0.45960866666702066
musique-v2,0,offline3b_top2_mean,16598,0.2894918214149838,0.2894918214149837,0.2787161193025372,0.3,4979,0.45571399879493873,0.2950968916634153,0.5418341334204954
musique-v2,0,offline3b_freq_top15,16598,0.2628389483550944,0.2628389483550943,0.2550321359446235,0.05,830,0.18795180722891566,0.10372340425531915,0.2690263205913099
musique-v2,0,offline3b_freq_top15,16598,0.2628389483550944,0.2628389483550943,0.2550321359446235,0.1,1660,0.33554216867469877,0.20159247195077815,0.4393539056757319
musique-v2,0,offline3b_freq_top15,16598,0.2628389483550944,0.2628389483550943,0.2550321359446235,0.15,2490,0.3634538152610442,0.22208588957055214,0.4390426644205896
musique-v2,0,offline3b_freq_top15,16598,0.2628389483550944,0.2628389483550943,0.2550321359446235,0.3,4979,0.4410524201646917,0.2829167740273125,0.500699631017734
musique-v2,1,offline3b_mean,16841,0.24194482535445502,0.2419448253544549,0.19947836880533631,0.05,842,0.32660332541567694,0.19517388218594747,0.4111674335248714
musique-v2,1,offline3b_mean,16841,0.24194482535445502,0.2419448253544549,0.19947836880533631,0.1,1684,0.3491686460807601,0.21151079136690648,0.46378544036030966
musique-v2,1,offline3b_mean,16841,0.24194482535445502,0.2419448253544549,0.19947836880533631,0.15,2526,0.3555027711797308,0.21617717862301397,0.4802827257285581
musique-v2,1,offline3b_mean,16841,0.24194482535445502,0.2419448253544549,0.19947836880533631,0.3,5052,0.43665874901029295,0.27931121802988096,0.5486367127531735
musique-v2,1,offline3b_top2_mean,16841,0.2415166778449748,0.24151667784497474,0.17889594175876955,0.05,842,0.31353919239904987,0.18591549295774648,0.3902281429791351
musique-v2,1,offline3b_top2_mean,16841,0.2415166778449748,0.24151667784497474,0.17889594175876955,0.1,1684,0.3307600950118765,0.19815012451085023,0.44342265629329336
musique-v2,1,offline3b_top2_mean,16841,0.2415166778449748,0.24151667784497474,0.17889594175876955,0.15,2526,0.34441805225653205,0.20803443328550933,0.46906510870805873
musique-v2,1,offline3b_top2_mean,16841,0.2415166778449748,0.24151667784497474,0.17889594175876955,0.3,5052,0.4319081551860649,0.27543549608684675,0.5404031927230001
musique-v2,1,offline3b_freq_top15,16841,0.2552272603444157,0.2552272603444157,0.2414014619381366,0.05,842,0.2589073634204275,0.14870395634379263,0.3460398232299977
musique-v2,1,offline3b_freq_top15,16841,0.2552272603444157,0.2552272603444157,0.2414014619381366,0.1,1684,0.36045130641330164,0.21984788120246287,0.4163070308641334
musique-v2,1,offline3b_freq_top15,16841,0.2552272603444157,0.2552272603444157,0.2414014619381366,0.15,2526,0.3555027711797308,0.21617717862301397,0.4314052056424185
musique-v2,1,offline3b_freq_top15,16841,0.2552272603444157,0.2552272603444157,0.2414014619381366,0.3,5052,0.4111243072050673,0.2587517129687305,0.5171475140140134
musique-v2,2,offline3b_mean,16811,0.2906878974022529,0.290687897402253,0.24862334563136396,0.05,841,0.3281807372175981,0.19630156472261737,0.4128514910363231
musique-v2,2,offline3b_mean,16811,0.2906878974022529,0.290687897402253,0.24862334563136396,0.1,1681,0.33135038667459843,0.19857397504456328,0.4515566441055318
musique-v2,2,offline3b_mean,16811,0.2906878974022529,0.290687897402253,0.24862334563136396,0.15,2522,0.34892942109436953,0.21133525456292027,0.4692024718161094
musique-v2,2,offline3b_mean,16811,0.2906878974022529,0.290687897402253,0.24862334563136396,0.3,5043,0.45231013285742616,0.29224855861627164,0.5348167308712396
musique-v2,2,offline3b_top2_mean,16811,0.2915177215843562,0.29151772158435624,0.23561143527697492,0.05,841,0.3079667063020214,0.1820098383696416,0.3917929687922037
